ா	a
சாசனம்	t͡ɕ aː t͡ɕ ɐ n ɐ m
சாவாமை	t͡ɕ aː ʋ aː m a ɪ̯
சாட்சி	t͡ɕ aː ʈ t͡ɕ i
சார்வு	t͡ɕ aː ɾ ʋ u
சாளரம்	t͡ɕ aː ɭ ɐ ɾ ɐ m
சாட்டை	t͡ɕ aː ʈː a ɪ̯
செய்தி	t͡ɕ e j d̪ i
செயலிழ	t͡ɕ e j ɐ l i ɻ ɐ
செக்கு	t͡ɕ e kː u
செல்வி	t͡ɕ e l ʋ i
செம்பு	t͡ɕ e m b u
செம்மை	t͡ɕ e mː a ɪ̯
சென்னை	t͡ɕ e nː a ɪ̯
செப்பு	t͡ɕ e pː u
செத்தை	t͡ɕ e t̪ː a ɪ̯
செச்சை	t͡ɕ e t͡ɕː a ɪ̯
செவிடு	t͡ɕ e ʋ i ɖ u
செருமு	t͡ɕ e ɾ u m u
செட்டை	t͡ɕ e ʈː a ɪ̯
செவ்வி	t͡ɕ e ʋː i
செட்டு	t͡ɕ e ʈː u
செள்ளு	t͡ɕ e ɭː u
சேய்மை	t͡ɕ eː j m a ɪ̯
சேம்பு	t͡ɕ eː m b u
சேமியா	t͡ɕ eː m i j aː
சேத்து	t͡ɕ eː t̪ː u
சிதைவு	t͡ɕ i d̪ a ɪ̯ ʋ u
சிதாரி	t͡ɕ i d̪ aː ɾ i
சியோல்	t͡ɕ i j oː l
சிக்கு	t͡ɕ i kː u
சிலுவை	t͡ɕ i l u ʋ a ɪ̯
சினிமா	t͡ɕ i n i m aː
சின்டி	t͡ɕ i n ɖ i
சினகர்	t͡ɕ i n ɐ ɡ ɐ ɾ
சிந்தை	t͡ɕ i n̪ d̪ a ɪ̯
சிந்தி	t͡ɕ i n̪ d̪ i
சிந்து	t͡ɕ i n̪ d̪ u
சிறுமை	t͡ɕ i r u m a ɪ̯
சிறந்த	t͡ɕ i r ɐ n̪ d̪ ɐ
சித்தி	t͡ɕ i t̪ː i
சிகாகோ	t͡ɕ i ɡ aː ɡ oː
சிவிகை	t͡ɕ i ʋ i ɡ a ɪ̯
சிங்கி	t͡ɕ i ŋ ɡ i
சிங்கு	t͡ɕ i ŋ ɡ u
சிகரம்	t͡ɕ i ɡ ɐ ɾ ɐ m
சிகரட்	t͡ɕ i ɡ ɐ ɾ ɐ ʈ
சீதனம்	t͡ɕ iː d̪ ɐ n ɐ m
சீந்து	t͡ɕ iː n̪ d̪ u
சீர்மை	t͡ɕ iː ɾ m a ɪ̯
சீருடை	t͡ɕ iː ɾ u ɖ a ɪ̯
சீரற்ற	t͡ɕ iː ɾ ɐ rː ɐ
சீண்டு	t͡ɕ iː ɳ ɖ u
சீரகம்	t͡ɕ iː ɾ ɐ ɡ ɐ m
சீட்டு	t͡ɕ iː ʈː u
சொற்பு	t͡ɕ o r p u
சொத்தை	t͡ɕ o t̪ː a ɪ̯
சொத்தே	t͡ɕ o t̪ː eː
சொத்து	t͡ɕ o t̪ː u
சொருணை	t͡ɕ o ɾ u ɳ a ɪ̯
சொட்டு	t͡ɕ o ʈː u
சோம்பு	t͡ɕ oː m b u
சுக்கை	t͡ɕ u kː a ɪ̯
சுக்கு	t͡ɕ u kː u
சுலபம்	t͡ɕ u l ɐ b ɐ m
சுமார்	t͡ɕ u m aː ɾ
சுனாமி	t͡ɕ u n aː m i
சுறவம்	t͡ɕ u r ɐ ʋ ɐ m
சுற்றி	t͡ɕ u rː i
சுற்று	t͡ɕ u rː u
சுவாலை	t͡ɕ u ʋ aː l a ɪ̯
சுவாமி	t͡ɕ u ʋ aː m i
சுருதி	t͡ɕ u ɾ u d̪ i
சுருள்	t͡ɕ u ɾ u ɭ
சுருளி	t͡ɕ u ɾ u ɭ i
சுண்டு	t͡ɕ u ɳ ɖ u
சுகவழி	t͡ɕ u ɡ ɐ ʋ ɐ ɻ i
சூளுறு	t͡ɕ uː ɭ u r u
சதுரம்	t͡ɕ ɐ d̪ u ɾ ɐ m
சக்கரை	t͡ɕ ɐ kː ɐ ɾ a ɪ̯
சல்லடை	t͡ɕ ɐ l l ɐ ɖ a ɪ̯
சல்லரி	t͡ɕ ɐ l l ɐ ɾ i
சலங்கு	t͡ɕ ɐ l ɐ ŋ ɡ u
சம்பவி	t͡ɕ ɐ m b ɐ ʋ i
சமீபம்	t͡ɕ ɐ m iː b ɐ m
சமூகம்	t͡ɕ ɐ m uː ɡ ɐ m
சமவெளி	t͡ɕ ɐ m ɐ ʋ e ɭ i
சத்தம்	t͡ɕ ɐ t̪ː ɐ m
சச்சம்	t͡ɕ ɐ t͡ɕː ɐ m
சடையன்	t͡ɕ ɐ ɖ a ɪ̯ j ɐ n
சடாலம்	t͡ɕ ɐ ɖ aː l ɐ m
சகோதரி	t͡ɕ ɐ ɡ oː d̪ ɐ ɾ i
சருமம்	t͡ɕ ɐ ɾ u m ɐ m
சருவம்	t͡ɕ ɐ ɾ u ʋ ɐ m
சரக்கு	t͡ɕ ɐ ɾ ɐ kː u
சரவாக்	t͡ɕ ɐ ɾ ɐ ʋ aː k
சகரியா	t͡ɕ ɐ ɡ ɐ ɾ i j aː
சங்கம்	t͡ɕ ɐ ŋ ɡ ɐ m
சடங்கு	t͡ɕ ɐ ɖ ɐ ŋ ɡ u
சட்டம்	t͡ɕ ɐ ʈː ɐ m
சரணடைய	t͡ʃaɾaɳaʈajja
சரணும்	t͡ʃaɾaɳum
சரியாக	t͡ʃaɾijaːka
சாய்னா	t͡ʃaːjnaː
சாகும்	t͡ʃaːkum
சாதகம்	t͡ʃaːt̪akam
சட்டம்	t͡ʃaʈʈam
சட்டப்	t͡ʃaʈʈap
சாவேஸ்	t͡ʃaːʋeːs
சார்பு	t͡ʃaːɾpu
செயலர்	t͡ʃejalaɾ
செய்த்	t͡ʃejt̪
செய்தி	t͡ʃejt̪i
செய்து	t͡ʃejt̪u
சென்னை	t͡ʃennaj
சென்ற்	t͡ʃenr
சென்று	t͡ʃenru
செப்பு	t͡ʃeppu
செத்து	t͡ʃet̪t̪u
செட்டை	t͡ʃeʈʈaj
சிலையை	t͡ʃilajjaj
சிறைத்	t͡ʃirajt̪
சிறந்த	t͡ʃiran̪t̪a
சித்து	t͡ʃit̪t̪u
சிராக்	t͡ʃiɾaːk
சிடிசி	t͡ʃiʈit͡ʃi
சிங்கள	t͡ʃiŋkaɭa
சுமார்	t͡ʃumaːɾ
உபாயம்	u b aː j ɐ m
உபோதம்	u b oː d̪ ɐ m
உபயோகி	u b ɐ j oː ɡ i
உதிரம்	u d̪ i ɾ ɐ m
உயிரணு	u j i ɾ ɐ ɳ u
உயர்பு	u j ɐ ɾ b u
உயரமான	u j ɐ ɾ ɐ m aː n ɐ
உயர்வு	u j ɐ ɾ ʋ u
உலோபம்	u l oː b ɐ m
உலோகம்	u l oː ɡ ɐ m
உலுவம்	u l u ʋ ɐ m
உலங்கு	u l ɐ ŋ ɡ u
உன்னல்	u nː ɐ l
உன்னம்	u nː ɐ m
உறுகண்	u r u ɡ ɐ ɳ
உறப்பு	u r ɐ pː u
உறங்கு	u r ɐ ŋ ɡ u
உறழ்வு	u r ɐ ɻ ʋ u
உத்தரி	u t̪ː ɐ ɾ i
உளியம்	u ɭ i j ɐ m
உரோமம்	u ɾ oː m ɐ m
உருவம்	u ɾ u ʋ ɐ m
உருண்ட	u ɾ u ɳ ɖ ɐ
உண்டாக	u ɳ ɖ aː ɡ ɐ
உடம்பு	u ɖ ɐ m b u
உளவாளி	u ɭ ɐ ʋ aː ɭ i
உஷ்ணம்	u ʂ ɳ ɐ m
உணர்வு	u ɳ ɐ ɾ ʋ u
உணவகம்	u ɳ ɐ ʋ ɐ ɡ ɐ m
உள்ளது	u ɭː ɐ d̪ u
உள்ளம்	u ɭː ɐ m
உயர்வ்	ujaɾʋ
உயர்வு	ujaɾʋu
உலகில்	ulakil
உலகின்	ulakin
உறவில்	uraʋil
உதவியை	ut̪aʋijaj
ஊதியம்	uː d̪ i j ɐ m
ஊக்கம்	uː kː ɐ m
ஊற்றம்	uː rː ɐ m
ஊஞ்சல்	uː ɲ d͡ʑ ɐ l
ஊழியம்	uː ɻ i j ɐ m
ஊழியன்	uː ɻ i j ɐ n
ஊட்டம்	uː ʈː ɐ m
உருவப்	uɾuʋap
உள்ளத்	uɭɭat̪
உள்ளது	uɭɭat̪u
ஊழியர்	uːɻijaɾ
வைபவம்	ʋ a ɪ̯ b ɐ ʋ ɐ m
வையகம்	ʋ a ɪ̯ j ɐ ɡ ɐ m
வைப்பு	ʋ a ɪ̯ pː u
வௌவால்	ʋ a ʊ̯ ʋ aː l
வைகாசி	ʋ a ɪ̯ ɡ aː t͡ɕ i
கௌரவம்	ɡ a ʊ̯ ɾ ɐ ʋ ɐ m
வைணவம்	ʋ a ɪ̯ ɳ ɐ ʋ ɐ m
வைணவன்	ʋ a ɪ̯ ɳ ɐ ʋ ɐ n
ஞாபகம்	ɲ aː b ɐ ɡ ɐ m
வாயில்	ʋ aː j i l
ஞாயிறு	ɲ aː j i r u
வாய்மை	ʋ aː j m a ɪ̯
வாயவிய	ʋ aː j ɐ ʋ i j ɐ
வாக்கு	ʋ aː kː u
வானிலை	ʋ aː n i l a ɪ̯
வானொலி	ʋ aː n o l i
வானகம்	ʋ aː n ɐ ɡ ɐ m
வானவர்	ʋ aː n ɐ ʋ ɐ ɾ
வாந்தி	ʋ aː n̪ d̪ i
வாத்து	ʋ aː t̪ː u
வாணாள்	ʋ aː ɳ aː ɭ
வாகினி	ʋ aː ɡ i n i
வாரிசு	ʋ aː ɾ i t͡ɕ u
ஞாபகம்	ɲ aː ʋ ɐ m
வாகனம்	ʋ aː ɡ ɐ n ɐ m
காண்டு	ɡ aː ɳ ɖ u
வாங்கு	ʋ aː ŋ ɡ u
வாழ்வு	ʋ aː ɻ ʋ u
வாகடம்	ʋ aː ɡ ɐ ɖ ɐ m
வாரணம்	ʋ aː ɾ ɐ ɳ ɐ m
ராகவன்	ɾ aː ɡ ɐ ʋ ɐ n
அபாயம்	ɐ b aː j ɐ m
அபாரம்	ɐ b aː ɾ ɐ m
அதிகம்	ɐ d̪ i ɡ ɐ m
அதிகரி	ɐ d̪ i ɡ ɐ ɾ i
அதனால்	ɐ d̪ ɐ n aː l
வெயில்	ʋ e j i l
வெக்கை	ʋ e kː a ɪ̯
டெல்லி	ʈ e l l i
ரெம்பு	ɾ e m b u
வெறிது	ʋ e r i d̪ u
வெறும்	ʋ e r u m
வெறுமை	ʋ e r u m a ɪ̯
வெற்றி	ʋ e rː i
வெண்பா	ʋ e ɳ b aː
வெண்மை	ʋ e ɳ m a ɪ̯
வெகுளி	ʋ e ɡ u ɭ i
வெருகு	ʋ e ɾ u ɡ u
வெண்டை	ʋ e ɳ ɖ a ɪ̯
ரெண்டு	ɾ e ɳ ɖ u
வெள்ளி	ʋ e ɭː i
வெட்டு	ʋ e ʈː u
வேலூர்	ʋ eː l uː ɾ
வேம்பு	ʋ eː m b u
வேனில்	ʋ eː n i l
டேஸ்டு	ɖ eː s ʈ u
டேஸ்டு	ʈ eː s ʈ u
வேசியை	ʋ eː t͡ɕ i j a ɪ̯
வேங்கை	ʋ eː ŋ ɡ a ɪ̯
வேர்வை	ʋ eː ɾ ʋ a ɪ̯
வேண்டி	ʋ eː ɳ ɖ i
வேள்வி	ʋ eː ɭ ʋ i
வேண்டு	ʋ eː ɳ ɖ u
வேட்டை	ʋ eː ʈː a ɪ̯
வேட்டி	ʋ eː ʈː i
அகிலம்	ɐ h i l ɐ m
வியாபி	ʋ i j aː b i
விக்கு	ʋ i kː u
விலயம்	ʋ i l ɐ j ɐ m
ஞிமிறு	ɲ i m i r u
விநாடி	ʋ i n̪ aː ɖ i
விந்து	ʋ i n̪ d̪ u
விசிறி	ʋ i t͡ɕ i r i
வித்து	ʋ i t̪ː u
விசனம்	ʋ i t͡ɕ ɐ n ɐ m
விச்சை	ʋ i t͡ɕː a ɪ̯
விளைவி	ʋ i ɭ a ɪ̯ ʋ i
விரைவு	ʋ i ɾ a ɪ̯ ʋ u
விளைவு	ʋ i ɭ a ɪ̯ ʋ u
விழைவு	ʋ i ɻ a ɪ̯ ʋ u
விழுதி	ʋ i ɻ u d̪ i
விழுது	ʋ i ɻ u d̪ u
விடுவி	ʋ i ɖ u ʋ i
ரிஷபம்	ɾ i ʂ ɐ b ɐ m
விரதம்	ʋ i ɾ ɐ d̪ ɐ m
கிண்டி	ɡ i ɳ ɖ i
விரயம்	ʋ i ɾ ɐ j ɐ m
விஷ்ணு	ʋ i ʂ ɳ u
ஐதரசன்	ɐ i̯ d̪ ɐ ɾ ɐ t͡ɕ ɐ n
ஐயனார்	ɐ i̯ j ɐ n aː ɾ
ஐம்பது	ɐ i̯ m b ɐ d̪ u
ஐப்பசி	ɐ i̯ pː ɐ t͡ɕ i
வீச்சு	ʋ iː t͡ɕː u
ஐகாரம்	ɐ i̯ ɡ aː ɾ ɐ m
வீங்கு	ʋ iː ŋ ɡ u
அயலான்	ɐ j ɐ l aː n
அக்கரை	ɐ kː ɐ ɾ a ɪ̯
அல்லதை	ɐ l l ɐ d̪ a ɪ̯
அல்லது	ɐ l l ɐ d̪ u
அல்லல்	ɐ l l ɐ l
அலுவல்	ɐ l u ʋ ɐ l
அலுவம்	ɐ l u ʋ ɐ m
அலமாரி	ɐ l ɐ m aː ɾ i
அலம்பு	ɐ l ɐ m b u
அமையம்	ɐ m a ɪ̯ j ɐ m
அம்பர்	ɐ m b ɐ ɾ
அமிலம்	ɐ m i l ɐ m
அமுதம்	ɐ m u d̪ ɐ m
அம்மன்	ɐ mː ɐ n
அனுபவி	ɐ n u b ɐ ʋ i
அனுமதி	ɐ n u m ɐ d̪ i
அனுமன்	ɐ n u m ɐ n
அன்னம்	ɐ nː ɐ m
கொய்யா	ɡ o jː aː
கொலுசு	ɡ o l u t͡ɕ u
கொலுசு	ɡ o l ɯ s ɯ
ரொம்பு	ɾ o m b u
ரொஷ்டு	ɾ o ʂ ʈ u
ரொட்டி	ɾ o ʈː i
ரோஹிணி	ɾ oː h i ɳ i
கோந்து	ɡ oː n̪ d̪ u
ரோகிணி	ɾ oː ɡ i ɳ i
அப்பம்	ɐ pː ɐ m
அப்பன்	ɐ pː ɐ n
அப்படி	ɐ pː ɐ ɖ i
அறிஞர்	ɐ r i ɲ ɐ ɾ
அறுபது	ɐ r u b ɐ d̪ u
அறுவடை	ɐ r u ʋ ɐ ɖ a ɪ̯
அசைவம்	ɐ t͡ɕ a ɪ̯ ʋ ɐ m
அத்தனை	ɐ t̪ː ɐ n a ɪ̯
அச்சம்	ɐ t͡ɕː ɐ m
அச்சன்	ɐ t͡ɕː ɐ n
குதிரை	ɡ u d̪ i ɾ a ɪ̯
குல்லா	ɡ u l l aː
ரூபாய்	ɾ uː b aː j
ஔவியம்	ɐ u̯ ʋ i j ɐ m
அரைகல்	ɐ ɾ a ɪ̯ ɡ ɐ l
வதந்தி	ʋ ɐ d̪ ɐ n̪ d̪ i
அஞ்சல்	ɐ ɲ d͡ʑ ɐ l
அணியம்	ɐ ɳ i j ɐ m
அரியணை	ɐ ɾ i j ɐ ɳ a ɪ̯
அகிலம்	ɐ ɡ i l ɐ m
அணிகம்	ɐ ɳ i ɡ ɐ m
அடிகள்	ɐ ɖ i ɡ ɐ ɭ
அணிவகு	ɐ ɳ i ʋ ɐ ɡ u
வயநாடு	ʋ ɐ j ɐ n̪ aː ɖ u
வலைஒளி	ʋ ɐ l a ɪ̯ o ɭ i
வலாகம்	ʋ ɐ l aː ɡ ɐ m
ஶல்யம்	ɕ ɐ l j ɐ m
வல்லமை	ʋ ɐ l l ɐ m a ɪ̯
வல்லடி	ʋ ɐ l l ɐ ɖ i
வல்லரி	ʋ ɐ l l ɐ ɾ i
ரம்பம்	ɾ ɐ m b ɐ m
வமிசம்	ʋ ɐ m i t͡ɕ ɐ m
வம்சம்	ʋ ɐ m t͡ɕ ɐ m
ரமலான்	ɾ ɐ m ɐ l aː n
ரப்பர்	ɾ ɐ pː ɐ ɾ
வறட்சி	ʋ ɐ r ɐ ʈ t͡ɕ i
அஃறிணை	ə ɦ r ɪ ɳ ə ɪ̯
வறட்டி	ʋ ɐ r ɐ ʈː i
வற்றல்	ʋ ɐ rː ɐ l
வற்றம்	ʋ ɐ rː ɐ m
ஶஸ்யம்	ɕ ɐ s j ɐ m
வசியம்	ʋ ɐ t͡ɕ i j ɐ m
ரத்தம்	ɾ ɐ t̪ː ɐ m
வசம்பு	ʋ ɐ t͡ɕ ɐ m b u
அடுமனை	ɐ ɖ u m ɐ n a ɪ̯
அடுத்த	ɐ ɖ u t̪ː ɐ
அருகல்	ɐ ɾ u ɡ ɐ l
அருகலை	ɐ ɾ u ɡ ɐ l a ɪ̯
வளையல்	ʋ ɐ ɭ a ɪ̯ j ɐ l
வளாகம்	ʋ ɐ ɭ aː ɡ ɐ m
அவதூறு	ɐ ʋ ɐ d̪ uː r u
வஞ்சம்	ʋ ɐ ɲ d͡ʑ ɐ m
கணிதம்	ɡ ɐ ɳ i d̪ ɐ m
வழிநடை	ʋ ɐ ɻ i n̪ ɐ ɖ a ɪ̯
வடிவம்	ʋ ɐ ɖ i ʋ ɐ m
வழிவகை	ʋ ɐ ɻ i ʋ ɐ ɡ a ɪ̯
அரக்கி	ɐ ɾ ɐ kː i
அடக்கு	ɐ ɖ ɐ kː u
அரக்கு	ɐ ɾ ɐ kː u
அகந்தை	ɐ ɡ ɐ n̪ d̪ a ɪ̯
அகப்பை	ɐ ɡ ɐ pː a ɪ̯
அகப்பா	ɐ ɡ ɐ pː aː
அகப்பு	ɐ ɡ ɐ pː u
அகற்சி	ɐ ɡ ɐ r t͡ɕ i
அகற்று	ɐ ɡ ɐ rː u
அரத்தை	ɐ ɾ ɐ t̪ː a ɪ̯
வழுதலை	ʋ ɐ ɻ u d̪ ɐ l a ɪ̯
வருடம்	ʋ ɐ ɾ u ɖ ɐ m
வருஷம்	ʋ ɐ ɾ u ʂ ɐ m
கருடன்	ɡ ɐ ɾ u ɖ ɐ n
வருணன்	ʋ ɐ ɾ u ɳ ɐ n
வருணனை	ʋ ɐ ɾ u ɳ ɐ n a ɪ̯
அகராதி	ɐ ɡ ɐ ɾ aː d̪ i
அளவில்	ɐ ɭ ɐ ʋ i l
வடக்கு	ʋ ɐ ɖ ɐ kː u
வழக்கு	ʋ ɐ ɻ ɐ kː u
வரலாறு	ʋ ɐ ɾ ɐ l aː r u
அங்கம்	ɐ ŋ ɡ ɐ m
அண்டம்	ɐ ɳ ɖ ɐ m
வரம்பு	ʋ ɐ ɾ ɐ m b u
வடமொழி	ʋ ɐ ɖ ɐ m o ɻ i
வரப்பு	ʋ ɐ ɾ ɐ pː u
வடசொல்	ʋ ɐ ɖ ɐ t͡ɕ o l
வரத்து	ʋ ɐ ɾ ɐ t̪ː u
அங்கண்	ɐ ŋ ɡ ɐ ɳ
அகங்கை	ɐ ɡ ɐ ŋ ɡ a ɪ̯
கர்வம்	ɡ ɐ ɾ ʋ ɐ m
டங்கம்	ʈ ɐ ŋ ɡ ɐ m
வர்ணம்	ʋ ɐ ɾ ɳ ɐ m
வர்ஷம்	ʋ ɐ ɾ ʂ ɐ m
அடங்கு	ɐ ɖ ɐ ŋ ɡ u
அணங்கு	ɐ ɳ ɐ ŋ ɡ u
வணங்கு	ʋ ɐ ɳ ɐ ŋ ɡ u
வழங்கு	ʋ ɐ ɻ ɐ ŋ ɡ u
வள்ளல்	ʋ ɐ ɭː ɐ l
வட்டம்	ʋ ɐ ʈː ɐ m
வண்ணம்	ʋ ɐ ɳː ɐ m
வள்ளம்	ʋ ɐ ɭː ɐ m
அவ்வது	ɐ ʋː ɐ d̪ u
அட்டம்	ɐ ʈː ɐ m
அண்ணன்	ɐ ɳː ɐ n
அவ்வழி	ɐ ʋː ɐ ɻ i
வைத்த்	ʋajt̪t̪
வைத்து	ʋajt̪t̪u
வன்மம்	ʋanmam
வந்தது	ʋan̪t̪at̪u
வதேதரா	ʋat̪eːt̪aɾaː
வசதிய்	ʋat͡ʃat̪ij
வழக்கை	ʋaɻakkaj
வடக்கு	ʋaʈakku
வரப்பட	ʋaɾappaʈa
வழங்கி	ʋaɻaŋki
வளரும்	ʋaɭaɾum
ஷாஜோய்	ʂaːd͡ʒoːj
வழியாக	ʋaɻijaːka
ரஷ்யத்	ɾaʂjat̪
வாகனம்	ʋaːkanam
ஷாகிர்	ʂaːkiɾ
வாக்கு	ʋaːkku
வருகிற	ʋaɾukira
வருவத்	ʋaɾuʋat̪
வருவது	ʋaɾuʋat̪u
வாழும்	ʋaːɻum
வென்ற்	ʋenr
வென்று	ʋenru
வெற்றி	ʋerri
டெஸ்ட்	ʈesʈ
வெளியே	ʋeɭijeː
வேலையை	ʋeːlajjaj
வேலூர்	ʋeːluːɾ
வெள்ளை	ʋeɭɭaj
டிஜிபி	ʈid͡ʒipi
விபரீத	ʋipaɾiːt̪a
விவசாய	ʋiʋat͡ʃaːja
விவரம்	ʋiʋaɾam
விழாவை	ʋiɻaːʋaj
ரீதிய்	ɾiːt̪ij
விருதை	ʋiɾut̪aj
விருது	ʋiɾut̪u
வீரமணி	ʋiːɾamaɳi
விட்டன	ʋiʈʈana
விட்டு	ʋiʈʈu
வீட்டை	ʋiːʈʈaj
வீட்டு	ʋiːʈʈu
பெரிஸ்ûஸ	peɾisûsa
ஐந்தில்	ajn̪t̪il
அகதிகள்	akat̪ikaɭ
அமைந்த்	amajn̪t̪
அமைப்பு	amajppu
அமைத்து	amajt̪t̪u
அனைத்து	anajt̪t̪u
அந்தந்த	an̪t̪an̪t̪a
அபராதத்	apaɾaːt̪at̪
அப்போது	appoːt̪u
அப்துல்	apt̪ul
அறிக்கை	arikkaj
அற்றவன்	arraʋan
அதன்படி	at̪anpaʈi
அதற்கான	at̪arkaːna
அதிகாலை	at̪ikaːlaj
அதிகாரி	at̪ikaːɾi
அத்தகைய	at̪t̪akajja
ஆயிட்டு	aː j i ʈː u
ஆய்ச்சி	aː j t͡ɕː i
ஆயத்தம்	aː j ɐ t̪ː ɐ m
ஆக்கினை	aː kː i n a ɪ̯
ஆலாபனம்	aː l aː b ɐ n ɐ m
ஆப்காரி	aː p k aː ɾ i
ஆகையால்	aː ɡ a ɪ̯ j aː l
ஆணையிடு	aː ɳ a ɪ̯ j i ɖ u
ஆடாதோடை	aː ɖ aː d̪ oː ɖ a ɪ̯
ஆண்பால்	aː ɳ b aː l
ஆணிவேர்	aː ɳ i ʋ eː ɾ
ஆரிருள்	aː ɾ i ɾ u ɭ
ஆர்த்தி	aː ɾ t̪ː i
ஆடுமாடு	aː ɖ u m aː ɖ u
ஆவுளியா	aː ʋ u ɭ i j aː
ஆண்டான்	aː ɳ ɖ aː n
ஆழ்வார்	aː ɻ ʋ aː ɾ
ஆரம்பம்	aː ɾ ɐ m b ɐ m
ஆண்குறி	aː ɳ ɡ u r i
ஆகடியம்	aː ɡ ɐ ɖ i j ɐ m
ஆங்கனம்	aː ŋ ɡ ɐ n ɐ m
ஆழ்கடல்	aː ɻ ɡ ɐ ɖ ɐ l
ஆண்டவன்	aː ɳ ɖ ɐ ʋ ɐ n
ஆங்ஙனம்	aː ŋː ɐ n ɐ m
அடைந்த்	aʈajn̪t̪
அழைப்பு	aɻajppu
அழைத்த்	aɻajt̪t̪
அடைத்து	aʈajt̪t̪u
அவமானம்	aʋamaːnam
அரசியல்	aɾat͡ʃijal
அரசிடம்	aɾat͡ʃiʈam
அவரிடமே	aʋaɾiʈameː
அவர்கள்	aʋaɾkaɭ
அவர்களை	aʋaɾkaɭaj
அவருடன்	aʋaɾuʈan
அணியைச்	aɳijajt͡ʃ
அணியின்	aɳijin
ஆயிரமாக	aːjiɾamaːka
ஆய்வுத்	aːjʋut̪
ஆய்வுச்	aːjʋut͡ʃ
ஆகியோர்	aːkijoːɾ
ஆகியோரை	aːkijoːɾaj
ஆலையின்	aːlajjin
ஆற்றிக்	aːrrik
அருகில்	aɾukil
அடுத்து	aʈut̪t̪u
ஆணையராக	aːɳajjaɾaːka
அட்டாரி	aʈʈaːɾi
ஆட்சியை	aːʈt͡ʃijaj
ஆண்டில்	aːɳʈil
ஆண்டின்	aːɳʈin
பூகோளம்	b uː ɡ oː ɭ ɐ m
பயப்படு	b ɐ j ɐ pː ɐ ɖ u
பக்ரித்	b ɐ k ɾ i t̪
பலவீனம்	b ɐ l ɐ ʋ iː n ɐ m
பம்பரம்	b ɐ m b ɐ ɾ ɐ m
பரோட்டா	b ɐ ɾ oː ʈː aː
தைரியம்	d̪ a ɪ̯ ɾ i j ɐ m
தெய்வம்	d̪ e j ʋ ɐ m
தேசபாஷை	d̪ eː t͡ɕ ɐ b aː ʂ a ɪ̯
துக்கம்	d̪ u kː ɐ m
துரோகம்	d̪ u ɾ oː ɡ ɐ m
துருகம்	d̪ u ɾ u ɡ ɐ m
தூமகேது	d̪ uː m a k eː d̪ u
தூமகேது	d̪ uː m ɐ k eː d̪ ɯ
துரோகம்	d̪ ɾ oː h ɐ m
தண்டனம்	d̪ ɐ ɳ ɖ ɐ n ɐ m
ஜாஃப்னா	d͡ʑ aː f n aː
ஜென்மம்	d͡ʑ e n m ɐ m
ஜெர்மன்	d͡ʑ e ɾ m ɐ n
ஜிந்தகி	d͡ʑ i n̪ d̪ ɐ ɡ i
ஜிராயதி	d͡ʑ i ɾ aː j ɐ d̪ i
ஜீவிதம்	d͡ʑ iː ʋ i d̪ ɐ m
ஜோதிடம்	d͡ʑ oː d̪ i ɖ ɐ m
ஜலுப்பு	d͡ʑ ɐ l u pː u
ஜலதோஷம்	d͡ʑ ɐ l ɐ d̪ oː ʂ ɐ m
ஜமாத்து	d͡ʑ ɐ m aː t̪ː u
ஜப்பான்	d͡ʑ ɐ pː aː n
ஜங்கிள்	d͡ʑ ɐ ŋ ɡ i ɭ
ஜப்பான்	d͡ʒappaːn
ஜப்பார்	d͡ʒappaːɾ
ஜெர்மனி	d͡ʒeɾmani
எதிராளி	e d̪ i ɾ aː ɭ i
எதிரொலி	e d̪ i ɾ o l i
எதுக்கு	e d̪ u kː u
எலும்பு	e l u m b u
என்பான்	e n b aː n
எனினும்	e n i n u m
என்றால்	e n r aː l
என்றவன்	e n r ɐ ʋ ɐ n
என்னும்	e nː u m
என்னணம்	e nː ɐ ɳ ɐ m
என்னவன்	e nː ɐ ʋ ɐ n
எற்பாடு	e r p aː ɖ u
எறும்பி	e r u m b i
எறும்பு	e r u m b u
எத்தும்	e t̪ː u m
எத்துணை	e t̪ː u ɳ a ɪ̯
எத்தனம்	e t̪ː ɐ n ɐ m
எச்சில்	e t͡ɕː i l
எரேமியா	e ɾ eː m i j aː
எகிப்து	e ɡ i p t̪ u
எழுநூறு	e ɻ u n̪ uː r u
எழுபோது	e ɻ u p oː d̪ u
எழுப்பு	e ɻ u pː u
எழுத்து	e ɻ u t̪ː u
எழுச்சி	e ɻ u t͡ɕː i
எழுவாய்	e ɻ u ʋ aː j
எங்கும்	e ŋ ɡ u m
எவர்கள்	e ʋ ɐ ɾ ɡ ɐ ɭ
எவ்வாறு	e ʋː aː r u
எண்ணெய்	e ɳː e j
எண்ணூறு	e ɳː uː r u
எவ்வளவு	e ʋː ɐ ɭ ɐ ʋ u
எல்லைய்	ellajj
எனினும்	eninum
என்றார்	enraːɾ
என்றும்	enrum
எஸ்டேட்	esʈeːʈ
எதிரில்	et̪iɾil
எதுவும்	et̪uʋum
ஏதின்மை	eː d̪ i n m a ɪ̯
ஏமாற்று	eː m aː rː u
ஏந்திழை	eː n̪ d̪ i ɻ a ɪ̯
ஏறுநீர்	eː r u n̪ iː ɾ
ஏத்தாளி	eː t̪ː aː ɭ i
ஏழ்நூறு	eː ɻ n̪ uː r u
