ღ,ʁ
ბრტყელტუჩა,bɾtʼχʼeltʼut͡ʃʰa
ბრტყლად,bɾtʼχʼɫad
ბრუნდება,bɾundeba
ბრუნეი,bɾunei
ბრუნვა,bɾunʷa
ბრუნვადი,bɾunʷadi
ბრუნვითი,bɾunʷitʰi
ბრუნი,bɾuni
ბრძანდებით,bɾd͡zandebitʰ
ბრძანება,bɾd͡zaneba
ბრძანებითი,bɾd͡zanebitʰi
ბრძანებულება,bɾd͡zanebuleba
ბრძენი,bɾd͡zeni
ბრძნულად,bɾd͡znuɫad
ბრძნული,bɾd͡znuli
ბრძოლა,bɾd͡zoɫa
ბრძოლად,bɾd͡zoɫad
ბრძოლამ,bɾd͡zoɫam
ბრძოლას,bɾd͡zoɫas
ბრძოლით,bɾd͡zolitʰ
ბრძოლის,bɾd͡zolis
ბრწამლი,bɾt͡sʼamli
ბრწყინავს,bɾt͡sʼχʼinafs
ბრწყინვალე,bɾt͡sʼχʼinʷale
ბრწყინვალება,bɾt͡sʼχʼinʷaleba
ბრწყინვალედ,bɾt͡sʼχʼinʷaled
ბრჭყალი,bɾt͡ʃʼχʼali
ბრჯენი,bɾd͡ʒeni
ბუ,bu
ბუგრი,buɡɾi
ბუდაპეშტი,budapʼeʃtʼi
ბუდე,bude
ბუდიზმი,budizmi
ბუდისტი,budistʼi
ბუდობა,budoba
ბუდუარი,buduaɾi
ბუზანკალი,buzankʼali
ბუზი,buzi
ბუკი,bukʼi
ბუკლეტი,bukʼletʼi
ბუკმეკერი,bukʼmekʼeɾi
ბუკმოლი,bukʼmoli
ბუკოლიკური,bukʼolikʼuɾi
ბულბული,bulbuli
ბულგარეთი,bulɡaɾetʰi
ბულგარული,bulɡaɾuli
ბულდოგი,buldoɡi
ბულდოზერი,buldozeɾi
ბულვარი,bulʷaɾi
ბულინგი,bulinɡi
ბულიონი,bulioni
ბუმბული,bumbuli
ბუმერანგი,bumeɾanɡi
ბუმი,bumi
ბუნგალო,bunɡaɫo
ბუნდოვანება,bundovaneba
ბუნდოვანი,bundovani
ბუნდოვნად,bundovnad
ბუნება,buneba
ბუნები,bunebi
ბუნებრივად,bunebɾivad
ბუნებრივი,bunebɾivi
ბუნებრიობა,bunebɾioba
ბუნი,buni
ბუნიობა,bunioba
ბუნკერი,bunkʼeɾi
ბუნტი,buntʼi
ბურახი,buɾaχi
ბურბონი,buɾboni
ბურბურა,buɾbuɾa
ბურბუშელა,buɾbuʃeɫa
ბურგომისტრი,buɾɡomistʼɾi
ბურგონი,buɾɡoni
ბურგუნდია,buɾɡundia
ბურგუნდისფერი,buɾɡundispʰeɾi
ბურდავს,buɾdafs
ბურდღა,buɾdʁa
ბურვაკი,buɾʷakʼi
ბურთი,buɾtʰi
ბურთულა,buɾtʰuɫa
ბურნუთი,buɾnutʰi
ბურჟუა,buɾʒua
ბურჟუაზია,buɾʒuazia
ბურჟუაზიული,buɾʒuaziuli
ბურტყლი,buɾtʼχʼli
ბურუნდი,buɾundi
ბურღავს,buɾʁafs
ბურღი,buɾʁi
ბურცობი,buɾt͡sʰobi
ბურჯი,buɾd͡ʒi
ბუსუსი,bususi
ბუსუსიანი,bususiani
ბუტკო,butʼkʼo
ბუფერი,bupʰeɾi
ბუფეტი,bupʰetʼi
ბუქარესტი,bukʰaɾestʼi
ბუქი,bukʰi
ბუქსირება,bukʰsiɾeba
ბუქსირები,bukʰsiɾebi
ბუქსირი,bukʰsiɾi
ბუღალტერი,buʁaltʼeɾi
ბუღალტერია,buʁaltʼeɾia
ბუშლატი,buʃɫatʼi
ბუშტი,buʃtʼi
ბუშტოვანი,buʃtʼovani
ბუშტულა,buʃtʼuɫa
ბუჩქი,but͡ʃʰkʰi
ბუჩქნარი,but͡ʃʰkʰnaɾi
ბუხარი,buχaɾi
ბუხჰალტერი,buχhaltʼeɾi
ბჭისკარი,bt͡ʃʼiskʼaɾi
ბჰუტანი,bhutʼani
გ,ɡ
გააადამიანებს,ɡaaadamianebs
გააადვილებს,ɡaaadʷilebs
გააგრძელებ,ɡaaɡɾd͡zeleb
გააგრძელებს,ɡaaɡɾd͡zelebs
გაადიდებს,ɡaadidebs
გაათავებს,ɡaatʰavebs
გააკეთებდა,ɡaakʼetʰebda
გააკეთებს,ɡaakʼetʰebs
გააკუებს,ɡaakʼuebs
გაალამაზებს,ɡaaɫamazebs
გაამდიდრებს,ɡaamdidɾebs
გაამოთ,ɡaamotʰ
გაანდო,ɡaando
გაასწორებს,ɡaast͡sʼoɾebs
გაატარებს,ɡaatʼaɾebs
გაატარეს,ɡaatʼaɾes
გააფთრებული,ɡaapʰtʰɾebuli
გააღებს,ɡaaʁebs
გააჩნია,ɡaat͡ʃʰnia
გააცნობს,ɡaat͡sʰnobs
გააძნელებს,ɡaad͡znelebs
გააწიწმატებს,ɡaat͡sʼit͡sʼmatʼebs
გაახურებს,ɡaaχuɾebs
გაახურეთ,ɡaaχuɾetʰ
გააჯვი,ɡaad͡ʒʷi
გაბარდინი,ɡabaɾdini
გაბარდული,ɡabaɾduli
გაბატონებულად,ɡabatʼonebuɫad
გაბატონებული,ɡabatʼonebuli
გაბაშვილი,ɡabaʃʷili
გაბედულად,ɡabeduɫad
გაბედულება,ɡabeduleba
გაბედული,ɡabeduli
გაბერილი,ɡabeɾili
გაბზარული,ɡabzaɾuli
გაბიაბრუება,ɡabiabɾueba
გაბნეული,ɡabneuli
გაბონი,ɡaboni
გაბრაზებით,ɡabɾazebitʰ
გაბრაზებული,ɡabɾazebuli
გაბრუებული,ɡabɾuebuli
გაბუტულად,ɡabutʼuɫad
გაბღენძილი,ɡabʁend͡zili
გაგებით,ɡaɡebitʰ
გაგიმარჯოს,ɡaɡimaɾd͡ʒos
გაგიჟებით,ɡaɡiʒebitʰ
გაგიჟებული,ɡaɡiʒebuli
გაგონება,ɡaɡoneba
გაგრა,ɡaɡɾa
გაგრძელება,ɡaɡɾd͡zeleba
გადააადგილებს,ɡadaaadɡilebs
გადააგდებს,ɡadaaɡdebs
გადაადგილება,ɡadaadɡileba
გადაარქმევს,ɡadaaɾkʰmefs
გადააღწევს,ɡadaaʁt͡sʼefs
გადაგდება,ɡadaɡdeba
გადადიან,ɡadadian
გადადის,ɡadadis
გადავაღწიე,ɡadavaʁt͡sʼie
გადავიხადე,ɡadaviχade
გადავიხადო,ɡadaviχado
გადავიხდი,ɡadaviχdi
გადავწყვიტე,ɡadaft͡sʼχʼʷitʼe
გადათარგმნის,ɡadatʰaɾɡmnis
გადაიხადა,ɡadaiχada
გადაიხადოს,ɡadaiχados
გადაიხდი,ɡadaiχdi
გადაიხდიან,ɡadaiχdian
გადაიხდის,ɡadaiχdis
გადაკრული,ɡadakʼɾuli
გადამდგარი,ɡadamdɡaɾi
გადამდები,ɡadamdebi
გადამთიელი,ɡadamtʰieli
გადამოწმებადი,ɡadamot͡sʼmebadi
გადამცემი,ɡadamt͡sʰemi
გადამწერი,ɡadamt͡sʼeɾi
გადამწყვეტად,ɡadamt͡sʼχʼʷetʼad
გადამწყვეტი,ɡadamt͡sʼχʼʷetʼi
გადარეული,ɡadaɾeuli
გადარეცხილი,ɡadaɾet͡sʰχili
გადარქმევა,ɡadaɾkʰmeva
გადასაზიდი,ɡadasazidi
გადასაწყვეტი,ɡadasat͡sʼχʼʷetʼi
გადასახადი,ɡadasaχadi
გადასვლა,ɡadasʷɫa
გადასინჯავს,ɡadasind͡ʒafs
გადატანა,ɡadatʼana
გადატანითი,ɡadatʼanitʰi
გადატანილი,ɡadatʼanili
გადატვირთვა,ɡadatʼʷiɾtʰʷa
გადატვირთული,ɡadatʼʷiɾtʰuli
გადაუდებლად,ɡadaudebɫad
გადაულახავად,ɡadauɫaχavad
გადაულახავი,ɡadauɫaχavi
გადაუხაზავი,ɡadauχazavi
გადაუხდელი,ɡadauχdeli
გადაუხდელობა,ɡadauχdeɫoba
გადაუხურავი,ɡadauχuɾavi
გადაქანცული,ɡadakʰant͡sʰuli
გადაღეჭილი,ɡadaʁet͡ʃʼili
გადაწერეთ,ɡadat͡sʼeɾetʰ
გადაწერს,ɡadat͡sʼeɾs
გადაწყვეტილება,ɡadat͡sʼχʼʷetʼileba
გადაწყვეტს,ɡadat͡sʼχʼʷetʼs
გადაწყვიტა,ɡadat͡sʼχʼʷitʼa
გადაჭარბებულად,ɡadat͡ʃʼaɾbebuɫad
გადაჭიმული,ɡadat͡ʃʼimuli
გადაჭრით,ɡadat͡ʃʼɾitʰ
გადახდა,ɡadaχda
გადახდები,ɡadaχdebi
გადახდილი,ɡadaχdili
გადახდის,ɡadaχdis
გადახოტრილი,ɡadaχotʼɾili
გადახრილად,ɡadaχɾiɫad
გადახრილი,ɡadaχɾili
გადის,ɡadis
გადმოდის,ɡadmodis
გადმოიქცა,ɡadmoikʰt͡sʰa
გადმოიქცევა,ɡadmoikʰt͡sʰeva
გადმომტვირთავი,ɡadmomtʼʷiɾtʰavi
გადმონაშთი,ɡadmonaʃtʰi
გადმოსაკონტრრევოლუციონერებლებისნაირებისათვისაცო,ɡadmosakʼontʼɾɾevoɫut͡sʰioneɾeblebisnaiɾebisatʰʷisat͡sʰo
გადოლინიუმი,ɡadoliniumi
გაერთიანება,ɡaeɾtʰianeba
გაერთიანებული,ɡaeɾtʰianebuli
გაეღვიძა,ɡaeʁʷid͡za
გაეღვიძება,ɡaeʁʷid͡zeba
გავა,ɡava
გავარვარებულად,ɡavaɾʷaɾebuɫad
გავიგე,ɡaviɡe
გავლენა,ɡavlena
გავლენიანად,ɡavlenianad
გავლენიანი,ɡavleniani
გავრცელება,ɡavɾt͡sʰeleba
გავრცელებული,ɡavɾt͡sʰelebuli
გაზაფხული,ɡazapʰχuli
გაზეთი,ɡazetʰi
გაზელი,ɡazeli
გაზვიადება,ɡazʷiadeba
გაზიფიკაცია,ɡazipʰikʼat͡sʰia
გაზომეტრი,ɡazometʼɾi
გაზომვადი,ɡazomʷadi
გაზონი,ɡazoni
გაზრდა,ɡazɾda
გაზრდილიყო,ɡazɾdiliχʼo
გაზუთხვა,ɡazutʰχʷa
გაზქურა,ɡazkʰuɾa
გათალეთ,ɡatʰaletʰ
გათანაბრება,ɡatʰanabɾeba
გათევა,ɡatʰeva
გათეთრდება,ɡatʰetʰɾdeba
გათვალისწინება,ɡatʰʷalist͡sʼineba
გათიშავს,ɡatʰiʃafs
გათიშე,ɡatʰiʃe
გათლა,ɡatʰɫa
გათხოვილი,ɡatʰχovili
გაიანა,ɡaiana
გაიგებს,ɡaiɡebs
გაივლის,ɡaivlis
გაიზრდება,ɡaizɾdeba
გაიზუთხავს,ɡaizutʰχafs
გაითვალისწინებს,ɡaitʰʷalist͡sʼinebs
გაიმეორებს,ɡaimeoɾebs
გაისად,ɡaisad
გაიფიქრეთ,ɡaipʰikʰɾetʰ
გაიძვერა,ɡaid͡zʷeɾa
გაიჭაჭება,ɡait͡ʃʼat͡ʃʼeba
გაიჭაჭებიან,ɡait͡ʃʼat͡ʃʼebian
გაიხარე,ɡaiχaɾe
გაიხსენებს,ɡaiχsenebs
გაკეთება,ɡakʼetʰeba
გაკეთებული,ɡakʼetʰebuli
გაკვამლული,ɡakʼʷamɫuli
გაკვეთილი,ɡakʼʷetʰili
გაკვირვებული,ɡakʼʷiɾʷebuli
გაკოტრებული,ɡakʼotʼɾebuli
გაკუება,ɡakʼueba
გალანტურად,ɡaɫantʼuɾad
გალანტური,ɡaɫantʼuɾi
გალაქტიკა,ɡaɫakʰtʼikʼa
გალდავა,ɡaldava
გალერა,ɡaleɾa
გალერეა,ɡaleɾea
გალვანური,ɡalʷanuɾi
გალია,ɡalia
გალიონი,ɡalioni
გალისია,ɡalisia
გალიუმი,ɡaliumi
გალიცია,ɡalit͡sʰia
გალობა,ɡaɫoba
გალონი,ɡaɫoni
გალუმპული,ɡaɫumpʼuli
გალური,ɡaɫuɾi
გამა,ɡama
გამათბობელი,ɡamatʰbobeli
გამაკი,ɡamakʼi
გამალებით,ɡamalebitʰ
გამალებულად,ɡamalebuɫad
გამალებული,ɡamalebuli
გამამხნევებლად,ɡamamχnevebɫad
გამანადგურებლად,ɡamanadɡuɾebɫad
გამართული,ɡamaɾtʰuli
გამართულობა,ɡamaɾtʰuɫoba
გამარჯვება,ɡamaɾd͡ʒʷeba
გამარჯობა,ɡamaɾd͡ʒoba
გამარჯობათ,ɡamaɾd͡ʒobatʰ
გამატარეთ,ɡamatʼaɾetʰ
გამაუპატიურებელი,ɡamaupʼatʼiuɾebeli
გამაღიზიანებლად,ɡamaʁizianebɫad
გამაში,ɡamaʃi
გამაცოცხლებლად,ɡamat͡sʰot͡sʰχlebɫad
გამაცხელებელი,ɡamat͡sʰχelebeli
გამბედავად,ɡambedavad
გამბედავი,ɡambedavi
გამბედაობა,ɡambedaoba
გამბია,ɡambia
გამბიტი,ɡambitʼi
გამგზავრება,ɡamɡzavɾeba
გამგზავრებები,ɡamɡzavɾebebi
გამეფებული,ɡamepʰebuli
გამზირი,ɡamziɾi
გამკილავად,ɡamkʼiɫavad
გამო,ɡamo
გამოადგება,ɡamoadɡeba
გამოადგებოდა,ɡamoadɡeboda
გამოატანს,ɡamoatʼans
გამოაქვეყნებს,ɡamoakʰʷeχʼnebs
გამოაცხობს,ɡamoat͡sʰχobs
გამოდიან,ɡamodian
გამოდის,ɡamodis
გამოვატან,ɡamovatʼan
გამოთქმა,ɡamotʰkʰma
გამოთქმული,ɡamotʰkʰmuli
გამოითქმის,ɡamoitʰkʰmis
გამოითქმოდა,ɡamoitʰkʰmoda
გამოიკვლევს,ɡamoikʼʷlefs
გამოიკითხავს,ɡamoikʼitʰχafs
გამოკვლევა,ɡamokʼʷleva
გამოკლება,ɡamokʼleba
გამომგონებელი,ɡamomɡonebeli
გამომგონებლურად,ɡamomɡonebɫuɾad
გამომდინარე,ɡamomdinaɾe
გამომივიდა,ɡamomivida
გამომსახველი,ɡamomsaχʷeli
გამომქვეყნებელი,ɡamomkʰʷeχʼnebeli
გამომცდელი,ɡamomt͡sʰdeli
გამომძალველურად,ɡamomd͡zalʷeɫuɾad
გამომწვევად,ɡamomt͡sʼʷevad
გამომწვევი,ɡamomt͡sʼʷevi
გამომხატველად,ɡamomχatʼʷeɫad
გამომხატველურად,ɡamomχatʼʷeɫuɾad
გამონაყარი,ɡamonaχʼaɾi
გამონაშვერი,ɡamonaʃʷeɾi
გამოპრანჭული,ɡamopʼɾant͡ʃʼuli
გამორჩეული,ɡamoɾt͡ʃʰeuli
გამოსადეგი,ɡamosadeɡi
გამოსადეგობა,ɡamosadeɡoba
გამოსავალი,ɡamosavali
გამოსასყიდი,ɡamosasχʼidi
გამოსაცდელი,ɡamosat͡sʰdeli
გამოსახავს,ɡamosaχafs
გამოსახულება,ɡamosaχuleba
გამოსახული,ɡamosaχuli
გამოსდის,ɡamosdis
გამოსვლად,ɡamosʷɫad
გამოსვლამ,ɡamosʷɫam
გამოსვლას,ɡamosʷɫas
გამოსვლით,ɡamosʷlitʰ
გამოსვლის,ɡamosʷlis
გამოსულიყო,ɡamosuliχʼo
გამოსყიდვა,ɡamosχʼidʷa
გამოსხივება,ɡamosχiveba
გამოტანება,ɡamotʼaneba
გამოტვინებული,ɡamotʼʷinebuli
გამოუვიდა,ɡamouvida
გამოუთქმელად,ɡamoutʰkʰmeɫad
გამოუთქმელი,ɡamoutʰkʰmeli
გამოუკვლევი,ɡamoukʼʷlevi
გამოუსწორებლად,ɡamoust͡sʼoɾebɫad
გამოუცდელად,ɡamout͡sʰdeɫad
გამოუცდელი,ɡamout͡sʰdeli
გამოუცდელობა,ɡamout͡sʰdeɫoba
გამოუცნობი,ɡamout͡sʰnobi
გამოფენა,ɡamopʰena
გამოფიტული,ɡamopʰitʼuli
გამოქანებულად,ɡamokʰanebuɫad
გამოქვაბული,ɡamokʰʷabuli
გამოყენება,ɡamoχʼeneba
გამოყენებადი,ɡamoχʼenebadi
გამოყენებითი,ɡamoχʼenebitʰi
გამოყენებული,ɡamoχʼenebuli
გამოყოფილი,ɡamoχʼopʰili
გამოშვერილი,ɡamoʃʷeɾili
გამოშტერებული,ɡamoʃtʼeɾebuli
გამოჩენილად,ɡamot͡ʃʰeniɫad
გამოჩენილი,ɡamot͡ʃʰenili
გამოჩენილობა,ɡamot͡ʃʰeniɫoba
გამოჩორკნილი,ɡamot͡ʃʰoɾkʼnili
გამოცანა,ɡamot͡sʰana
გამოცდილება,ɡamot͡sʰdileba
გამოცდილი,ɡamot͡sʰdili
გამოცემა,ɡamot͡sʰema
გამოცემად,ɡamot͡sʰemad
გამოცემამ,ɡamot͡sʰemam
გამოცემას,ɡamot͡sʰemas
გამოცემით,ɡamot͡sʰemitʰ
გამოცემის,ɡamot͡sʰemis
გამოცხობა,ɡamot͡sʰχoba
გამოძახება,ɡamod͡zaχeba
გამოხატავს,ɡamoχatʼafs
გამოჯავრებით,ɡamod͡ʒavɾebitʰ
გამრყვნელად,ɡamɾχʼʷneɫad
გამსახურდია,ɡamsaχuɾdia
გამტარობა,ɡamtʼaɾoba
გამუდმებით,ɡamudmebitʰ
გამურულად,ɡamuɾuɫad
გამძლე,ɡamd͡zle
გამძლეობა,ɡamd͡zleoba
გამჭვირვალე,ɡamt͡ʃʼʷiɾʷale
გამჭვირვალედ,ɡamt͡ʃʼʷiɾʷaled
გამჭოლად,ɡamt͡ʃʼoɫad
გამჭრიახად,ɡamt͡ʃʼɾiaχad
გამჭრიახი,ɡamt͡ʃʼɾiaχi
გამჭრიახობა,ɡamt͡ʃʼɾiaχoba
გამხდარი,ɡamχdaɾi
გამხდრად,ɡamχdɾad
განა,ɡana
განადგურება,ɡanadɡuɾeba
განათლება,ɡanatʰleba
განათლებას,ɡanatʰlebas
განათლების,ɡanatʰlebis
განაყოფიერება,ɡanaχʼopʰieɾeba
განაჩენი,ɡanat͡ʃʰeni
განაცხადა,ɡanat͡sʰχada
განაცხადებს,ɡanat͡sʰχadebs
განაწილება,ɡanat͡sʼileba
განახლება,ɡanaχleba
განახლებადი,ɡanaχlebadi
განახლებადობა,ɡanaχlebadoba
განგაში,ɡanɡaʃi
განგმირვა,ɡanɡmiɾʷa
განგრენა,ɡanɡɾena
განგსტერი,ɡanɡstʼeɾi
განდგომილები,ɡandɡomilebi
განებივრებული,ɡanebivɾebuli
განედი,ɡanedi
განვითარება,ɡanʷitʰaɾeba
განვითარებამ,ɡanʷitʰaɾebam
განვითარებას,ɡanʷitʰaɾebas
განვითარების,ɡanʷitʰaɾebis
განზე,ɡanze
განზოგადება,ɡanzoɡadeba
განზომილება,ɡanzomileba
განზომილებათაშორისი,ɡanzomilebatʰaʃoɾisi
განზომილებიანი,ɡanzomilebiani
განზრახ,ɡanzɾaχ
განზრახულად,ɡanzɾaχuɫad
განთიადი,ɡantʰiadi
განიარაღება,ɡaniaɾaʁeba
განიერი,ɡanieɾi
განივ,ɡaniv
განივად,ɡanivad
განივი,ɡanivi
განიცდიან,ɡanit͡sʰdian
განიცდის,ɡanit͡sʰdis
განიხილავს,ɡaniχiɫafs
განკარგულება,ɡankʼaɾɡuleba
განმანათლებლობა,ɡanmanatʰlebɫoba
განმარტება,ɡanmaɾtʼeba
განმარტებითი,ɡanmaɾtʼebitʰi
განმგმირავად,ɡanmɡmiɾavad
განმეორებადი,ɡanmeoɾebadi
განმეორებით,ɡanmeoɾebitʰ
განმეორებითი,ɡanmeoɾebitʰi
განრიგები,ɡanɾiɡebi
განრიგი,ɡanɾiɡi
განრისხებულად,ɡanɾisχebuɫad
განსაზღვრა,ɡansazʁʷɾa
განსაზღვრავს,ɡansazʁʷɾafs
განსაზღვრულად,ɡansazʁʷɾuɫad
განსაზღვრული,ɡansazʁʷɾuli
განსაკუთრებით,ɡansakʼutʰɾebitʰ
განსაკუთრებულად,ɡansakʼutʰɾebuɫad
განსაკუთრებული,ɡansakʼutʰɾebuli
განსაცდელი,ɡansat͡sʰdeli
განსაცვიფრებლად,ɡansat͡sʰʷipʰɾebɫad
განსახლება,ɡansaχleba
განსწავლული,ɡanst͡sʼavɫuli
განსხვავება,ɡansχʷaveba
განსხვავებები,ɡansχʷavebebi
განსხვავებით,ɡansχʷavebitʰ
განსხვავებულად,ɡansχʷavebuɫad
განსხვავებული,ɡansχʷavebuli
განტვირთვა,ɡantʼʷiɾtʰʷa
განუზომლად,ɡanuzomɫad
განუზრახავად,ɡanuzɾaχavad
განურჩევლად,ɡanuɾt͡ʃʰevɫad
განუსაზღვრელად,ɡanusazʁʷɾeɫad
განუწყვეტლად,ɡanut͡sʼχʼʷetʼɫad
განუხორციელებელი,ɡanuχoɾt͡sʰielebeli
განუხორციელებლად,ɡanuχoɾt͡sʰielebɫad
განყენებულად,ɡanχʼenebuɫad
განყოფილება,ɡanχʼopʰileba
განცალკევებით,ɡant͡sʰalkʼevebitʰ
განძი,ɡand͡zi
განწყობა,ɡant͡sʼχʼoba
განხეთქილება,ɡanχetʰkʰileba
განხილვა,ɡanχilʷa
განხორციელება,ɡanχoɾt͡sʰieleba
გაოცებულად,ɡaot͡sʰebuɫad
გაჟღენთილი,ɡaʒʁentʰili
გარანტი,ɡaɾantʼi
გარანტია,ɡaɾantʼia
გარაჟი,ɡaɾaʒi
გარგარი,ɡaɾɡaɾi
გარდა,ɡaɾda
გარდამავალი,ɡaɾdamavali
გარდამავლად,ɡaɾdamavɫad
გარდაუვალად,ɡaɾdauvaɫad
გარდაუვალი,ɡaɾdauvali
გარდაუვალობა,ɡaɾdauvaɫoba
გარდაუვლად,ɡaɾdauvɫad
გარდაქმნა,ɡaɾdakʰmna
გარდაცვალებად,ɡaɾdat͡sʰʷalebad
გარდაცვალებამ,ɡaɾdat͡sʰʷalebam
გარდაცვალებას,ɡaɾdat͡sʰʷalebas
გარდაცვალებით,ɡaɾdat͡sʰʷalebitʰ
გარდაცვალების,ɡaɾdat͡sʰʷalebis
გარდაცვლილი,ɡaɾdat͡sʰʷlili
გარდერობი,ɡaɾdeɾobi
გარდიგარდმო,ɡaɾdiɡaɾdmo
გარე,ɡaɾe
გარეგანი,ɡaɾeɡani
გარეგნობა,ɡaɾeɡnoba
გარეგნულად,ɡaɾeɡnuɫad
გარეგნული,ɡaɾeɡnuli
გარედან,ɡaɾedan
გარეთ,ɡaɾetʰ
გარეთა,ɡaɾetʰa
გარემო,ɡaɾemo
გარემოება,ɡaɾemoeba
გარეუბანი,ɡaɾeubani
გარეშე,ɡaɾeʃe
გართულებული,ɡaɾtʰulebuli
გარიჟრაჟი,ɡaɾiʒɾaʒi
გარკვევით,ɡaɾkʼʷevitʰ
გარკვეული,ɡaɾkʼʷeuli
გარნიზონი,ɡaɾnizoni
გარნირი,ɡaɾniɾi
გარსი,ɡaɾsi
გარყვნილად,ɡaɾχʼʷniɫad
გარყვნილება,ɡaɾχʼʷnileba
გარყვნილები,ɡaɾχʼʷnilebi
გარყვნილი,ɡaɾχʼʷnili
გარშემო,ɡaɾʃemo
გასაგებად,ɡasaɡebad
გასაგები,ɡasaɡebi
გასავლიანი,ɡasavliani
გასამათრახებელი,ɡasamatʰɾaχebeli
გასამრჯელო,ɡasamɾd͡ʒeɫo
გასაოცარი,ɡasaot͡sʰaɾi
გასაოცრად,ɡasaot͡sʰɾad
გასართობად,ɡasaɾtʰobad
გასასვლელი,ɡasasʷleli
გასაღები,ɡasaʁebi
გასაჭირი,ɡasat͡ʃʼiɾi
გასვლა,ɡasʷɫa
გასინჯვა,ɡasind͡ʒʷa
გასტრიტი,ɡastʼɾitʼi
გასული,ɡasuli
გასულიერება,ɡasulieɾeba
გასულიყო,ɡasuliχʼo
გასწვრივ,ɡast͡sʼʷɾiv
გასწორება,ɡast͡sʼoɾeba
გატაცება,ɡatʼat͡sʰeba
გატეხვა,ɡatʼeχʷa
გატრუნვა,ɡatʼɾunʷa
გაუბედავად,ɡaubedavad
გაუბედაობა,ɡaubedaoba
გაუგებრად,ɡauɡebɾad
გაუგებრობა,ɡauɡebɾoba
გაუმარჯოს,ɡaumaɾd͡ʒos
გაუმაძღრად,ɡaumad͡zʁɾad
გაუმაძღრობა,ɡaumad͡zʁɾoba
გაუმჯობესება,ɡaumd͡ʒobeseba
გაუნათლებლად,ɡaunatʰlebɫad
გაუნძრევლად,ɡaund͡zɾevɫad
გაუპატიურება,ɡaupʼatʼiuɾeba
გაურკვევლად,ɡauɾkʼʷevɫad
გაურკვევლობა,ɡauɾkʼʷevɫoba
გაუსაძლისი,ɡausad͡zlisi
გაუფრთხილებლად,ɡaupʰɾtʰχilebɫad
გაუქმება,ɡaukʰmeba
გაუშვებს,ɡauʃʷebs
გაუჩინარება,ɡaut͡ʃʰinaɾeba
გაუწონასწორებლად,ɡaut͡sʼonast͡sʼoɾebɫad
გაუხშოებულად,ɡauχʃoebuɫad
გაფანტული,ɡapʰantʼuli
გაფატრავს,ɡapʰatʼɾafs
გაფატრვა,ɡapʰatʼɾʷa
გაფენს,ɡapʰens
გაფინა,ɡapʰina
გაფიცვა,ɡapʰit͡sʰʷa
გაფორმების,ɡapʰoɾmebis
გაფრენა,ɡapʰɾena
გაფუფუნებული,ɡapʰupʰunebuli
გაფუჭება,ɡapʰut͡ʃʼeba
გაფუჭებული,ɡapʰut͡ʃʼebuli
გაქ,ɡakʰ
გაქვთ,ɡakʰʷtʰ
გაქვს,ɡakʰʷs
გაქრობა,ɡakʰɾoba
გაქცევა,ɡakʰt͡sʰeva
გაღიზიანებულად,ɡaʁizianebuɫad
გაღიმება,ɡaʁimeba
გაღიმებული,ɡaʁimebuli
გაღმერთება,ɡaʁmeɾtʰeba
გაყალბება,ɡaχʼalbeba
გაყიდვა,ɡaχʼidʷa
გაყინული,ɡaχʼinuli
გაყოფადი,ɡaχʼopʰadi
გაშეშებულად,ɡaʃeʃebuɫad
გაშეშებული,ɡaʃeʃebuli
გაშვება,ɡaʃʷeba
გაშლილი,ɡaʃlili
გაშმაგება,ɡaʃmaɡeba
გაშორდა,ɡaʃoɾda
გაშორდება,ɡaʃoɾdeba
გაშორება,ɡaʃoɾeba
გაშრობა,ɡaʃɾoba
გაშუქება,ɡaʃukʰeba
გაჩენა,ɡat͡ʃʰena
გაჩერებული,ɡat͡ʃʰeɾebuli
გაჩეჩილი,ɡat͡ʃʰet͡ʃʰili
გაჩითული,ɡat͡ʃʰitʰuli
გაჩმახება,ɡat͡ʃʰmaχeba
გაჩუმება,ɡat͡ʃʰumeba
გაცემა,ɡat͡sʰema
გაცვეთილად,ɡat͡sʰʷetʰiɫad
გაცვეთილი,ɡat͡sʰʷetʰili
გაცვლა,ɡat͡sʰʷɫa
გაცილება,ɡat͡sʰileba
გაცილებით,ɡat͡sʰilebitʰ
გაცინებული,ɡat͡sʰinebuli
გაციფრულება,ɡat͡sʰipʰɾuleba
გაცრეცილი,ɡat͡sʰɾet͡sʰili
გაძლევთ,ɡad͡zleftʰ
გაწვრთნის,ɡat͡sʼʷɾtʰnis
გაწითლება,ɡat͡sʼitʰleba
გაწიწმატდება,ɡat͡sʼit͡sʼmatʼdeba
გაწიწმატება,ɡat͡sʼit͡sʼmatʼeba
გაწონასწორებულად,ɡat͡sʼonast͡sʼoɾebuɫad
გაწყალებული,ɡat͡sʼχʼalebuli
გაჭყლეტილი,ɡat͡ʃʼχʼletʼili
გახარებულად,ɡaχaɾebuɫad
გახევებულად,ɡaχevebuɫad
გახლდათ,ɡaχldatʰ
გახმაურებულად,ɡaχmauɾebuɫad
გახნის,ɡaχnis
გახსნა,ɡaχsna
გახსნილობა,ɡaχsniɫoba
გაჯერებული,ɡad͡ʒeɾebuli
გდება,ɡdeba
გეგეჭკორი,ɡeɡet͡ʃʼkʼoɾi
გეგმა,ɡeɡma
გეგმავს,ɡeɡmafs
გეგმილი,ɡeɡmili
გედი,ɡedi
