はっ	h a̠ ʔ
いんぜい	ĩ n d͡z e̞ː
いんせき	ĩ ɰ̃ s e̞ kʲ i
いんせき	ĩ ɰ̃ s e̞ kʲ i
インセスト	ĩ ɰ̃ s e̞ s ɨ̥ᵝ t o̞
インセル	ĩ ɰ̃ s e̞ ɾ ɯ̟ᵝ
いんそつ	ĩ ɰ̃ s o̞ t͡s ɨᵝ
いんそつ	ĩ ɰ̃ s o̞ t͡s ɨᵝ
インソムニア	ĩ ɰ̃ s o̞ m ɯ̟ᵝ ɲ̟ i a̠
インターセクシュアル	ĩ n t a̠ː s e̞ k ɯ̟ᵝ ɕ ɨᵝ a̠ ɾ ɯ̟ᵝ
インターチェンジ	ĩ n t a̠ː t͡ɕ ẽ̞ ɲ̟ d͡ʑ i
インターネット	ĩ n t a̠ː n e̞ t̚ t o̞
インターハイ	ĩ n t a̠ː h a̠ i
インターポール	ĩ n t a̠ː p o̞ː ɾ ɯ̟ᵝ
インターン	ĩ n t ã̠ː ɴ
いんたい	ĩ n t a̠ i
いんたい	ĩ n t a̠ i
インダクタ	ĩ n d a̠ k ɯ̟ᵝ t a̠
インダゾール	ĩ n d a̠ z o̞ː ɾ ɯ̟ᵝ
インタビュアー	ĩ n t a̠ bʲ ɨᵝ a̠ː
インタビュー	ĩ n t a̠ bʲ ɨᵝː
インチ	ĩ ɲ̟ t͡ɕ i
いんち	ĩ ɲ̟ t͡ɕ i
いんちき	ĩ ɲ̟ t͡ɕ i kʲ i
インディアナ	ĩ n dʲ i a̠ n a̠
インディアン	ĩ n dʲ i ã̠ ɴ
インディアンクラブ	ĩ n dʲ i ã̠ ŋ k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ
インディアンざ	ĩ n dʲ i ã̠ n d͡z a̠
インディーズ	ĩ n dʲ iː z ɨᵝ
インティファーダ	ĩ n tʲ i ɸ a̠ː d a̠
インデックス	ĩ n d e̞ k̚ k ɯ̟̊ᵝ s ɨᵝ
いんてつ	ĩ n t e̞ t͡s ɨᵝ
インデヤン	ĩ n d e̞ j ã̠ ɴ
インテリア	ĩ n t e̞ ɾʲ i a̠
インテリジェンス	ĩ n t e̞ ɾʲ i ʑ ẽ̞ ɰ̃ s ɨᵝ
インテル	ĩ n t e̞ ɾ ɯ̟ᵝ
インテルメッツォ	ĩ n t e̞ ɾ ɯ̟ᵝ m e̞ t̚ t͡s o̞
インデン	ĩ n d ẽ̞ ɴ
いんでんき	ĩ n d ẽ̞ ŋʲ kʲ i
インド	ĩ n d o̞
インドうし	ĩ n d o̞ ɯ̟ᵝ ɕ i
インドア	ĩ n d o̞ a̠
いんとう	ĩ n t o̞ː
いんどう	ĩ n d o̞ː
いんどう	ĩ n d o̞ː
いんとうおん	ĩ n t o̞ː õ̞ ɴ
インドール	ĩ n d o̞ː ɾ ɯ̟ᵝ
インドさい	ĩ n d o̞ s a̠ i
インドネシア	ĩ n d o̞ n e̞ ɕ i a̠
インドよう	ĩ n d o̞ j o̞ː
インナー	ĩ nː a̠ː
いんない	ĩ nː a̠ i
いんねん	ĩ nː ẽ̞ ɴ
ふぐり	ɸ ɯ̟ᵝ ɡ ɯ̟ᵝ ɾʲ i
インバータ	ĩ m b a̠ː t a̠
インパール	ĩ m p a̠ː ɾ ɯ̟ᵝ
インハイ	ĩ ɰ̃ h a̠ i
いんばい	ĩ m b a̠ i
インパクト	ĩ m p a̠ k ɯ̟ᵝ t o̞
いんび	ĩ m bʲ i
いんび	ĩ m bʲ i
いんぴ	ĩ m pʲ i
インピーダンス	ĩ m pʲ iː d ã̠ ɰ̃ s ɨ̥ᵝ
いんぶ	ĩ m b ɯ̟ᵝ
インフォ	ĩ ɰ̃ ɸ o̞
インフォメーション	ĩ ɰ̃ ɸ o̞ m e̞ː ɕ õ̞ ɴ
インプット	ĩ m p ɯ̟ᵝ t̚ t o̞
インフラ	ĩ ɰ̃ ɸ ɯ̟ᵝ ɾ a̠
インフラストラクチャー	ĩ ɰ̃ ɸ ɯ̟ᵝ ɾ a̠ s ɨᵝ t o̞ ɾ a̠ k ɯ̟ᵝ t͡ɕ a̠ː
インフル	ĩ ɰ̃ ɸ ɯ̟ᵝ ɾ ɯ̟ᵝ
インフルエンサー	ĩ ɰ̃ ɸ ɯ̟ᵝ ɾ ɯ̟ᵝ ẽ̞ ɰ̃ s a̠ː
インフレ	ĩ ɰ̃ ɸ ɯ̟ᵝ ɾ e̞
インフレーション	ĩ ɰ̃ ɸ ɯ̟ᵝ ɾ e̞ː ɕ õ̞ ɴ
いんぺい	ĩ m p e̞ː
いんぼ	ĩ m b o̞
インポ	ĩ m p o̞
インボイス	ĩ m b o̞ i s ɨ̥ᵝ
いんぼう	ĩ m b o̞ː
いんぼうだん	ĩ m b o̞ː d ã̠ ɴ
いんぼうろん	ĩ m b o̞ː ɾ õ̞ ɴ
いんぼうろんしゃ	ĩ m b o̞ː ɾ õ̞ ɰ̃ ɕ a̠
インポテンス	ĩ̥ m p o̞ t ẽ̞ ɰ̃ s ɨᵝ
インポテンツ	ĩ̥ m p o̞ t ẽ̞ n t͡s ɨᵝ
いんま	ĩ mː a̠
インマヌエル	ĩ mː a̠ n ɯ̟ᵝ e̞ ɾ ɯ̟ᵝ
いんむ	ĩ mː ɯ̟ᵝ
いんも	ĩ mː o̞
いんもう	ĩ mː o̞ː
いんもん	ĩ mː õ̞ ɴ
いんもん	ĩ mː õ̞ ɴ
いんようか	ĩ ɰ̃ j o̞ː k a̠
いんようすい	ĩ ɰ̃ j o̞ː s ɨᵝ i
おんみょうどう	õ̞ mʲː o̞ː d o̞ː
いんようふ	ĩ ɰ̃ j o̞ː ɸ ɯ̟ᵝ
いんよく	ĩ ɰ̃ j o̞ k ɯ̟ᵝ
いんらん	ĩ n ɾ ã̠ ɴ
いんりつ	ĩ n ɾʲ i t͡s ɨᵝ
いんりょう	ĩ n ɾʲ o̞ː
いんりょく	ĩ n ɾʲ o̞ k ɯ̟ᵝ
いんれき	ĩ n ɾ e̞ kʲ i
いんれつ	ĩ n ɾ e̞ t͡s ɨᵝ
いんろう	ĩ n ɾ o̞ː
う	ɯ̟ᵝ
ウ	ɯ̟ᵝ
う	ɯ̟ᵝ
みぎ	mʲ i ɡʲ i
う	ɯ̟ᵝ
う	ɯ̟ᵝ
う	ɯ̟ᵝ
う	ɯ̟ᵝ
う	ɯ̟ᵝ
はね	h a̠ n e̞
う	ɯ̟ᵝ
むなぎ	m ɯ̟ᵝ n a̠ ɡʲ i
う	ɯ̟ᵝ
ゔ	v ɯ̟ᵝ
ヴ	v ɯ̟ᵝ
ゔぁ	v a̠
ヴァ	v a̠
ヴァージョン	b a̠ː ʑ õ̞ ɴ
ヴァイオリニスト	b a̠ i o̞ ɾʲ i ɲ̟ i s ɨ̥ᵝ t o̞
ヴァイキング	b a̠ i kʲ ĩ ŋ ɡ ɯ̟ᵝ
ヴァニタス	b a̠ ɲ̟ i t a̠ s ɨᵝ
ヴァルハラ	b a̠ ɾ ɯ̟ᵝ h a̠ ɾ a̠
ヴァンクーヴァー	b ã̠ ŋ k ɯ̟ᵝː b a̠ː
ヴァンパイア	b ã̠ m p a̠ i a̠
うぃ	ɰᵝ i
ウィ	ɰᵝ i
ヰ	ɰᵝ i
ゔぃ	vʲ i
ヴィ	vʲ i
ヴィーガニズム	bʲ iː ɡ a̠ ɲ̟ i z ɨᵝ m ɯ̟ᵝ
うぃーっす	ɰᵝ iː sː ɯ̟ᵝ
ヴィーナス	bʲ iː n a̠ s ɨᵝ
ウィーン	ɰᵝ ĩː ɴ
ウィーン	ɰᵝ ĩː ɴ
ヴィヴァルディ	bʲ i b a̠ ɾ ɯ̟ᵝ dʲ i
ヴィエンナ	bʲ i ẽ̞ nː a̠
ヴィエンヌ	bʲ i ẽ̞ nː ɯ̟ᵝ
ヴィオラ	bʲ i o̞ ɾ a̠
ウィキペディア	ɰᵝ i kʲ i̥ p e̞ dʲ i a̠
ウィキペディアン	ɰᵝ i kʲ i p e̞ dʲ i ã̠ ɴ
ウィクショナリー	ɰᵝ i k ɯ̟ᵝ ɕ o̞ n a̠ ɾʲ iː
ウィクトーリア	ɰᵝ i k ɯ̟ᵝ t o̞ː ɾʲ i a̠
ヴィクトル	bʲ i k ɯ̟ᵝ t o̞ ɾ ɯ̟ᵝ
ウィザード	ɰᵝ i z a̠ː d o̞
ヴィサルガ	bʲ i s a̠ ɾ ɯ̟ᵝ ɡ a̠
ヴィシュヌ	bʲ i ɕ ɨᵝ n ɯ̟ᵝ
ウィスキー	ɰᵝ i s ɨ̥ᵝ kʲ iː
ウィチタ	ɰᵝ i t͡ɕ i t a̠
ウィッカ	ɰᵝ i k̚ k a̠
ウィッチ	ɰᵝ i t̚ t͡ɕ i̥
うぃゅ	ɰᵝ j ɯ̟ᵝ
ヴィラン	bʲ i ɾ ã̠ ɴ
ウィルドビースト	ɰᵝ i ɾ ɯ̟ᵝ d o̞ bʲ iː s ɨ̥ᵝ t o̞
ウィンウィン	ɰᵝ ĩ ɰ̃ ɰᵝ ĩ ɴ
ウィンター	ɰᵝ ĩ n t a̠ː
ウィンドウ	ɰᵝ ĩ n d o̞ː
ウィンドウウォッシャー	ɰᵝ ĩ n d o̞ː ɰᵝ o̞ ɕː a̠ː
ウィントフック	ɰᵝ ĩ n t o̞ ɸ ɯ̟ᵝ k̚ k ɯ̟ᵝ
ウィンブルドン	ɰᵝ ĩ m b ɯ̟ᵝ ɾ ɯ̟ᵝ d õ̞ ɴ
うい	ɯ̟ᵝ i
うい	ɯ̟ᵝ i
ういういしい	ɯ̟ᵝ i ɯ̟ᵝ i ɕ iː
ういきょう	ɯ̟ᵝ i kʲ o̞ː
ウイグルご	ɯ̟ᵝ i ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ ɡ o̞
ういじん	ɯ̟ᵝ i ʑ ĩ ɴ
ウイスキー	ɯ̟ᵝ i s ɨᵝ kʲ iː
ウイッチ	ɯ̟ᵝ i t̚ t͡ɕ i
ウイルス	ɯ̟ᵝ i ɾ ɯ̟ᵝ s ɨᵝ
ういろう	ɯ̟ᵝ i ɾ o̞ː
ウインカー	ɯ̟ᵝ ĩ ŋ k a̠ː
ウインク	ɯ̟ᵝ ĩ ŋ k ɯ̟ᵝ
ウインチ	ɯ̟ᵝ ĩ ɲ̟ t͡ɕ i
ウインドー	ɯ̟ᵝ ĩ n d o̞ː
ウインナー	ɯ̟ᵝ ĩ nː a̠ː
ウゥルカーヌス	ɰᵝ ɯ̟ᵝ ɾ ɯ̟ᵝ k a̠ː n ɯ̟ᵝ s ɨᵝ
ウーメラ	ɯ̟ᵝː m e̞ ɾ a̠
ウーラニアー	ɯ̟ᵝː ɾ a̠ ɲ̟ i a̠ː
ウーラノス	ɯ̟ᵝː ɾ a̠ n o̞ s ɨᵝ
ウーロンちゃ	ɯ̟ᵝː ɾ õ̞ ɲ̟ t͡ɕ a̠
ううん	m̩ː ˦˨˦
ううん	ɯ̟̃ᵝː ˦˨˦
うぇ	ɰᵝ e̞
ウェ	ɰᵝ e̞
ヱ	ɰᵝ e̞
ゔぇ	v e̞
ヴェ	v e̞
ウェア	ɰᵝ e̞ a̠
ウェイクボード	ɰᵝ e̞ː k ɯ̟ᵝ b o̞ː d o̞
ウェー	ɰᵝ e̞ː
ウェーバ	ɰᵝ e̞ː b a̠
ウェールズ	ɰᵝ e̞ː ɾ ɯ̟ᵝ z ɨᵝ
ウェスタ	ɰᵝ e̞ s ɨᵝ t a̠
ウェスタン	ɰᵝ e̞ s ɨ̥ᵝ t ã̠ ɴ
ウェッティー	ɰᵝ e̞ t̚ʲ tʲ iː
ウェディング	ɰᵝ e̞ dʲ ĩ ŋ ɡ ɯ̟ᵝ
ヴェニス	b e̞ ɲ̟ i s ɨᵝ
ウェヌス	ɰᵝ e̞ n ɯ̟ᵝ s ɨᵝ
ヴェネツィア	b e̞ n e̞ t͡sʲ i a̠
ウェブ	ɰᵝ e̞ b ɯ̟ᵝ
ウェブ	ɰᵝ e̞ b ɯ̟ᵝ
ウェブページ	ɰᵝ e̞ b ɯ̟ᵝ p e̞ː ʑ i
ウェリントン	ɰᵝ e̞ ɾʲ ĩ n t õ̞ ɴ
ヴェルスタ	b e̞ ɾ ɯ̟ᵝ s ɨᵝ t a̠
うえ	ɯ̟ᵝ e̞
ウエア	ɯ̟ᵝ e̞ a̠
ウエイター	ɯ̟ᵝ e̞ː t a̠ː
ウエイト	ɯ̟ᵝ e̞ː t o̞
ウエイトレス	ɯ̟ᵝ e̞ː t o̞ ɾ e̞ s ɨᵝ
うえーん	ɯ̟ᵝ ẽ̞ː ɴ
うえき	ɯ̟ᵝ e̞ kʲ i
うえきばち	ɯ̟ᵝ e̞ kʲ i b a̠ t͡ɕ i
うえこみ	ɯ̟ᵝ e̞ k o̞ mʲ i
ウエス	ɯ̟ᵝ e̞ s ɨᵝ
ウエスタン	ɯ̟ᵝ e̞ s ɨ̥ᵝ t ã̠ ɴ
ウエスト	ɯ̟ᵝ e̞ s ɨ̥ᵝ t o̞
うえちち	ɯ̟ᵝ e̞ t͡ɕ i t͡ɕ i
うえつける	ɯ̟ᵝ e̞ t͡s ɨᵝ k e̞ ɾ ɯ̟ᵝ
ウエディング	ɯ̟ᵝ e̞ dʲ ĩ ŋ ɡ ɯ̟ᵝ
じょうご	d͡ʑ o̞ː ɡ o̞
かみむら	k a̠ mʲ i m ɯ̟ᵝ ɾ a̠
うえる	ɯ̟ᵝ e̞ ɾ ɯ̟ᵝ
うえん	ɯ̟ᵝ ẽ̞ ɴ
うぉ	ɰᵝ o̞
ウォ	ɰᵝ o̞
ゔぉ	v o̞
ヴォ	v o̞
ウォー	ɰᵝ o̞ː
ウォー	ɰᵝ o̞ː
ウォー	ɰᵝ o̞ː
ウォークマン	ɰᵝ o̞ː k ɯ̟ᵝ m ã̠ ɴ
ウォーターボーディング	ɰᵝ o̞ː t a̠ː b o̞ː dʲ ĩ ŋ ɡ ɯ̟ᵝ
ウォーニング	ɰᵝ o̞ː ɲ̟ ĩ ŋ ɡ ɯ̟ᵝ
ウォール	ɰᵝ o̞ː ɾ ɯ̟ᵝ
ヴォールト	b o̞ː ɾ ɯ̟ᵝ t o̞
ウォールフラワー	ɰᵝ o̞ː ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ ɾ a̠ ɰᵝ a̠ː
ヴォケ	b o̞ k e̞
ヲチ	ɰᵝ o̞ t͡ɕ i
ウォッカ	ɰᵝ o̞ k̚ k a̠
ウォッシュレット	ɰᵝ o̞ ɕː ɯ̟ᵝ ɾ e̞ t̚ t o̞
ウォッチリスト	ɰᵝ o̞ t̚ t͡ɕ i ɾʲ i s ɨᵝ t o̞
ウォルター	ɰᵝ o̞ ɾ ɯ̟ᵝ t a̠ː
ウォルフラム	ɰᵝ o̞ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
ウォレット	ɰᵝ o̞ ɾ e̞ t̚ t o̞
ウォロディミル	ɰᵝ o̞ ɾ o̞ dʲ i mʲ i ɾ ɯ̟ᵝ
ウォン	ɰᵝ õ̞ ɴ
ウォンバット	ɰᵝ õ̞ m b a̠ t̚ t o̞
ウオーター	ɯ̟ᵝ o̞ː t a̠ː
うおざ	ɯ̟ᵝ o̞ z a̠
ウオッチ	ɯ̟ᵝ o̞ t̚ t͡ɕ i
うおづ	ɯ̟ᵝ o̞ z ɨᵝ
ウオツカ	ɯ̟ᵝ o̞ t͡s ɨ̥ᵝ k a̠
ウおんびん	ɯ̟ᵝ õ̞ m bʲ ĩ ɴ
うかい	ɯ̟ᵝ k a̠ i
うかい	ɯ̟ᵝ k a̠ i
うかいこつ	ɯ̟ᵝ k a̠ i k o̞ t͡s ɨᵝ
うかうか	ɯ̟ᵝ k a̠ ɯ̟ᵝ k a̠
うかがう	ɯ̟ᵝ k a̠ ɡ a̠ ɯ̟ᵝ
うかつ	ɯ̟ᵝ k a̠ t͡s ɨᵝ
うがつ	ɯ̟ᵝ ɡ a̠ t͡s ɨᵝ
うかぶ	ɯ̟ᵝ k a̠ b ɯ̟ᵝ
うかべる	ɯ̟ᵝ k a̠ b e̞ ɾ ɯ̟ᵝ
うかる	ɯ̟ᵝ k a̠ ɾ ɯ̟ᵝ
うかれる	ɯ̟ᵝ k a̠ ɾ e̞ ɾ ɯ̟ᵝ
うがん	ɯ̟ᵝ ɡ ã̠ ɴ
ウガンダ	ɯ̟ᵝ ɡ ã̠ n d a̠
うき	ɯ̟ᵝ kʲ i
うき	ɯ̟ᵝ kʲ i
うきいし	ɯ̟ᵝ kʲ i i ɕ i
うきあしだつ	ɯ̟ᵝ kʲ i a̠ ɕ i d a̠ t͡s ɨᵝ
うきうき	ɯ̟ᵝ kʲ i ɯ̟ᵝ kʲ i
うきくさ	ɯ̟ᵝ kʲ i k ɯ̟ᵝ s a̠
うきす	ɯ̟ᵝ kʲ i s ɨᵝ
うきすどり	ɯ̟ᵝ kʲ i s ɨᵝ d o̞ ɾʲ i
うきはし	ɯ̟ᵝ kʲ i h a̠ ɕ i
うきぶくろ	ɯ̟ᵝ kʲ i b ɯ̟ᵝ k ɯ̟ᵝ ɾ o̞
うきぼり	ɯ̟ᵝ kʲ i b o̞ ɾʲ i
うきめ	ɯ̟ᵝ kʲ i m e̞
うきゅう	ɯ̟ᵝ kʲ ɨᵝː
うきよ	ɯ̟ᵝ kʲ i j o̞
うきよえ	ɯ̟ᵝ kʲ i j o̞ e̞
うきよえし	ɯ̟ᵝ kʲ i j o̞ e̞ ɕ i
うきわ	ɯ̟ᵝ kʲ i ɰᵝ a̠
うく	ɯ̟ᵝ k ɯ̟ᵝ
うぐ	ɯ̟ᵝ ɡ ɯ̟ᵝ
ウグイ	ɯ̟ᵝ ɡ ɯ̟ᵝ i
うぐい	ɯ̟ᵝ ɡ ɯ̟ᵝ i
うぐいす	ɯ̟ᵝ ɡ ɯ̟ᵝ i s ɨᵝ
うぐいすいろ	ɯ̟ᵝ ɡ ɯ̟ᵝ i s ɨᵝ i ɾ o̞
うぐいすばり	ɯ̟ᵝ ɡ ɯ̟ᵝ i s ɨᵝ b a̠ ɾʲ i
ウクライナ	ɯ̟ᵝ k ɯ̟ᵝ ɾ a̠ i n a̠
ウクライナじん	ɯ̟ᵝ k ɯ̟ᵝ ɾ a̠ i n a̠ ʑ ĩ ɴ
ウクレレ	ɯ̟ᵝ k ɯ̟ᵝ ɾ e̞ ɾ e̞
うけ	ɯ̟ᵝ k e̞
うけ	ɯ̟ᵝ k e̞
うけえ	ɯ̟ᵝ k e̞ e̞
うけあう	ɯ̟ᵝ k e̞ a̠ ɯ̟ᵝ
うけいれる	ɯ̟ᵝ k e̞ː ɾ e̞ ɾ ɯ̟ᵝ
うけうり	ɯ̟ᵝ k e̞ ɯ̟ᵝ ɾʲ i
うけおう	ɯ̟ᵝ k e̞ o̞ ɯ̟ᵝ
うけおい	ɯ̟ᵝ k e̞ o̞ i
うけおいにん	ɯ̟ᵝ k e̞ o̞ i ɲ̟ ĩ ɴ
うけざら	ɯ̟ᵝ k e̞ z a̠ ɾ a̠
うけたまわり	ɯ̟ᵝ k e̞ t a̠ m a̠ ɰᵝ a̠ ɾʲ i
うけたまわる	ɯ̟ᵝ k e̞ t a̠ m a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
うげつ	ɯ̟ᵝ ɡ e̞ t͡s ɨᵝ
うけつぐ	ɯ̟ᵝ k e̞ t͡s ɨᵝ ɡ ɯ̟ᵝ
うけつけ	ɯ̟ᵝ k e̞ t͡s ɨ̥ᵝ k e̞
うけつけがかり	ɯ̟ᵝ k e̞ t͡s ɨ̥ᵝ k e̞ ɡ a̠ k a̠ ɾʲ i
うけつける	ɯ̟ᵝ k e̞ t͡s ɨᵝ k e̞ ɾ ɯ̟ᵝ
うけとめる	ɯ̟ᵝ k e̞ t o̞ m e̞ ɾ ɯ̟ᵝ
うけとめる	ɯ̟ᵝ k e̞ t o̞ m e̞ ɾ ɯ̟ᵝ
うけとりにん	ɯ̟ᵝ k e̞ t o̞ ɾʲ i ɲ̟ ĩ ɴ
うけとる	ɯ̟ᵝ k e̞ t o̞ ɾ ɯ̟ᵝ
うけばこ	ɯ̟ᵝ k e̞ b a̠ k o̞
うけみけい	ɯ̟ᵝ k e̞ mʲ i k e̞ː
うけもつ	ɯ̟ᵝ k e̞ m o̞ t͡s ɨᵝ
ウケる	ɯ̟ᵝ k e̞ ɾ ɯ̟ᵝ
うける	ɯ̟ᵝ k e̞ ɾ ɯ̟ᵝ
うごう	ɯ̟ᵝ ɡ o̞ː
うこうこつ	ɯ̟ᵝ k o̞ː k o̞ t͡s ɨᵝ
うごかす	ɯ̟ᵝ ɡ o̞ k a̠ s ɨᵝ
うごきまわる	ɯ̟ᵝ ɡ o̞ kʲ i m a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
うこっけい	ɯ̟ᵝ k o̞ k̚ k e̞ː
うごめく	ɯ̟ᵝ ɡ o̞ m e̞ k ɯ̟ᵝ
うこん	ɯ̟ᵝ k õ̞ ɴ
うさ	ɯ̟ᵝ s a̠
うざい	ɯ̟ᵝ z a̠ i
うざがく	ɯ̟ᵝ z a̠ ɡ a̠ k ɯ̟ᵝ
うざがらみ	ɯ̟ᵝ z a̠ ɡ a̠ ɾ a̠ mʲ i
うさぎ	ɯ̟ᵝ s a̠ ɡʲ i
うさぎうま	ɯ̟ᵝ s a̠ ɡʲ i ɯ̟ᵝ m a̠
うさぎうま	ɯ̟ᵝ s a̠ ɡʲ i ɯ̟ᵝ m a̠
うさちゃん	ɯ̟ᵝ s a̠ t͡ɕ ã̠ ɴ
うざったい	ɯ̟ᵝ z a̠ t̚ t a̠ i
ウサみみ	ɯ̟ᵝ s a̠ mʲ i mʲ i
うさん	ɯ̟ᵝ s ã̠ ɴ
うし	ɯ̟ᵝ ɕ i
うじ	ɯ̟ᵝ ʑ i
ぎゅうば	ɡʲ ɨᵝː b a̠
しお	ɕ i o̞
うしおに	ɯ̟ᵝ ɕ i o̞ ɲ̟ i
うしかいざ	ɯ̟ᵝ ɕ i̥ k a̠ i z a̠
うしかいめんじょうのうしょう	ɯ̟ᵝ ɕ i k a̠ i m ẽ̞ ɲ̟ d͡ʑ o̞ː n o̞ː ɕ o̞ː
うしがえる	ɯ̟ᵝ ɕ i ɡ a̠ e̞ ɾ ɯ̟ᵝ
うしかもしか	ɯ̟ᵝ ɕ i̥ k a̠ m o̞ ɕ i̥ k a̠
ぎっしゃ	ɡʲ i ɕː a̠
うしごや	ɯ̟ᵝ ɕ i ɡ o̞ j a̠
うしつ	ɯ̟ᵝ ɕ i t͡s ɨᵝ
うしとら	ɯ̟ᵝ ɕ i t o̞ ɾ a̠
うしなう	ɯ̟ᵝ ɕ i n a̠ ɯ̟ᵝ
ウシバエ	ɯ̟ᵝ ɕ i b a̠ e̞
うしみつどき	ɯ̟ᵝ ɕ i mʲ i t͡s ɨᵝ d o̞ kʲ i
ゆうせい	j ɯ̟ᵝː s e̞ː
ゆうせい	j ɯ̟ᵝː s e̞ː
うじょう	ɯ̟ᵝ ʑ o̞ː
うしょく	ɯ̟ᵝ ɕ o̞ k ɯ̟ᵝ
うしろ	ɯ̟ᵝ ɕ i ɾ o̞
うしろあるき	ɯ̟ᵝ ɕ i ɾ o̞ a̠ ɾ ɯ̟ᵝ kʲ i
うしろがみ	ɯ̟ᵝ ɕ i ɾ o̞ ɡ a̠ mʲ i
うしろすがた	ɯ̟ᵝ ɕ i ɾ o̞ s ɨᵝ ɡ a̠ t a̠
うしろだおし	ɯ̟ᵝ ɕ i ɾ o̞ d a̠ o̞ ɕ i
うしろめたい	ɯ̟ᵝ ɕ i ɾ o̞ m e̞ t a̠ i
うしろやま	ɯ̟ᵝ ɕ i ɾ o̞ j a̠ m a̠
うしんしつ	ɯ̟ᵝ ɕ ĩ ɰ̃ ɕ i t͡s ɨᵝ
うす	ɯ̟ᵝ s ɨᵝ
か	k a̠
うすうす	ɯ̟ᵝ s ɨᵝ ɯ̟ᵝ s ɨᵝ
うずうず	ɯ̟ᵝ z ɨᵝ ɯ̟ᵝ z ɨᵝ
うすあかり	ɯ̟ᵝ s ɨᵝ a̠ k a̠ ɾʲ i
うすあじ	ɯ̟ᵝ s ɨᵝ a̠ ʑ i
うすい	ɯ̟ᵝ s ɨᵝ i
あまみず	a̠ m a̠ mʲ i z ɨᵝ
うずいと	ɯ̟ᵝ z ɨᵝ i t o̞
うすぎ	ɯ̟ᵝ s ɨᵝ ɡʲ i
うすきみわるい	ɯ̟ᵝ s ɨᵝ kʲ i mʲ i ɰᵝ a̠ ɾ ɯ̟ᵝ i
うずく	ɯ̟ᵝ z ɨᵝ k ɯ̟ᵝ
うずくまる	ɯ̟ᵝ z ɨᵝ k ɯ̟ᵝ m a̠ ɾ ɯ̟ᵝ
うすぐらい	ɯ̟ᵝ s ɨᵝ ɡ ɯ̟ᵝ ɾ a̠ i
はくひょう	h a̠ k ɯ̟̊ᵝ ç o̞ː
ウスタシャ	ɯ̟ᵝ s ɨᵝ t a̠ ɕ a̠
うすっぺら	ɯ̟ᵝ s ɨᵝ p̚ p e̞ ɾ a̠
きゅうし	kʲ ɨᵝː ɕ i
うすばぼうちょう	ɯ̟ᵝ s ɨᵝ b a̠ b o̞ː t͡ɕ o̞ː
ウズベキスタン	ɯ̟ᵝ z ɨᵝ b e̞ kʲ i s ɨᵝ t ã̠ ɴ
ウズベクご	ɯ̟ᵝ z ɨᵝ b e̞ k ɯ̟ᵝ ɡ o̞
ウズベクじん	ɯ̟ᵝ z ɨᵝ b e̞ k ɯ̟ᵝ ʑ ĩ ɴ
うずまき	ɯ̟ᵝ z ɨᵝ m a̠ kʲ i
うずまきせん	ɯ̟ᵝ z ɨᵝ m a̠ kʲ i s ẽ̞ ɴ
うずまさ	ɯ̟ᵝ z ɨᵝ m a̠ s a̠
うすまる	ɯ̟ᵝ s ɨᵝ m a̠ ɾ ɯ̟ᵝ
うまる	ɯ̟ᵝ m a̠ ɾ ɯ̟ᵝ
うすめ	ɯ̟ᵝ s ɨᵝ m e̞
うすめる	ɯ̟ᵝ s ɨᵝ m e̞ ɾ ɯ̟ᵝ
うめる	ɯ̟ᵝ m e̞ ɾ ɯ̟ᵝ
うずら	ɯ̟ᵝ z ɨᵝ ɾ a̠
うすらひ	ɯ̟ᵝ s ɨᵝ ɾ a̠ ç i
うすれる	ɯ̟ᵝ s ɨᵝ ɾ e̞ ɾ ɯ̟ᵝ
うすわらい	ɯ̟ᵝ s ɨᵝ ɰᵝ a̠ ɾ a̠ i
うせつ	ɯ̟ᵝ s e̞ t͡s ɨᵝ
うせやん	ɯ̟ᵝ s e̞ j ã̠ ɴ
うせる	ɯ̟ᵝ s e̞ ɾ ɯ̟ᵝ
うそ	ɯ̟ᵝ s o̞
うそ	ɯ̟ᵝ s o̞
うそ	ɯ̟ᵝ s o̞
うそまつ	ɯ̟ᵝ s o̞ m a̠ t͡s ɨᵝ
うそくさい	ɯ̟ᵝ s o̞ k ɯ̟ᵝ s a̠ i
うそこく	ɯ̟ᵝ s o̞ k o̞ k ɯ̟ᵝ
うそっぱち	ɯ̟ᵝ s o̞ p̚ p a̠ t͡ɕ i
うそつき	ɯ̟ᵝ s o̞ t͡s ɨᵝ kʲ i
うそつけ	ɯ̟ᵝ s o̞ t͡s ɨᵝ k e̞
うそはっけんき	ɯ̟ᵝ s o̞ h a̠ k̚ k ẽ̞ ŋʲ kʲ i
うそひめ	ɯ̟ᵝ s o̞ ç i m e̞
うそ	ɯ̟ᵝ s o̞
うそぶく	ɯ̟ᵝ s o̞ b ɯ̟ᵝ k ɯ̟ᵝ
うた	ɯ̟ᵝ t a̠
