ya	ja
nsanzugwanko	nsanzuɠwanko
nsimbo	nsimbo
nuclear	nucleaɾ
nurdini	nuɾɗini
nyagori	ɲaɠoɾi
nyakahura	ɲakahuɾa
nyakunga	ɲakunɡa
nyankumbu	ɲankumbu
nyarusi	ɲaɾusi
nyashoshi	ɲaʃoʃi
nyovest	ɲovest
nyumbani	ɲumbani
ocp	ocp
obadia	oɓaɗia
obasanjo	oɓasanɟo
ochan	ot͡ʃan
october	octoɓeɾ
oil	oil
oklahoma	oklahoma
oksijeni	oksiʄeni
oktar	oktaɾ
olambo	olambo
oleg	oleɠ
olenghankoy	olenɡhankoj
ololosokwan	ololosokwan
olusegun	oluseɠun
oman	oman
omani	omani
ona	ona
ondoeni	ondoeni
ongere	onɡeɾe
only	onlj
onwuasor	onwuasoɾ
onyesho	oɲeʃo
orijino	oɾiʄino
orion	oɾion
oromia	oɾomia
orthodox	oɾθoɗox
oryx	oɾjx
osati	osati
osinbajo	osinɓaʄo
otaffire	otaffiɾe
othaya	oθaja
otile	otile
outkast	outkast
outtara	outtaɾa
ozoemena	ozoemena
palu	palu
picha	pit͡ʃa
pti	pti
pwf	pwf
pais	pais
palawan	palawan
pallangyo	pallanɡjo
pan	pan
panthers	panθeɾs
paraguay	paɾaɠuaj
paroko	paɾoko
parsambei	paɾsambei
pashinyan	paʃiɲan
patoranking	patoɾankinɡ
patrobas	patɾoɓas
pazia	pazia
peke	peke
pence	pence
penh	penh
pennyslvania	penɲslvania
pepeta	pepeta
perkoa	peɾkoa
peters	peteɾs
phelan	phelan
phil	phil
phnom	phnom
pikipiki	pikipiki
pincher	pint͡ʃeɾ
pivdennyi	pivɗenɲi
pivovarov	pivovaɾov
plavins	plavins
podolyak	poɗoljak
politburo	politɓuɾo
pongezi	ponɡezi
popat	popat
popote	popote
porter	poɾteɾ
powell	powell
president	pɾesiɗent
primeiro	pɾimeiɾo
primiero	pɾimieɾo
proceedings	pɾoceeɗinɡs
protection	pɾotection
pty	ptj
pyeongyang	pjeonɡjanɡ
pyuza	pjuza
qingdao	qinɡɗao
quebec	queɓec
quran	quɾan
racom	ɾacom
ria	ɾia
rnc	ɾnc
rachid	ɾat͡ʃiɗ
rafal	ɾafal
rahma	ɾahma
raisi	ɾaisi
rajapaska	ɾaʄapaska
ramadan	ɾamaɗan
rand	ɾand
rangi	ɾanɡi
rashida	ɾaʃiɗa
raum	ɾaum
rayon	ɾajon
rayvany	ɾajvaɲ
ree	ɾee
regragui	ɾeɠɾaɠui
reims	ɾeims
relief	ɾelief
renewal	ɾenewal
report	ɾepoɾt
return	ɾetuɾn
revocatus	ɾevocatus
richarlison	ɾit͡ʃaɾlison
richneck	ɾit͡ʃneck
ringia	ɾinɡia
rise	ɾise
rishard	ɾiʃaɾɗ
riverside	ɾiveɾsiɗe
roberto	ɾoɓeɾto
rocky	ɾockj
roland	ɾoland
rome	ɾome
romero	ɾomeɾo
romwa	ɾomwa
rosa	ɾosa
roy	ɾoj
royan	ɾojan
rua	ɾua
rubaya	ɾuɓaja
rugemeleza	ɾuɠemeleza
ruhago	ɾuhaɠo
rule	ɾule
rungwa	ɾunɡwa
rusk	ɾusk
russell	ɾussell
rutte	ɾutte
rwambow	ɾwambow
rwechungura	ɾwet͡ʃunɡuɾa
rwekiza	ɾwekiza
ryan	ɾjan
s	s
sagcot	saɠcot
sana	sana
saw	saw
sdf	sɗf
ssa	ssa
start	staɾt
saanane	saanane
saashisha	saaʃiʃa
sabilo	saɓilo
sabrina	saɓɾina
sadath	saɗaθ
sadifa	saɗifa
sadru	saɗɾu
safina	safina
sagana	saɠana
sagaray	saɠaɾaj
sagini	saɠini
sahili	sahili
saikolojia	saikoloʄia
sake	sake
salandi	salandi
salem	salem
salima	salima
salva	salva
sameh	sameh
samigal	samiɠal
samo	samo
sampa	sampa
samsoni	samsoni
sanandaj	sanandaʄ
sanare	sanaɾe
sandakalawe	sandakalawe
sando	sando
sangambi	sanɡambi
saqqez	saqqez
sarr	saɾɾ
saruji	saɾuʄi
saty	satj
saumu	saumu
sawia	sawia
sawyer	sawjeɾ
sayona	sajona
schumer	st͡ʃumeɾ
scorpions	scoɾpions
sekanabo	sekanaɓo
seko	seko
sekwao	sekwao
selander	selandeɾ
selelii	selelii
selim	selim
senate	senate
sendeka	sendeka
senga	senɡa
septemba	septemba
sergio	seɾɠio
services	seɾvices
setif	setif
sevastopol	sevastopol
sh	ʃ
sh	ʃ
sh	ʃ
sh	ʃ
sh	ʃ
sh	ʃ
sh	ʃ
sh	ʃ
sh	ʃ
sh	ʃ
sh	ʃ
shafii	ʃafii
shagembe	ʃaɠembe
shahbaz	ʃahɓaz
shahed	ʃaheɗ
shahende	ʃahende
shamila	ʃamila
shamte	ʃamte
shangwe	ʃanɡwe
sharmahd	ʃaɾmahɗ
shealy	ʃealj
sheba	ʃeɓa
shehdadi	ʃehɗaɗi
shehia	ʃehia
shekarata	ʃekaɾata
shettima	ʃettima
shiffrin	ʃiffɾin
shilinde	ʃilinde
shindai	ʃindai
shitaka	ʃitaka
sho	ʃo
shoukry	ʃoukɾj
shukrani	ʃukɾani
shukuru	ʃukuɾu
shumbusho	ʃumbuʃo
shundo	ʃundo
shutuma	ʃutuma
sibomana	siɓomana
siddique	siɗɗique
sielewi	sielewi
sigunga	siɠunɡa
sijajua	siʄaʄua
sima	sima
simbila	simbila
simfukwe	simfukwe
simone	simone
sinopharm	sinophaɾm
sitakubali	sitakuɓali
sitisho	sitiʃo
skin	skin
slim	slim
slovakia	slovakia
smolyaninov	smoljaninov
sochi	sot͡ʃi
somali	somali
somanda	somanda
songambele	sonɡambele
sonso	sonso
sosa	sosa
southern	souθeɾn
soya	soja
spector	spectoɾ
spora	spoɾa
sportpesa	spoɾtpesa
sportive	spoɾtive
sseggane	sseɠɠane
staden	staɗen
stamford	stamfoɾɗ
starozhitka	staɾozhitka
stashahada	staʃahaɗa
stavros	stavɾos
steenkamp	steenkamp
stephan	stephan
stoll	stoll
straika	stɾaika
subira	suɓiɾa
succeed	succeeɗ
sued	sueɗ
suella	suella
sukari	sukaɾi
sule	sule
suleman	suleman
suluhisho	suluhiʃo
sumu	sumu
sun	sun
sunga	sunɡa
suruali	suɾuali
swaggz	swaɠɠz
swap	swap
swaziland	swaziland
sylivester	sjlivesteɾ
syrian	sjɾian
syrup	sjɾup
tas	tas
tawa	tawa
tba	tɓa
tbl	tɓl
tbs	tɓs
tcdc	tcɗc
tic	tic
tiss	tiss
toc	toc
tpb	tpɓ
ttp	ttp
taaluma	taaluma
tafiti	tafiti
taha	taha
tahadhari	tahaðaɾi
takatifu	takatifu
taletale	taletale
tall	tall
tamaa	tamaa
tamaduni	tamaɗuni
tamma	tamma
tampere	tampeɾe
tanaka	tanaka
tanroad	tanɾoaɗ
tapa	tapa
taratibu	taɾatiɓu
taswira	taswiɾa
taveta	taveta
tawi	tawi
tchize	tt͡ʃize
tecno	tecno
teddy	teɗɗj
tegambwage	teɠambwaɠe
tegete	teɠete
tel	tel
telegramu	teleɠɾamu
tembelea	tembelea
temesa	temesa
tengeru	tenɡeɾu
terati	teɾati
terminal	teɾminal
thabo	θaɓo
thessaloniki	θessaloniki
tijuana	tiʄuana
tiko	tiko
tina	tina
tobruk	toɓɾuk
tokomeza	tokomeza
tony	toɲ
toyo	tojo
trakoma	tɾakoma
transworld	tɾanswoɾlɗ
trevali	tɾevali
trilion	tɾilion
tuache	tuat͡ʃe
tuhuma	tuhuma
tukianza	tukianza
tukufu	tukufu
tukutane	tukutane
tuliambiwa	tuliambiwa
tuliamshwa	tuliamʃwa
tulienda	tulienda
tulifanya	tulifaɲa
tulijaribu	tuliʄaɾiɓu
tulikwenda	tulikwenda
tulishindwa	tuliʃindwa
tulitoka	tulitoka
tulizungumza	tulizunɡumza
tulu	tulu
tumeambiwa	tumeambiwa
tumeamua	tumeamua
tumeingia	tumeinɡia
tumejadiliana	tumeʄaɗiliana
tumekuja	tumekuʄa
tumeshuhudia	tumeʃuhuɗia
tumesikitishwa	tumesikitiʃwa
tunachunguza	tunat͡ʃunɡuza
tunafikiria	tunafikiɾia
tunaishukuru	tunaiʃukuɾu
tunakusudia	tunakusuɗia
tunalaani	tunalaani
tunapendekeza	tunapendekeza
tunapoadhimisha	tunapoaðimiʃa
tunasikia	tunasikia
tunatambua	tunatambua
tunawaombea	tunawaombea
turkson	tuɾkson
turnbull	tuɾnɓull
tusubiri	tusuɓiɾi
tutafanya	tutafaɲa
tutakuwa	tutakuwa
tutatumia	tutatumia
twalibu	twaliɓu
twanga	twanɡa
twange	twanɡe
twiter	twiteɾ
udart	uɗaɾt
uefa	uefa
unfpa	unfpa
uongozi	uonɡozi
usaid	usaiɗ
ubadilishanaji	uɓaɗiliʃanaʄi
ubingwa	uɓinɡwa
udsm	uɗsm
uendeshaji	uendeʃaʄi
uenyekiti	ueɲekiti
ufadhili	ufaðili
ufafanuzi	ufafanuzi
ufilisi	ufilisi
ufufuo	ufufuo
ugomvi	uɠomvi
ugweno	uɠweno
uhai	uhai
uhalisia	uhalisia
uhandisi	uhandisi
uhujumi	uhuʄumi
ujasiri	uʄasiɾi
ujasusi	uʄasusi
ukara	ukaɾa
ukiachilia	ukiat͡ʃilia
ukifuatilia	ukifuatilia
ukimuona	ukimuona
ukrainian	ukɾainian
ukristo	ukɾisto
ulimwambia	ulimwambia
ulimweleza	ulimweleza
ulirki	uliɾki
uliulizwa	uliulizwa
umekuwa	umekuwa
unakubali	unakuɓali
unamfahamu	unamfahamu
unaruhusiwa	unaɾuhusiwa
unawezaje	unawezaʄe
unite	unite
universal	univeɾsal
ununuzi	ununuzi
uokozi	uokozi
uongo	uonɡo
upekuzi	upekuzi
upili	upili
urafiki	uɾafiki
uraia	uɾaia
uropa	uɾopa
usambara	usambaɾa
usangu	usanɡu
ushawishi	uʃawiʃi
usikose	usikose
usimba	usimba
utakuta	utakuta
utasikia	utasikia
utaweza	utaweza
utendaji	utendaʄi
utete	utete
utruruki	utɾuɾuki
utu	utu
uvumi	uvumi
uwe	uwe
uyanga	ujanɡa
uyole	ujole
uzalendo	uzalendo
uzazi	uzazi
uzima	uzima
vdp	vɗp
veta	veta
valerian	valeɾian
variety	vaɾietj
vestina	vestina
vickoria	vickoɾia
victorien	victoɾien
vikoba	vikoɓa
vikuu	vikuu
village	villaɠe
vipaumbele	vipaumbele
vipimo	vipimo
virunga	viɾunɡa
vitambulisho	vitambuliʃo
viziwi	viziwi
volcano	volcano
voting	votinɡ
wht	wht
wwii	wwii
waalgeria	waalɠeɾia
waane	waane
waangola	waanɡola
wabelgiji	waɓelɠiʄi
wacameroon	wacameɾoon
wadadisi	waɗaɗisi
wadaiwa	waɗaiwa
wadhibiti	waðiɓiti
waganda	waɠanda
wagogo	waɠoɠo
wahabiat	wahaɓiat
wahalifu	wahalifu
wahindu	wahindu
wahitimu	wahitimu
waigizaji	waiɠizaʄi
waitaliano	waitaliano
waitara	waitaɾa
wakasema	wakasema
wakawa	wakawa
wakfu	wakfu
wakikuyu	wakikuju
wakiona	wakiona
wala	wala
waliachana	waliat͡ʃana
waliamua	waliamua
walianza	walianza
walikubaliana	walikuɓaliana
waliniambia	waliniambia
walio	walio
waliokamatwa	waliokamatwa
walionusurika	walionusuɾika
waliopitishwa	waliopitiʃwa
walitangaza	walitanɡaza
walitoa	walitoa
walivyoingia	walivjoinɡia
walt	walt
wameanza	wameanza
wamekuja	wamekuʄa
wamekuwa	wamekuwa
wameshindwa	wameʃindwa
wamorocco	wamoɾocco
wanaccm	wanaccm
wanadaiwa	wanaɗaiwa
wanadiplomasia	wanaɗiplomasia
wanaeleza	wanaeleza
wanaishi	wanaiʃi
wanakijiji	wanakiʄiʄi
wanamuziki	wanamuziki
wanaotaka	wanaotaka
wanayanga	wanajanɡa
wanazi	wanazi
wang	wanɡ
wanyarwanda	waɲaɾwanda
wapashtun	wapaʃtun
ward	waɾɗ
warembo	waɾembo
waridi	waɾiɗi
wasa	wasa
wasifu	wasifu
wasiwasi	wasiwasi
wastani	wastani
wasukuma	wasukuma
watahiniwa	watahiniwa
watakatifu	watakatifu
wataliban	wataliɓan
watalii	watalii
watendaji	watendaʄi
watoa	watoa
watumiaji	watumiaʄi
wavulana	wavulana
wazanzibar	wazanziɓaɾ
wekundu	wekundu
wembley	wemblej
weruweru	weɾuweɾu
wickremesinghe	wickɾemesinɡhe
wildenstein	wilɗenstein
willibrod	williɓɾoɗ
wilmington	wilminɡton
win	win
xiamen	xiamen
ya	ja
yafuatayo	jafuatajo
yangu	janɡu
yanick	janick
yasinta	jasinta
yayo	jajo
yeni	jeni
yeremia	jeɾemia
yo	jo
yona	jona
yondani	jondani
yu	ju
yuan	juan
yusto	justo
zma	zma
zacharopoulou	zat͡ʃaɾopoulou
zalamek	zalamek
zambi	zambi
zedillo	zeɗillo
zedong	zeɗonɡ
zhukova	zhukova
zircon	ziɾcon
zlatan	zlatan
zote	zote
zulfa	zulfa
zyuganov	zjuɠanov
aachane	aat͡ʃane
aachie	aat͡ʃie
aachwe	aat͡ʃwe
aamue	aamue
aangalie	aanɡalie
aapishwe	aapiʃwe
achukuliwe	at͡ʃukuliwe
afikishe	afikiʃe
afunge	afunɡe
afungue	afunɡue
aghlabu	aɣlaɓu
ahesabiwe	ahesaɓiwe
ahukumiwe	ahukumiwe
air	aiɾ
akademi	akaɗemi
akafa	akafa
akafanye	akafaɲe
akahoji	akahoʄi
akaishia	akaiʃia
akajitambulisha	akaʄitambuliʃa
akakimbia	akakimbia
akakiri	akakiɾi
akakuta	akakuta
akamalizia	akamalizia
akamkuta	akamkuta
akamteua	akamteua
akamuomba	akamuomba
akamuona	akamuona
akanipa	akanipa
akaongea	akaonɡea
akapanga	akapanɡa
akapewa	akapewa
akarudisha	akaɾuɗiʃa
akashuka	akaʃuka
akatae	akatae
akatangazwa	akatanɡazwa
akateuliwa	akateuliwa
akatumia	akatumia
akaumia	akaumia
akawaambia	akawaambia
akiandikia	akiandikia
akiangazia	akianɡazia
akiangua	akianɡua
akianzisha	akianziʃa
akichuana	akit͡ʃuana
akichukuwa	akit͡ʃukuwa
akielekeza	akielekeza
akifanyia	akifaɲia
akifunguka	akifunɡuka
akihamishwa	akihamiʃwa
akihimiza	akihimiza
akihitaji	akihitaʄi
akihusisha	akihusiʃa
akiishutumu	akiiʃutumu
akiitumia	akiitumia
akijenga	akiʄenɡa
akijeruhiwa	akiʄeɾuhiwa
akijihusisha	akiʄihusiʃa
akijikita	akiʄikita
akijiuzulu	akiʄiuzulu
akijulikana	akiʄulikana
akijumuika	akiʄumuika
akikiri	akikiɾi
akikubali	akikuɓali
akilala	akilala
akilazimika	akilazimika
akilengwa	akilenɡwa
akilinda	akilinda
akimfundisha	akimfundiʃa
akimhudumia	akimhuɗumia
akimkaribisha	akimkaɾiɓiʃa
akimpatia	akimpatia
akimpiku	akimpiku
akimsaidia	akimsaiɗia
akimsubiri	akimsuɓiɾi
akimtazama	akimtazama
akimuelezea	akimuelezea
akimwita	akimwita
akimzuia	akimzuia
akimzungumzia	akimzunɡumzia
akinamama	akinamama
akiniambia	akiniambia
akioga	akioɠa
akiondoa	akiondoa
akiondolewa	akiondolewa
akipanda	akipanda
akipanga	akipanɡa
akipendelea	akipendelea
akipitia	akipitia
akipunga	akipunɡa
akiripoti	akiɾipoti
akiruka	akiɾuka
akisafirisha	akisafiɾiʃa
akisaidia	akisaiɗia
akisaini	akisaini
akishauri	akiʃauɾi
akisherehekea	akiʃeɾehekea
akishika	akiʃika
akisikia	akisikia
akisikika	akisikika
akisimulia	akisimulia
akitamba	akitamba
akitimiza	akitimiza
akitua	akitua
akitumbuiza	akitumbuiza
akitumika	akitumika
akiugua	akiuɠua
akiwaahidi	akiwaahiɗi
akiwabwaga	akiwaɓwaɠa
akiwahimiza	akiwahimiza
akiwaita	akiwaita
akiwakilisha	akiwakiliʃa
akiwashirikisha	akiwaʃiɾikiʃa
akiwasihi	akiwasihi
akubali	akuɓali
aliambulia	aliambulia
aliamriwa	aliamɾiwa
aliandamana	aliandamana
aliangushwa	alianɡuʃwa
alichagua	alit͡ʃaɠua
alichelewa	alit͡ʃelewa
alichezea	alit͡ʃezea
alichokieleza	alit͡ʃokieleza
alichomoa	alit͡ʃomoa
alichoonyesha	alit͡ʃooɲeʃa
alichotaka	alit͡ʃotaka
alidiriki	aliɗiɾiki
aliegemea	alieɠemea
aliendeleza	aliendeleza
aliendesha	aliendeʃa
alifahamiana	alifahamiana
alifikwa	alifikwa
alifunguliwa	alifunɡuliwa
alifuta	alifuta
alifyatua	alifjatua
alihimiza	alihimiza
alihudumia	alihuɗumia
aliichezea	aliit͡ʃezea
aliipenda	aliipenda
aliirejesha	aliiɾeʄeʃa
aliisaidia	aliisaiɗia
aliishiwa	aliiʃiwa
aliitumia	aliitumia
aliitupa	aliitupa
alijali	aliʄali
alijaliwa	aliʄaliwa
alijiapisha	aliʄiapiʃa
alijibiwa	aliʄiɓiwa
alijifungua	aliʄifunɡua
alijiita	aliʄiita
alijulishwa	aliʄuliʃwa
alikabiliana	alikaɓiliana
alikemea	alikemea
alikimbizwa	alikimbizwa
alikoanza	alikoanza
alikulia	alikulia
alikumbuka	alikumbuka
alilala	alilala
alilalamikia	alilalamikia
alilaumu	alilaumu
aliletewa	aliletewa
alilipa	alilipa
alilofunga	alilofunɡa
alilonalo	alilonalo
alimaanisha	alimaaniʃa
alimchagua	alimt͡ʃaɠua
alimfukuza	alimfukuza
alimhukumu	alimhukumu
alimkabidhi	alimkaɓiði
alimnadi	alimnaɗi
alimpelekea	alimpelekea
alimshambulia	alimʃambulia
alimshawishi	alimʃawiʃi
alimsikia	alimsikia
alimwelezea	alimwelezea
alimwonya	alimwoɲa
aliniahidi	aliniahiɗi
alinieleza	alinieleza
aliniomba	aliniomba
alinyakua	aliɲakua
alinyongwa	aliɲonɡwa
alinyoosha	aliɲooʃa
aliodai	alioɗai
aliofanyiwa	aliofaɲiwa
aliombwa	aliombwa
aliondoa	aliondoa
aliongezewa	alionɡezewa
aliopata	aliopata
aliopewa	aliopewa
aliotoa	aliotoa
aliouacha	aliouat͡ʃa
aliowashirikisha	aliowaʃiɾikiʃa
alipoandika	alipoandika
alipoanzisha	alipoanziʃa
alipofikisha	alipofikiʃa
alipohama	alipohama
alipohamishiwa	alipohamiʃiwa
alipohitimu	alipohitimu
alipoibuka	alipoiɓuka
alipoitwa	alipoitwa
alipojifungua	alipoʄifunɡua
alipokutwa	alipokutwa
alipolazwa	alipolazwa
alipomlipua	alipomlipua
alipoongoza	alipoonɡoza
alipopigiwa	alipopiɠiwa
alipopokea	alipopokea
alipopoteza	alipopoteza
aliposhinda	alipoʃinda
aliposhiriki	alipoʃiɾiki
aliposhuka	alipoʃuka
alipotangazwa	alipotanɡazwa
alipowasilisha	alipowasiliʃa
alipozimia	alipozimia
aliripoti	aliɾipoti
aliripotiwa	aliɾipotiwa
alirithi	aliɾiθi
alirudia	aliɾuɗia
alisababisha	alisaɓaɓiʃa
alishikiliwa	aliʃikiliwa
alishitakiwa	aliʃitakiwa
alishutumiwa	aliʃutumiwa
alisikitishwa	alisikitiʃwa
alisita	alisita
alitafuta	alitafuta
alitambuliwa	alitambuliwa
alitegemea	aliteɠemea
alitofautiana	alitofautiana
alitokomea	alitokomea
alitolea	alitolea
alitua	alitua
alituhumiwa	alituhumiwa
aliuelezea	aliuelezea
aliugua	aliuɠua
alivuliwa	alivuliwa
alivyoanza	alivjoanza
alivyodai	alivjoɗai
alivyoeleza	alivjoeleza
alivyofanyiwa	alivjofaɲiwa
alivyokamatwa	alivjokamatwa
alivyopata	alivjopata
alivyoshuhudia	alivjoʃuhuɗia
alivyotangaza	alivjotanɡaza
alivyozidi	alivjoziɗi
aliwaachia	aliwaat͡ʃia
aliwaaga	aliwaaɠa
aliwaagiza	aliwaaɠiza
aliwashutumu	aliwaʃutumu
aliwateua	aliwateua
aliwavutia	aliwavutia
aliwekeza	aliwekeza
aliwezaje	aliwezaʄe
aliyatoa	alijatoa
aliyeamua	alijeamua
aliyeandika	alijeandika
aliyeapishwa	alijeapiʃwa
aliyebakwa	alijeɓakwa
aliyechangia	alijet͡ʃanɡia
aliyecheza	alijet͡ʃeza
aliyefikia	alijefikia
aliyegeuka	alijeɠeuka
aliyehamishiwa	alijehamiʃiwa
aliyehitimu	alijehitimu
aliyeigiza	alijeiɠiza
aliyeimba	alijeimba
aliyeishi	alijeiʃi
aliyejitoa	alijeʄitoa
aliyejiuzulu	alijeʄiuzulu
aliyekata	alijekata
aliyekatwa	alijekatwa
aliyekimbilia	alijekimbilia
aliyekulia	alijekulia
aliyekumbwa	alijekumbwa
aliyekuwapo	alijekuwapo
aliyemfanyia	alijemfaɲia
aliyempigia	alijempiɠia
aliyemteua	alijemteua
aliyemuua	alijemuua
aliyemwakilisha	alijemwakiliʃa
aliyemwambia	alijemwambia
aliyeonyesha	alijeoɲeʃa
aliyepitishwa	alijepitiʃwa
aliyesaidia	alijesaiɗia
aliyesaini	alijesaini
aliyeshtakiwa	alijeʃtakiwa
aliyetambulika	alijetambulika
aliyetambuliwa	alijetambuliwa
aliyetoweka	alijetoweka
aliyetumikia	alijetumikia
aliyeumia	alijeumia
aliyevuliwa	alijevuliwa
aliyezaa	alijezaa
aliyoandika	alijoandika
aliyochukua	alijot͡ʃukua
aliyodai	alijoɗai
aliyofikia	alijofikia
aliyokutana	alijokutana
aliyopachika	alijopat͡ʃika
aliyotakiwa	alijotakiwa
aliyoyaamini	alijojaamini
aliyoyatoa	alijojatoa
aliyozungumza	alijozunɡumza
alizipenda	alizipenda
alizitaka	alizitaka
alizodai	alizoɗai
alizofanya	alizofaɲa
alizotumia	alizotumia
amebobea	ameɓoɓea
amechagua	amet͡ʃaɠua
amechomwa	amet͡ʃomwa
amechukuliwa	amet͡ʃukuliwa
amefeli	amefeli
amefikia	amefikia
amefuata	amefuata
amefunguka	amefunɡuka
amegusia	ameɠusia
ameguswa	ameɠuswa
amehitimisha	amehitimiʃa
amehudhuria	amehuðuɾia
ameiba	ameiɓa
ameibiwa	ameiɓiwa
ameifanya	ameifaɲa
ameiita	ameiita
ameimba	ameimba
ameingiliwa	ameinɡiliwa
ameishauri	ameiʃauɾi
ameitoa	ameitoa
ameitumikia	ameitumikia
amejenga	ameʄenɡa
amejibu	ameʄiɓu
amejiita	ameʄiita
amejitosa	ameʄitosa
amekabiliwa	amekaɓiliwa
amekagua	amekaɠua
amekitaja	amekitaʄa
amekua	amekua
amekula	amekula
amekumbana	amekumbana
amekunywa	amekuɲwa
amekusanya	amekusaɲa
amekwisha	amekwiʃa
ameleta	ameleta
amelima	amelima
ameliomba	ameliomba
amelitaka	amelitaka
amelitumikia	amelitumikia
amemchagua	amemt͡ʃaɠua
amempokea	amempokea
amemshauri	amemʃauɾi
amemshirikisha	amemʃiɾikiʃa
amemshutumu	amemʃutumu
amemuapisha	amemuapiʃa
amemuoa	amemuoa
amemuua	amemuua
amemwomba	amemwomba
amemzidi	amemziɗi
amenusurika	amenusuɾika
ameongea	ameonɡea
amepanda	amepanda
amepeleka	amepeleka
amepimwa	amepimwa
amepinga	amepinɡa
amepitia	amepitia
amepokewa	amepokewa
amepotea	amepotea
ameridhishwa	ameɾiðiʃwa
ameruhusiwa	ameɾuhusiwa
amesababisha	amesaɓaɓiʃa
ameshtushwa	ameʃtuʃwa
amesitisha	amesitiʃa
ametakiwa	ametakiwa
ametekwa	ametekwa
ametolewa	ametolewa
ameuambia	ameuambia
ameuita	ameuita
ameuliwa	ameuliwa
ameumizwa	ameumizwa
ameunda	ameunda
ameupiga	ameupiɠa
amevitaja	amevitaʄa
amevunjika	amevunɟika
amevutiwa	amevutiwa
amewaahidi	amewaahiɗi
amewaapisha	amewaapiʃa
amewaasa	amewaasa
amewahakikishia	amewahakikiʃia
amewakata	amewakata
amewambia	amewambia
amewashinda	amewaʃinda
amewasiliana	amewasiliana
amewatangaza	amewatanɡaza
amewekwa	amewekwa
ameziagiza	ameziaɠiza
amiri	amiɾi
amua	amua
an	an
anaahidi	anaahiɗi
anaaminika	anaaminika
anaangalia	anaanɡalia
anaapishwa	anaapiʃwa
anabakia	anaɓakia
anabeba	anaɓeɓa
anacheka	anat͡ʃeka
anachojua	anat͡ʃoʄua
anachokiita	anat͡ʃokiita
anachotaka	anat͡ʃotaka
anachoweza	anat͡ʃoweza
anachukuliwa	anat͡ʃukuliwa
anachunguzwa	anat͡ʃunɡuzwa
anaendeleza	anaendeleza
anafichua	anafit͡ʃua
anafuata	anafuata
anahamasisha	anahamasiʃa
anahitajika	anahitaʄika
anahojiwa	anahoʄiwa
anahudhuria	anahuðuɾia
anahudumu	anahuɗumu
anahukumiwa	anahukumiwa
anaifanya	anaifaɲa
anaigiza	anaiɠiza
anaikumbuka	anaikumbuka
anaingilia	anainɡilia
anaipenda	anaipenda
anaishia	anaiʃia
anaishukuru	anaiʃukuɾu
anaitaja	anaitaʄa
anaitumia	anaitumia
anajiamini	anaʄiamini
anajishughulisha	anaʄiʃuɣuliʃa
anajitahidi	anaʄitahiɗi
anajitoa	anaʄitoa
anakifanya	anakifaɲa
anakua	anakua
anakubali	anakuɓali
anakulipa	anakulipa
anakupa	anakupa
analia	analia
analinda	analinda
anamsaidia	anamsaiɗia
anamtafuta	anamtafuta
anamtambua	anamtambua
ananisaidia	ananisaiɗia
ananunua	ananunua
anaonewa	anaonewa
anaongozwa	anaonɡozwa
anaonya	anaoɲa
anapatikana	anapatikana
anapelekwa	anapelekwa
anapigiwa	anapiɠiwa
anapoanza	anapoanza
anapoenda	anapoenda
anapofariki	anapofaɾiki
anapomaliza	anapomaliza
anarudia	anaɾuɗia
anasikia	anasikia
anasikika	anasikika
anatamba	anatamba
anatambulika	anatambulika
anatazama	anatazama
anatenda	anatenda
anatetea	anatetea
anatia	anatia
anatokwa	anatokwa
anavaa	anavaa
anavuja	anavuʄa
anavutiwa	anavutiwa
anavyotaka	anavjotaka
anawalea	anawalea
anawasaidia	anawasaiɗia
anawashauri	anawaʃauɾi
anawashukuru	anawaʃukuɾu
anawataja	anawataʄa
anawatumia	anawatumia
anawawakilisha	anawawakiliʃa
anayeaminika	anajeaminika
anayedhaniwa	anajeðaniwa
anayeendesha	anajeendeʃa
anayefahamika	anajefahamika
anayefahamu	anajefahamu
anayefundisha	anajefundiʃa
anayegombea	anajeɠombea
anayehitaji	anajehitaʄi
anayejiamini	anajeʄiamini
anayekaa	anajekaa
anayekipiga	anajekipiɠa
anayekwenda	anajekwenda
anayemuunga	anajemuunɡa
anayepata	anajepata
anayepinga	anajepinɡa
anayeshiriki	anajeʃiɾiki
anayeshukiwa	anajeʃukiwa
anayestahili	anajestahili
anayetajwa	anajetaʄwa
anayetambuliwa	anajetambuliwa
anayetoa	anajetoa
anayetoka	anajetoka
anayeuza	anajeuza
anayocheza	anajot͡ʃeza
anayoipenda	anajoipenda
anayoitaja	anajoitaʄa
anayoyapata	anajojapata
anazohitaji	anazohitaʄi
angeenda	anɡeenda
angeendelea	anɡeendelea
angefika	anɡefika
angetaka	anɡetaka
angetimiza	anɡetimiza
antibiotiki	antiɓiotiki
anuwai	anuwai
anyongwe	aɲonɡwe
aonekane	aonekane
aongee	aonɡee
aongeze	aonɡeze
aonyeshe	aoɲeʃe
apambane	apambane
apatiwe	apatiwe
apelekwe	apelekwe
apoteze	apoteze
arejee	aɾeʄee
aruhusiwe	aɾuhusiwe
asifanye	asifaɲe
asiingie	asiinɡie
asije	asiʄe
asiweze	asiweze
ataachiwa	ataat͡ʃiwa
ataapishwa	ataapiʃwa
atadai	ataɗai
atafika	atafika
atahojiwa	atahoʄiwa
ataitembelea	ataitembelea
ataitisha	ataitiʃa
atajitahidi	ataʄitahiɗi
