flora,flɔra
krytykuj,krɨtɨkuj
poprawiając,pɔpravjajɔnt͡s
łanich,waɲix
smalcjusz,smalt͡sjuʂ
patroszenie,patrɔʂɛɲɛ
zajmowalibyśmy,zajmɔvalibɨɕmɨ
ferii,fɛrji
wybawić,vɨbavit͡ɕ
polakożerca,pɔlakɔʐɛrt͡sa
sikano,ɕikanɔ
sprostować,sprɔstɔvat͡ɕ
wąsik,vɔɲɕik
czarnobrody,t͡ʂarnɔbrɔdɨ
modrak,mɔdrak
archiwach,arxivax
pęknąć,pɛŋknɔɲt͡ɕ
richter,rixtɛr
płatało,pwatawɔ
nież,ɲɛʂ
łaźnia,waʑɲa
najdzikszego,najd͡ʑikʂɛɡɔ
żnin,ʐɲin
dęba,dɛmba
włączałabyś,vwɔnt͡ʂawabɨɕ
asesorstwo,asɛsɔrstfɔ
symulowałem,sɨmulɔvawɛm
strateg,stratɛk
zespolony,zɛspɔlɔnɨ
drobniusi,drɔbɲuɕi
każdy,kaʐdɨ
meandry,mɛandrɨ
pepperoni,pɛpɛrɔɲi
glanami,ɡlanami
naprawialiście,napravjaliɕt͡ɕɛ
borawski,bɔrafski
strzępina,stʂɛmpina
łyżwie,wɨʐvjɛ
sponsor,spɔnsɔr
dysproz,dɨsprɔs
pretendent,prɛtɛndɛnt
doskonalimy,dɔskɔnalimɨ
grodowi,ɡrɔdɔvi
chciała,xt͡ɕawa
obiesić,ɔbjɛɕit͡ɕ
nadybał,nadɨbaw
gruszkę,ɡruʂkɛ
bimbrowy,bimbrɔvɨ
beleczkowy,bɛlɛt͡ʂkɔvɨ
ujęty,ujɛntɨ
warka,varka
bezwypadkowo,bɛzvɨpatkɔvɔ
barcikowska,bart͡ɕikɔfska
przyjaciołach,pʂɨjat͡ɕɔwax
córach,t͡surax
hotelem,xɔtɛlɛm
rugo,ruɡɔ
ziarnica,ʑarɲit͡sa
sylwetkę,sɨlvɛtkɛ
aalenem,alɛnɛm
upychanie,upɨxaɲɛ
pszczółeczkom,pʂt͡ʂuwɛt͡ʂkɔm
alternacja,altɛrnat͡sja
bratuń,bratuɲ
więksi,vjɛŋkɕi
czudaj,t͡ʂudaj
poufna,pɔufna
zalokować,zalɔkɔvat͡ɕ
czeladnik,t͡ʂɛladɲik
uskarbienie,uskarbjɛɲɛ
zmądrzenie,zmɔndʐɛɲɛ
kantońskimi,kantɔɲskimi
przekwitanie,pʂɛkfitaɲɛ
sapać,sapat͡ɕ
kłącze,kwɔnt͡ʂɛ
domawiać,dɔmɒvjat͡ɕ
przyswoić,pʂɨsfɔit͡ɕ
trąbę,trɔmbɛ
inowrocław,inɔvrɔt͡swaf
białkiewicz,bjawkjɛvit͡ʂ
dziwniejszego,d͡ʑivɲɛjʂɛɡɔ
płacące,pwat͡sɔnt͡sɛ
masowiec,masɔvjɛt͡s
przywidzieć,pʂɨvid͡ʑɛt͡ɕ
kiciuś,kit͡ɕuɕ
sygnatariusz,sɨɡnatarjuʂ
penalizować,pɛnalizɔvat͡ɕ
zmurszeć,zmurʂɛt͡ɕ
łojowi,wɔjɔvi
rozdziewiczyć,rɔzd͡ʑɛvit͡ʂɨt͡ɕ
gwiszcz,ɡviʂt͡ʂ
żółtej,ʐuwtɛj
zaabonowania,zaabɔnɔvaɲa
niewolniczy,ɲɛvɔlɲit͡ʂɨ
pokojówko,pɔkɔjufkɔ
wojak,vɔjak
dotop,dɔtɔp
jarocin,jarɔt͡ɕin
okapy,ɔkapɨ
argentyt,arɡɛntɨt
kładkowy,kwatkɔvɨ
popiersie,pɔpjɛrɕɛ
biłam,biwam
mianowitszy,mjanɔvitʂɨ
zorywać,zɔrɨvat͡ɕ
oddaną,ɔddanɔw̃
westerplatczyk,vɛstɛrplatt͡ʂɨk
karasek,karasɛk
mrówkach,mrufkax
runę,runɛ
propsować,prɔpsɔvat͡ɕ
grądem,ɡrɔndɛm
doborem,dɔbɔrɛm
zaabonowałoby,zaabɔnɔvawɔbɨ
paliłaś,paliwaɕ
przyszli,pʂɨʂli
krzywica,kʂɨvit͡sa
niechajewicz,ɲɛxajɛvit͡ʂ
absorpcja,apsɔrpt͡sja
zestrzel,zɛstʂɛl
zdanowicz,zdanɔvit͡ʂ
wyjmowałyście,vɨjmɔvawɨɕt͡ɕɛ
imago,imaɡɔ
misternie,mistɛrɲɛ
nowemu,nɔvɛmu
policzkowy,pɔlit͡ʂkɔvɨ
świetnym,ɕfjɛtnɨm
cołki,t͡sɔwki
goździewicz,ɡɔʑd͡ʑɛvit͡ʂ
obiecawszy,ɔbjɛt͡safʂɨ
zautonomizowali,zawtɔnɔmizɔvali
ortograficzny,ɔrtɔɡrafit͡ʂnɨ
bajerować,bajɛrɔvat͡ɕ
łunie,wuɲɛ
pisalibyśmy,pisalibɨɕmɨ
okres,ɔkres
pawełas,pavɛwas
marzec,maʐɛt͡s
rwandyjskimi,rvandɨjskimi
kichałybyście,kixawɨbɨɕt͡ɕɛ
gameta,ɡamɛta
indianka,indjaŋka
mazurek,mazurɛk
wysyłałbym,vɨsɨwawbɨm
nagannie,naɡanɲɛ
bezcześcią,bɛst͡ʂɛɕt͡ɕɔw̃
paulinkami,pawliŋkami
zjawiać,zjavjat͡ɕ
półprodukt,puwprɔdukt
czarujący,t͡ʂarujɔnt͡sɨ
chakaskim,xakaskim
pasywnie,pasɨvɲɛ
matką,matkɔw̃
opatentujemy,ɔpatɛntujɛmɨ
łachów,waxuf
wojnica,vɔjɲit͡sa
chrupał,xrupaw
skandal,skandal
wiec,vjɛt͡s
bojach,bɔjax
ogorzelec,ɔɡɔʐɛlɛt͡s
adekwatność,adɛkfatnɔɕt͡ɕ
ostrzeżenia,ɔstʂɛʐɛɲa
ocieplanie,ɔt͡ɕɛplaɲɛ
somalijska,sɔmalijska
zanieść,zaɲɛɕt͡ɕ
serdaczek,sɛrdat͡ʂɛk
kuleczka,kulɛt͡ʂka
aromatyzer,arɔmatɨzɛr
pajęcza,pajɛnt͡ʂa
zwiniecie,zviɲɛt͡ɕɛ
jagas,jaɡas
gorszemu,ɡɔrʂɛmu
zaczynamy,zat͡ʂɨnamɨ
ciążyłbym,t͡ɕɔw̃ʐɨwbɨm
generalny,ɡɛnɛralnɨ
nosiłeś,nɔɕiwɛɕ
napowietrzalibyście,napɔvjɛtʂalibɨɕt͡ɕɛ
ryzykowność,rɨzɨkɔvnɔɕt͡ɕ
wyjechać,vɨjɛxat͡ɕ
niegodziwość,ɲɛɡɔd͡ʑivɔɕt͡ɕ
tajemnicach,tajɛmɲit͡sax
apoplektycznie,apɔplɛktɨt͡ʂɲɛ
archiwistyk,arxivistɨk
zupełnie,zupɛwɲɛ
przytulałbyś,pʂɨtulawbɨɕ
trzewikodziób,tʂɛvikɔd͡ʑup
obrotomierz,ɔbrɔtɔmjɛʂ
dyktando,dɨktandɔ
bekliwy,bɛklivɨ
noe,nɔɛ
kamienie,kamjɛɲɛ
przypominałbyś,pʂɨpɔminawbɨɕ
dagestan,daɡɛstan
fundusz,funduʂ
pachnięcie,paxɲɛɲt͡ɕɛ
przeszkadzałoby,pʂɛʂkad͡zawɔbɨ
popojutrze,pɔpɔjutʂɛ
wżenić,vʐɛɲit͡ɕ
zboczony,zbɔt͡ʂɔnɨ
kruchsi,kruxɕi
nieborak,ɲɛbɔrak
zlecenie,zlɛt͡sɛɲɛ
ością,ɔɕt͡ɕɔw̃
spiseg,spisɛk
matach,matax
konwalie,kɔnvaljɛ
sądy,sɔndɨ
nieśli,ɲɛɕli
podpierdolić,pɔtpjɛrdɔlit͡ɕ
carami,t͡sarami
słonych,swɔnɨx
płotka,pwɔtka
tarnośliwa,tarnɔɕliva
błagaliście,bwaɡaliɕt͡ɕɛ
niski,ɲiski
bysiewicz,bɨɕɛvit͡ʂ
waboł,vabɔw
oczywistszy,ɔt͡ʂɨvistʂɨ
zagracać,zaɡrat͡sat͡ɕ
skalach,skalax
ziołem,ʑɔwɛm
cofanie,t͡sɔfaɲɛ
starym,starɨm
arcosolium,arkɔsɔljum
ewenkijscy,ɛvɛŋkijst͡sɨ
palaczkę,palat͡ʂkɛ
zadrżeć,zadrʐɛt͡ɕ
cudować,t͡sudɔvat͡ɕ
męsko,mɛw̃skɔ
potas,pɔtas
uzdolnienie,uzdɔlɲɛɲɛ
arabką,arapkɔw̃
komturia,kɔmturja
arteriola,artɛrjɔla
zwojować,zvɔjɔvat͡ɕ
zbierał,zbjɛraw
zmiennocieplny,zmjɛnnɔt͡ɕɛplnɨ
czeczeńskiej,t͡ʂɛt͡ʂɛɲskjɛj
kozy,kɔzɨ
tysiąc,tɨɕɔnt͡s
uczciwych,ut͡ʂt͡ɕivɨx
pulsacyjnie,pulsat͡sɨjɲɛ
podróba,pɔdruba
tchnij,txɲij
kolorować,kɔlɔrɔvat͡ɕ
artyleryjski,artɨlɛrɨjski
istnieniom,istɲɛɲɔm
naprawczy,napraft͡ʂɨ
spytać,spɨtat͡ɕ
dobrom,dɔbrɔm
formułowałoby,fɔrmuwɔvawɔbɨ
asambl,asambl
smętna,smɛntna
moraniec,mɔraɲɛt͡s
zdecydowanie,zdɛt͡sɨdɔvaɲɛ
śnić,ɕɲit͡ɕ
zaabsorbował,zaapsɔrbɔvaw
stawie,stavjɛ
szczęsnych,ʂt͡ʂɛw̃snɨx
prędzej,prɛnd͡zɛj
knajpka,knajpka
kaśków,kaɕkuf
prawomocny,pravɔmɔt͡snɨ
ministerstwo,miɲistɛrstfɔ
stojan,stɔjan
dopierze,dɔpjɛʐɛ
najsmętniejszy,najsmɛntɲɛjʂɨ
długiej,dwuɡjɛj
inwalida,invalida
słodkowodny,swɔtkɔvɔdnɨ
pozycjami,pɔzɨt͡sjami
żuli,ʐuli
boliwijskiego,bɔlivijskjɛɡɔ
błotami,bwɔtami
mięcho,mjɛw̃xɔ
nośny,nɔɕnɨ
wirka,virka
polując,pɔlujɔnt͡s
gibam,ɡibam
wymacywanie,vɨmat͡sɨvaɲɛ
zasię,zaɕɛ
robiąca,rɔbjɔnt͡sa
bocianich,bɔt͡ɕaɲix
podpalać,pɔtpalat͡ɕ
braszkiewicz,braʂkjɛvit͡ʂ
bajerancko,bajɛrant͡skɔ
wiosko,vjɔskɔ
obwalenie,ɔbvalɛɲɛ
bawełniarski,bavɛwɲarski
dziewczynkach,d͡ʑɛft͡ʂɨŋkax
joanna,jɔanna
umacniać,umat͡sɲat͡ɕ
niezbity,ɲɛzbitɨ
autonomizowałam,awtɔnɔmizɔvawam
antyjądro,antɨjɔndrɔ
diastema,djastɛma
rozbijanie,rɔzbijaɲɛ
karało,karawɔ
wygami,vɨɡami
życiami,ʐɨt͡ɕami
donaszać,dɔnaʂat͡ɕ
wyrwało,vɨrvawɔ
zawieruszyć,zavjɛruʂɨt͡ɕ
śliskimi,ɕliskimi
polek,pɔlɛk
nauk,nawuk
dzwonach,d͡zvɔnax
eksplozją,ɛksplɔzjɔw̃
nogalski,nɔɡalski
kryminalisto,krɨminalistɔ
okrutne,ɔkrutnɛ
zachowaniami,zaxɔvaɲami
przeschnięcie,pʂɛsxɲɛɲt͡ɕɛ
powiedziały,pɔvjɛd͡ʑawɨ
roztoka,rɔstɔka
radiolokację,radjɔlɔkat͡sjɛ
pochodnia,pɔxɔdɲa
czeczot,t͡ʂɛt͡ʂɔt
norma,nɔrma
spolankiewicz,spɔlaŋkjɛvit͡ʂ
boleni,bɔlɛɲi
hipokryzją,xipɔkrɨzjɔw̃
maszerowałoby,maʂɛrɔvawɔbɨ
kałowi,kawɔvi
statycznie,statɨt͡ʂɲɛ
bydłoń,bɨdwɔɲ
zmieniałbym,zmjɛɲawbɨm
przestrzegaliście,pʂɛstʂɛɡaliɕt͡ɕɛ
strachliwy,straxlivɨ
doprowadzałaś,dɔprɔvad͡zawaɕ
wysyłaliby,vɨsɨwalibɨ
pastuszek,pastuʂɛk
sabotażowe,sabɔtaʐɔvɛ
meldować,mɛldɔvat͡ɕ
programowano,prɔɡramɔvanɔ
archikatedralny,arxikatɛdralnɨ
łotok,wɔtɔk
hiperon,xipɛrɔn
tułach,tuwax
odkażenie,ɔtkaʐɛɲɛ
panteisty,pantɛistɨ
kalinowska,kalinɔfska
strugami,struɡami
książąt,kɕɔw̃ʐɔnt
malino,malinɔ
myszoskoczek,mɨʂɔskɔt͡ʂɛk
czerwonak,t͡ʂɛrvɔnak
najlepszą,najlɛpʂɔw̃
czirokez,t͡ʂirɔkɛs
nęcenie,nɛnt͡sɛɲɛ
abdykacyjny,abdɨkat͡sɨjnɨ
bankiem,baŋkjɛm
detal,dɛtal
rugach,ruɡax
abonowanie,abɔnɔvaɲɛ
eliksir,ɛliksir
zagląda,zaɡlɔnda
pokazać,pɔkazat͡ɕ
przesyt,pʂɛsɨt
sardela,sardɛla
protoliza,prɔtɔliza
staczać,stat͡ʂat͡ɕ
fabiańska,fabjaɲska
skalisty,skalistɨ
drukuję,drukujɛ
andrut,andrut
kacapski,kat͡sapski
przejdźmy,pʂɛjd͡ʑmɨ
nadwerężać,nadvɛrɛw̃ʐat͡ɕ
konar,kɔnar
jęk,jɛŋk
gintrowski,ɡintrɔfski
powiecie,pɔvjɛt͡ɕɛ
mielibyśmy,mjɛlibɨɕmɨ
przyrumienić,pʂɨrumjɛɲit͡ɕ
rugi,ruɡi
antydogmatyczny,antɨdɔɡmatɨt͡ʂnɨ
aortalny,aɔrtalnɨ
ostrzytko,ɔstʂɨtkɔ
somalijskimi,sɔmalijskimi
smakując,smakujɔnt͡s
spastyczny,spastɨt͡ʂnɨ
empetrójkom,ɛmpɛtrujkɔm
obrzezanie,ɔbʐɛzaɲɛ
zasłonić,zaswɔɲit͡ɕ
gąsiorowska,ɡɔɲɕɔrɔfska
rozbój,rɔzbuj
porywczo,pɔrɨft͡ʂɔ
dwunastoletni,dvunastɔlɛtɲi
knysza,knɨʂa
zapowiedny,zapɔvjɛdnɨ
starodruk,starɔdruk
masaniec,masaɲɛt͡s
marnowanego,marnɔvanɛɡɔ
kładach,kwadax
konna,kɔnna
metalepsja,mɛtalɛpsja
jutrzejsi,jutʂɛjɕi
szalach,ʂalax
rogowski,rɔɡɔfski
listopadowy,listɔpadɔvɨ
podziwiaj,pɔd͡ʑivjaj
krytonos,krɨtɔnɔs
muzyko,muzɨkɔ
atutowy,atutɔvɨ
artykulacjo,artɨkulat͡sjɔ
balsam,balsam
łysoń,wɨsɔɲ
gruchlik,ɡruxlik
epidemiom,ɛpidɛmjɔm
auskultowanie,awskultɔvaɲɛ
splecenie,splɛt͡sɛɲɛ
inność,innɔɕt͡ɕ
biniaś,biɲaɕ
jęłaś,jɛwaɕ
białorusinko,bjawɔruɕiŋkɔ
zastanowienie,zastanɔvjɛɲɛ
garnirunek,ɡarɲirunɛk
nadrobienie,nadrɔbjɛɲɛ
półsierota,puwɕɛrɔta
niżą,ɲiʐɔw̃
wylogowałbyś,vɨlɔɡɔvawbɨɕ
słowianinem,swɔvjaɲinɛm
anarchizować,anarxizɔvat͡ɕ
agom,aɡɔm
królowanie,krulɔvaɲɛ
hardym,xardɨm
skupie,skupjɛ
widzę,vid͡zɛ
swędzić,sfɛɲd͡ʑit͡ɕ
nerom,nɛrɔm
turkmenkom,turkmɛŋkɔm
zjawi,zjavi
wąsami,vɔw̃sami
bernacka,bɛrnat͡ska
znaleziony,znalɛʑɔnɨ
holecki,xɔlɛt͡ski
ćwierćdolarówkach,t͡ɕfjɛrd͡ʑdɔlarufkax
mórz,muʂ
żydowscy,ʐɨdɔfst͡sɨ
mąci,mɔɲt͡ɕi
żydowskim,ʐɨdɔfskim
bursztynowy,burʂtɨnɔvɨ
czwórki,t͡ʂfurki
kupa,kupa
filmowało,filmɔvawɔ
mierzenie,mjɛʐɛɲɛ
banalniejszego,banalɲɛjʂɛɡɔ
antytotalitaryzm,antɨtɔtalitarɨzm
nalewam,nalɛvam
komuszyć,kɔmuʂɨt͡ɕ
zapewniają,zapɛvɲajɔw̃
jadach,jadax
najkłamliwiej,najkwamlivjɛj
aniela,aɲɛla
żądełko,ʐɔndɛwkɔ
przynieś,pʂɨɲɛɕ
dzierż,d͡ʑɛrʂ
wyprowadzałaś,vɨprɔvad͡zawaɕ
ewolucyjny,ɛvɔlut͡sɨjnɨ
znajdowałybyście,znajdɔvawɨbɨɕt͡ɕɛ
chrząknąć,xʂɔŋknɔɲt͡ɕ
oliwką,ɔlifkɔw̃
wtrysk,ftrɨsk
wyspo,vɨspɔ
marnowaną,marnɔvanɔw̃
techno,tɛxnɔ
spinach,spinax
liczyłoby,lit͡ʂɨwɔbɨ
wilżyna,vilʐɨna
spięty,spjɛntɨ
metropolia,mɛtrɔpɔlja
ładnymi,wadnɨmi
peruwiańskim,pɛruvjaɲskim
behawior,bɛxavjɔr
pokwitować,pɔkfitɔvat͡ɕ
plwocina,plfɔt͡ɕina
nygus,nɨɡus
odcień,ɔtt͡ɕɛɲ
bonifacy,bɔɲifat͡sɨ
jemiołuszki,jɛmjɔwuʂki
badają,badajɔw̃
rozbiegać,rɔzbjɛɡat͡ɕ
wyścigać,vɨɕt͡ɕiɡat͡ɕ
lałoby,lawɔbɨ
remontować,rɛmɔntɔvat͡ɕ
wiali,vjali
potrawę,pɔtravɛ
biokataliza,bjɔkataliza
nadwzroczny,nadvzrɔt͡ʂnɨ
zaufali,zawfali
rehabilitacja,rɛxabilitat͡sja
flinta,flinta
strzelałaby,stʂɛlawabɨ
kurzawa,kuʐava
radecki,radɛt͡ski
kmieciak,kmjɛt͡ɕak
wyciągnięcie,vɨt͡ɕɔŋɡɲɛɲt͡ɕɛ
pilaw,pilaf
siarką,ɕarkɔw̃
bohaterstwo,bɔxatɛrstfɔ
słyszałabym,swɨʂawabɨm
nosimy,nɔɕimɨ
karlemu,karlɛmu
gronu,ɡrɔnu
amerykanistka,amɛrɨkaɲistka
podolec,pɔdɔlɛt͡s
agrafką,aɡrafkɔw̃
policję,pɔlit͡sjɛ
zrosić,zrɔɕit͡ɕ
lustra,lustra
depenalizacja,dɛpɛnalizat͡sja
średniowieczny,ɕrɛdɲɔvjɛt͡ʂnɨ
autodydaktyczny,awtɔdɨdaktɨt͡ʂnɨ
stompel,stɔmpɛl
bezżenny,bɛzʐɛnnɨ
dostrzegalny,dɔstʂɛɡalnɨ
umięśniony,umjɛɲɕɲɔnɨ
skwarny,skfarnɨ
polujcie,pɔlujt͡ɕɛ
zniżka,zɲiʂka
uzbeckiemu,uzbɛt͡skjɛmu
niezaspokojony,ɲɛzaspɔkɔjɔnɨ
stąpanie,stɔmpaɲɛ
komarza,kɔmaʐa
winogronowy,vinɔɡrɔnɔvɨ
pąklę,pɔŋklɛ
zdzierstwo,zd͡ʑɛrstfɔ
stałość,stawɔɕt͡ɕ
stary,starɨ
zdrobnić,zdrɔbɲit͡ɕ
dobudować,dɔbudɔvat͡ɕ
gwatemalskiej,ɡvatɛmalskjɛj
audiograf,awdjɔɡraf
dwudzionek,dvud͡ʑɔnɛk
niegota,ɲɛɡɔta
średnimi,ɕrɛdɲimi
zainteresowany,zaintɛrɛsɔvanɨ
broniec,brɔɲɛt͡s
nadtlenek,nattlɛnɛk
hmm,hm̩m
wielbłądzi,vjɛlbwɔɲd͡ʑi
balia,balja
biodrowy,bjɔdrɔvɨ
okiść,ɔkiɕt͡ɕ
śliwkiewicz,ɕlifkjɛvit͡ʂ
słoniątko,swɔɲɔntkɔ
piana,pjana
poważna,pɔvaʐna
wartościach,vartɔɕt͡ɕax
entomologiczny,ɛntɔmɔlɔɡit͡ʂnɨ
pięciak,pjɛɲt͡ɕak
zengota,zɛŋɡɔta
stagnacjach,staɡnat͡sjax
przekroi,pʂɛkrɔi
postrzec,pɔstʂɛt͡s
stulecie,stulɛt͡ɕɛ
miękką,mjɛŋkɔw̃
tobiś,tɔbiɕ
prąciowy,prɔɲt͡ɕɔvɨ
nowymi,nɔvɨmi
łucja,wut͡sja
pigułę,piɡuwɛ
stereometria,stɛrɛɔmɛtrja
piorę,pjɔrɛ
obsada,ɔpsada
stołu,stɔwu
szkotkom,ʂkɔtkɔm
jacy,jat͡sɨ
niepewny,ɲɛpɛvnɨ
zwy,zvɨ
bednarka,bɛdnarka
walecznie,valɛt͡ʂɲɛ
uknuć,uknut͡ɕ
gierak,ɡjɛrak
używajcie,uʐɨvajt͡ɕɛ
zakon,zakɔn
pionierka,pjɔɲɛrka
przysięgało,pʂɨɕɛŋɡawɔ
siódmą,ɕudmɔw̃
bakterioskopia,baktɛrjɔskɔpja
patetycznie,patɛtɨt͡ʂɲɛ
utrącić,utrɔɲt͡ɕit͡ɕ
mylni,mɨlɲi
najgorliwiej,najɡɔrlivjɛj
siadajmy,ɕadajmɨ
chakasku,xakasku
małecka,mawɛt͡ska
przysłówek,pʂɨswuvɛk
przekonania,pʂɛkɔnaɲa
zastopować,zastɔpɔvat͡ɕ
barszczak,barʂt͡ʂak
koparka,kɔparka
lawo,lavɔ
przypraw,pʂɨpraf
stulatka,stulatka
kreskom,krɛskɔm
niesmak,ɲɛsmak
polakiewicz,pɔlakjɛvit͡ʂ
scenariusz,st͡sɛnarjuʂ
spieranie,spjɛraɲɛ
byłymi,bɨwɨmi
deuteron,dɛwtɛrɔn
posążek,pɔsɔw̃ʐɛk
troił,trɔiw
prodrom,prɔdrɔm
melonowy,mɛlɔnɔvɨ
stosowne,stɔsɔvnɛ
delikatnie,dɛlikatɲɛ
łasze,waʂɛ
rzyga,ʐɨɡa
ambicja,ambit͡sja
skupny,skupnɨ
aniż,aɲiʂ
oznajmić,ɔznajmit͡ɕ
telefonowałoby,tɛlɛfɔnɔvawɔbɨ
brutalny,brutalnɨ
kasa,kasa
osobisty,ɔsɔbistɨ
grej,ɡrɛj
wylęgom,vɨlɛŋɡɔm
fala,fala
utkwić,utkfit͡ɕ
nadbagaż,nadbaɡaʂ
cofano,t͡sɔfanɔ
celuloza,t͡sɛlulɔza
grzebała,ɡʐɛbawa
przodownik,pʂɔdɔvɲik
zdradzalibyście,zdrad͡zalibɨɕt͡ɕɛ
japońszczyzna,japɔɲʂt͡ʂɨzna
inwentaryzacja,invɛntarɨzat͡sja
wpatrywać,fpatrɨvat͡ɕ
dagmara,daɡmara
dialektycznie,djalɛktɨt͡ʂɲɛ
ważny,vaʐnɨ
zakompleksiony,zakɔmplɛkɕɔnɨ
szczepuch,ʂt͡ʂɛpux
podleźć,pɔdlɛɕt͡ɕ
przyzębie,pʂɨzɛmbjɛ
nieść,ɲɛɕt͡ɕ
racza,rat͡ʂa
bitonalność,bitɔnalnɔɕt͡ɕ
ukarałaś,ukarawaɕ
wyżerać,vɨʐɛrat͡ɕ
roty,rɔtɨ
wystartować,vɨstartɔvat͡ɕ
wersjo,vɛrsjɔ
dioptrię,djɔptrjɛ
przypowiadać,pʂɨpɔvjadat͡ɕ
czerpać,t͡ʂɛrpat͡ɕ
kolonialista,kɔlɔɲalista
bladych,bladɨx
waduski,vaduski
szczerbo,ʂt͡ʂɛrbɔ
odkrywajmy,ɔtkrɨvajmɨ
bezrobotne,bɛzrɔbɔtnɛ
rozmowną,rɔzmɔvnɔw̃
tor,tɔr
pierwszym,pjɛrfʂɨm
fatalny,fatalnɨ
astralistyka,astralistɨka
piekarz,pjɛkaʂ
łanią,waɲɔw̃
łóż,wuʂ
nowosiadły,nɔvɔɕadwɨ
cedrowy,t͡sɛdrɔvɨ
drukarko,drukarkɔ
pobrana,pɔbrana
czecheł,t͡ʂɛxɛw
baraniego,baraɲɛɡɔ
umocnić,umɔt͡sɲit͡ɕ
hasłami,xaswami
doryń,dɔrɨɲ
gil,ɡil
aczej,at͡ʂɛj
prepozyt,prɛpɔzɨt
masochistami,masɔxistami
kinderbal,kindɛrbal
dziabnąć,d͡ʑabnɔɲt͡ɕ
kieruję,kjɛrujɛ
irlandzkie,irlant͡skjɛ
poprzednim,pɔpʂɛdɲim
domen,dɔmɛn
śmignąć,ɕmiɡnɔɲt͡ɕ
północna,puwnɔt͡sna
publikujący,publikujɔnt͡sɨ
wyjmowałybyście,vɨjmɔvawɨbɨɕt͡ɕɛ
wegetarianin,vɛɡɛtarjaɲin
marchewkach,marxɛfkax
bandurka,bandurka
udomowiać,udɔmɔvjat͡ɕ
achalazja,axalazja
korsykańskiemu,kɔrsɨkaɲskjɛmu
koptyjską,kɔptɨjskɔw̃
bryndza,brɨnd͡za
podkreśleniem,pɔtkrɛɕlɛɲɛm
chałaczkiewicz,xawat͡ʂkjɛvit͡ʂ
wdowczak,vdɔft͡ʂak
niebieskawa,ɲɛbjɛskava
sobas,sɔbas
szeliga,ʂɛliɡa
mleczko,mlɛt͡ʂkɔ
zastosowywać,zastɔsɔvɨvat͡ɕ
bobrzego,bɔbʐɛɡɔ
podkradać,pɔtkradat͡ɕ
opowiada,ɔpɔvjada
antyradar,antɨradar
tokoferol,tɔkɔfɛrɔl
maczaj,mat͡ʂaj
pozyskać,pɔzɨskat͡ɕ
jarosławski,jarɔswafski
administracjach,admiɲistrat͡sjax
podeszły,pɔdɛʂwɨ
obłożenie,ɔbwɔʐɛɲɛ
kontrolowałoby,kɔntrɔlɔvawɔbɨ
jazem,jazɛm
człowiek,t͡ʂɫɔvjɛk
dostrzegałaby,dɔstʂɛɡawabɨ
archiwizacyjnej,arxivizat͡sɨjnɛj
bezzapachowy,bɛzzapaxɔvɨ
sakralny,sakralnɨ
królica,krulit͡sa
sieradzka,ɕɛrat͡ska
rewolwerowy,rɛvɔlvɛrɔvɨ
wielbłądziego,vjɛlbwɔɲd͡ʑɛɡɔ
pieriestrojka,pjɛrjɛstrɔjka
nalewasz,nalɛvaʂ
tunezyjskiej,tunɛzɨjskjɛj
wyczuwalny,vɨt͡ʂuvalnɨ
robotę,rɔbɔtɛ
jakiej,jakjɛj
zabierałoby,zabjɛrawɔbɨ
dorwę,dɔrvɛ
powszechniejszy,pɔfʂɛxɲɛjʂɨ
astenopia,astɛnɔpja
podkreślałbyś,pɔtkrɛɕlawbɨɕ
dzwonię,d͡zvɔɲɛ
pokarmić,pɔkarmit͡ɕ
chwilowy,xfilɔvɨ
pilnowałem,pilnɔvawɛm
iskrzak,iskʂak
zero,zɛrɔ
obciążałby,ɔpt͡ɕɔw̃ʐawbɨ
sieć,ɕɛt͡ɕ
nieprawidłowy,ɲɛpravidwɔvɨ
ociężałość,ɔt͡ɕɛw̃ʐawɔɕt͡ɕ
wpływa,fpwɨva
igle,iɡlɛ
abiogenezo,abjɔɡɛnɛzɔ
michałowska,mixawɔfska
komentowałaś,kɔmɛntɔvawaɕ
goliat,ɡɔljat
sabotującą,sabɔtujɔnt͡sɔw̃
wymawianie,vɨmavjaɲɛ
sajgon,sajɡɔn
ziółek,ʑuwɛk
marło,marwɔ
matami,matami
obniżać,ɔbɲiʐat͡ɕ
uczeń,ut͡ʂɛɲ
prolog,prɔlɔk
gwatemalscy,ɡvatɛmalst͡sɨ
pętle,pɛntlɛ
karmią,karmjɔw̃
zzuć,zzut͡ɕ
wyrastanie,vɨrastaɲɛ
teren,tɛrɛn
legnica,lɛɡɲit͡sa
słowacką,swɔvat͡skɔw̃
łka,wka
rzeczowo,ʐɛt͡ʂɔvɔ
ślijcie,ɕlijt͡ɕɛ
chana,xana
masior,maɕɔr
szeja,ʂɛja
handryczyć,xandrɨt͡ʂɨt͡ɕ
vlogerka,vlɔɡɛrka
węglik,vɛŋɡlik
snach,snax
ułomny,uwɔmnɨ
lęgu,lɛŋɡu
bezcen,bɛst͡sɛn
piersiodziobe,pjɛrɕɔd͡ʑɔbɛ
słabnąć,swabnɔɲt͡ɕ
dobycie,dɔbɨt͡ɕɛ
niejednolity,ɲɛjɛdnɔlitɨ
mokradło,mɔkradwɔ
zabierający,zabjɛrajɔnt͡sɨ
wschodniosłowiański,fsxɔdɲɔswɔvjaɲski
