くろかみ,kɯ̟ᵝɾo̞ka̠mʲi
けんさくよけ,kẽ̞ɰ̃sa̠kɯ̟ᵝjo̞ke̞
かんらん,kã̠nɾã̠ɴ
きょしょく,kʲo̞ɕo̞kɯ̟ᵝ
し,ɕi
しぶとい,ɕibɯ̟ᵝto̞i
けつれつ,ke̞t͡sɨᵝɾe̞t͡sɨᵝ
いせき,ise̞kʲi
いかた,ika̠ta̠
しぜんちょう,ɕizẽ̞ɲ̟t͡ɕo̞ː
かくてい,ka̠kɯ̟̊ᵝte̞ː
じょうり,d͡ʑo̞ːɾʲi
しゅせんど,ɕɨᵝsẽ̞ndo̞
えんげき,ẽ̞ŋɡe̞kʲi
いにしえ,iɲ̟iɕie̞
おう,o̞ː
おとひめ,o̞to̞çime̞
おおばやし,o̞ːba̠ja̠ɕi
かいそう,ka̠iso̞ː
おもてむき,o̞mo̞te̞mɯ̟ᵝkʲi
うれい,ɯ̟ᵝɾe̞i
あみだな,a̠mʲida̠na̠
ジグ,d͡ʑiɡɯ̟ᵝ
あいこくしん,a̠iko̞kɯ̟ᵝɕĩɴ
じゅうにめんたい,d͡ʑɨᵝːɲ̟imẽ̞nta̠i
うぶごえ,ɯ̟ᵝbɯ̟ᵝɡo̞e̞
かし,ka̠ɕi
けいた,ke̞ːta̠
がいかい,ɡa̠ika̠i
うきぶくろ,ɯ̟ᵝkʲibɯ̟ᵝkɯ̟ᵝɾo̞
おんさ,õ̞ɰ̃sa̠
かもねぎ,ka̠mo̞ne̞ɡʲi
うつる,ɯ̟ᵝt͡sɨᵝɾɯ̟ᵝ
おわり,o̞ɰᵝa̠ɾʲi
けんどう,kẽ̞ndo̞ː
けんこうしんだん,kẽ̞ŋko̞ːɕĩndã̠ɴ
がっこ,ɡa̠k̚ko̞
いみろん,imʲiɾõ̞ɴ
かじょう,ka̠ʑo̞ː
さかえる,sa̠ka̠e̞ɾɯ̟ᵝ
きょしゅ,kʲo̞ɕɨᵝ
じょこう,d͡ʑo̞ko̞ː
おどす,o̞do̞sɨᵝ
じんぶつ,d͡ʑĩmbɯ̟ᵝt͡sɨᵝ
きこり,kʲiko̞ɾʲi
きふ,kʲiɸɯ̟ᵝ
おおさわぎ,o̞ːsa̠ɰᵝa̠ɡʲi
けいひん,ke̞ːçĩɴ
くる,kɯ̟ᵝɾɯ̟ᵝ
ききのがす,kʲikʲino̞ɡa̠sɨᵝ
えんちゃく,ẽ̞ɲ̟t͡ɕa̠kɯ̟ᵝ
あかつき,a̠ka̠t͡sɨ̥ᵝkʲi
じちん,d͡ʑit͡ɕĩɴ
かこう,ka̠ko̞ɯ̟ᵝ
ぎくんし,ɡʲikɯ̟̃ᵝɰ̃ɕi
しゅこう,ɕɨᵝko̞ː
しっぷ,ɕip̚pɯ̟ᵝ
しんだいしゃ,ɕĩnda̠iɕa̠
くちだか,kɯ̟ᵝt͡ɕida̠ka̠
じゅうみんひょう,d͡ʑɨᵝːmʲĩɰ̃ço̞ː
かずくに,ka̠zɨᵝkɯ̟ᵝɲ̟i
あなん,a̠nã̠ɴ
あかはい,a̠ka̠ha̠i
しょうそ,ɕo̞ːso̞
かごう,ka̠ɡo̞ː
あらわざ,a̠ɾa̠ɰᵝa̠za̠
がいかく,ɡa̠ika̠kɯ̟ᵝ
くいぜ,kɯ̟ᵝize̞
ガザ,ɡa̠za̠
じょさいない,d͡ʑo̞sa̠ina̠i
きゅうかくど,kʲɨᵝːka̠kɯ̟ᵝdo̞
しょうかい,ɕo̞ːka̠i
かごうぶつ,ka̠ɡo̞ːbɯ̟ᵝt͡sɨᵝ
こん,kõ̞ɴ
おめめ,o̞me̞me̞
きゃくしつ,kʲa̠kɯ̟ᵝɕi̥t͡sɨᵝ
おとこがお,o̞to̞ko̞ɡa̠o̞
こがねいろ,ko̞ɡa̠ne̞iɾo̞
がくりょう,ɡa̠kɯ̟ᵝɾʲo̞ː
けいちょう,ke̞ːt͡ɕo̞ː
こんいつ,kõ̞ɰ̃it͡sɨᵝ
かえる,ka̠e̞ɾɯ̟ᵝ
しずおか,ɕizɨᵝo̞ka̠
おびえる,o̞bʲie̞ɾɯ̟ᵝ
えっとう,e̞t̚to̞ː
く,kɯ̟ᵝ
あらかた,a̠ɾa̠ka̠ta̠
くずかご,kɯ̟ᵝzɨᵝka̠ɡo̞
おり,o̞ɾʲi
さぞや,sa̠zo̞ja̠
かなくず,ka̠na̠kɯ̟ᵝzɨᵝ
けいにく,ke̞ːɲ̟ikɯ̟ᵝ
こうち,ko̞ːt͡ɕi
くけい,kɯ̟ᵝke̞ː
さいせき,sa̠ise̞kʲi
いない,ina̠i
かげぼうし,ka̠ɡe̞bo̞ːɕi
こうこう,ko̞ːko̞ː
しかえし,ɕika̠e̞ɕi
おちど,o̞t͡ɕido̞
ぼん,bõ̞ɴ
いやらしい,ija̠ɾa̠ɕiː
かくど,ka̠kɯ̟ᵝdo̞
おなががも,o̞na̠ɡa̠ɡa̠mo̞
しゅげい,ɕɨᵝɡe̞ː
ヰ,ɰᵝi
きえはてる,kʲie̞ha̠te̞ɾɯ̟ᵝ
かいこ,ka̠iko̞
しゅんげん,ɕɨ̃ᵝŋɡẽ̞ɴ
くちく,kɯ̟̊ᵝt͡ɕikɯ̟ᵝ
はさみ,ha̠sa̠mʲi
えい,e̞ː
かいらいし,ka̠iɾa̠iɕi
かんそう,kã̠ɰ̃so̞ː
しょくぼう,ɕo̞kɯ̟ᵝbo̞ː
かいてん,ka̠itẽ̞ɴ
しまざい,ɕima̠za̠i
しげもん,ɕiɡe̞mõ̞ɴ
ぎろん,ɡʲiɾõ̞ɴ
けいか,ke̞ːka̠
しんしゃ,ɕĩɰ̃ɕa̠
えんじ,ẽ̞ɲ̟d͡ʑi
こいわずらい,ko̞iɰᵝa̠zɨᵝɾa̠i
こうち,ko̞ːt͡ɕi
けいじ,ke̞ːʑi
ぜんさい,d͡zẽ̞ɰ̃sa̠i
おいたち,o̞ita̠t͡ɕi
ヴォ,vo̞
きゅうやく,kʲɨᵝːja̠kɯ̟ᵝ
くじける,kɯ̟ᵝʑike̞ɾɯ̟ᵝ
あらた,a̠ɾa̠ta̠
さんじょう,sã̠ɲ̟d͡ʑo̞ː
いんじゃ,ĩɲ̟d͡ʑa̠
いっそう,isːo̞ː
さんげき,sã̠ŋɡe̞kʲi
こうぶんしょかん,ko̞ːbɯ̟̃ᵝɰ̃ɕo̞kã̠ɴ
かんぽう,kã̠mpo̞ː
ごはん,ɡo̞hã̠ɴ
じし,d͡ʑiɕi
げんじゅつ,ɡẽ̞ɲ̟d͡ʑɨᵝt͡sɨᵝ
ざんか,d͡zã̠ŋka̠
いっきうち,ik̚ʲkʲiɯ̟ᵝt͡ɕi
ししおどし,ɕiɕiodoɕi
ありがと,a̠ɾʲiɡa̠to̞
じ,d͡ʑi
あくしゅう,a̠kɯ̟̊ᵝɕɨᵝː
いわほり,iɰᵝa̠ho̞ɾʲi
しくはっく,ɕikɯ̟ᵝha̠k̚kɯ̟ᵝ
しょうねんあいしこう,ɕo̞ːnẽ̞ɰ̃a̠iɕiko̞ː
おろす,o̞ɾo̞sɨᵝ
げいか,ɡe̞ːka̠
こゆき,ko̞jɯ̟ᵝkʲi
ぎきょう,ɡʲikʲo̞ː
しょて,ɕo̞te̞
しゅうたい,ɕɨᵝːta̠i
くりつ,kɯ̟ᵝɾʲit͡sɨᵝ
こんしょく,kõ̞ɰ̃ɕo̞kɯ̟ᵝ
かけす,ka̠ke̞sɨᵝ
かずおおい,ka̠zɨᵝo̞ːi
くぎる,kɯ̟ᵝɡʲiɾɯ̟ᵝ
さいかい,sa̠ika̠i
しせん,ɕisẽ̞ɴ
がっきゅう,ɡa̠k̚ʲkʲɨᵝː
きくん,kʲikɯ̟̃ᵝɴ
ごがん,ɡo̞ɡã̠ɴ
しゅうきょう,ɕɨᵝːkʲo̞ː
きょうねん,kʲo̞ːnẽ̞ɴ
しようにん,ɕijo̞ːɲ̟ĩɴ
おうど,o̞ːdo̞
きずぐち,kʲizɨᵝɡɯ̟ᵝt͡ɕi
おんびん,õ̞mbʲĩɴ
かんすい,kã̠ɰ̃sɨᵝi
おくう,o̞kɯ̟ᵝɯ̟ᵝ
かいこうしゃ,ka̠iko̞ːɕa̠
いつ,it͡sɨᵝ
おばさん,o̞ba̠sã̠ɴ
じどり,d͡ʑido̞ɾʲi
たわむれる,ta̠ɰᵝa̠mɯ̟ᵝɾe̞ɾɯ̟ᵝ
きせい,kʲise̞ː
いくらか,ikɯ̟ᵝɾa̠ka̠
しまぐに,ɕima̠ɡɯ̟ᵝɲ̟i
こうじょう,ko̞ːʑo̞ː
こまります,ko̞ma̠ɾʲima̠sɨᵝ
えんちょう,ẽ̞ɲ̟t͡ɕo̞ː
けっしょう,ke̞ɕːo̞ː
いちじてき,it͡ɕiʑite̞kʲi
こうでん,ko̞ːdẽ̞ɴ
しょうふだ,ɕo̞ːɸɯ̟ᵝda̠
かんとう,kã̠nto̞ː
こくみん,ko̞kɯ̟ᵝmʲĩɴ
じみんとう,d͡ʑimʲĩnto̞ː
えきしゃ,e̞kʲiɕa̠
ぎぐん,ɡʲiɡɯ̟̃ᵝɴ
しょうがつぶとり,ɕo̞ːɡa̠t͡sɨᵝbɯ̟ᵝto̞ɾʲi
けいさく,ke̞ːsa̠kɯ̟ᵝ
さんようちゅう,sã̠ɰ̃jo̞ːt͡ɕɨᵝː
ざっそう,d͡za̠sːo̞ː
しょうふ,ɕo̞ːɸɯ̟ᵝ
さんがく,sã̠ŋɡa̠kɯ̟ᵝ
じんいてき,d͡ʑĩɰ̃ite̞kʲi
ことごとく,ko̞to̞ɡo̞to̞kɯ̟ᵝ
しゃじ,ɕa̠ʑi
かいそう,ka̠iso̞ː
しょうせつ,ɕo̞ːse̞t͡sɨᵝ
いえもち,ie̞mo̞t͡ɕi
くんしゅこく,kɯ̟̃ᵝɰ̃ɕɨ̥ᵝko̞kɯ̟ᵝ
あうん,a̠ɯ̟̃ᵝɴ
けつらく,ke̞t͡sɨᵝɾa̠kɯ̟ᵝ
いざかや,iza̠ka̠ja̠
あけみ,a̠ke̞mʲi
おうだん,o̞ːdã̠ɴ
あんていざい,ã̠nte̞ːza̠i
いんしょくてん,ĩɰ̃ɕo̞kɯ̟ᵝtẽ̞ɴ
けちらす,ke̞t͡ɕiɾa̠sɨᵝ
ぐたいか,ɡɯ̟ᵝta̠ika̠
かんち,kã̠ɲ̟t͡ɕi
うまから,ɯ̟ᵝma̠ka̠ɾa̠
おおむね,o̞ːmɯ̟ᵝne̞
ざら,d͡za̠ɾa̠
こうかん,ko̞ːkã̠ɴ
おっとっと,o̞t̚to̞t̚to̞
かちぼし,ka̠t͡ɕibo̞ɕi
こうせい,ko̞ːse̞ː
じょうい,d͡ʑo̞ːi
かさねぎ,ka̠sa̠ne̞ɡʲi
しんせい,ɕĩɰ̃se̞ː
ほり,ho̞ɾʲi
きのう,kʲino̞ː
ざるほう,d͡za̠ɾɯ̟ᵝho̞ː
かぜとおし,ka̠ze̞to̞ːɕi
かげき,ka̠ɡe̞kʲi
いやしむ,ija̠ɕimɯ̟ᵝ
おおかみにんげん,o̞ːka̠mʲiɲ̟ĩŋɡẽ̞ɴ
いん,ĩɴ
さいぼうかく,sa̠ibo̞ːka̠kɯ̟ᵝ
きえる,kʲie̞ɾɯ̟ᵝ
おんいてんかん,õ̞ɰ̃itẽ̞ŋkã̠ɴ
きょうわ,kʲo̞ːɰᵝa̠
じゅう,d͡ʑɨᵝː
きじょうろん,kʲiʑo̞ːɾõ̞ɴ
こんたん,kõ̞ntã̠ɴ
じじゅう,d͡ʑiʑɨᵝː
ぎきょうだい,ɡʲikʲo̞ːda̠i
さんちょう,sã̠ɲ̟t͡ɕo̞ː
きゅうせかい,kʲɨᵝːse̞ka̠i
うえき,ɯ̟ᵝe̞kʲi
かきなぐる,ka̠kʲina̠ɡɯ̟ᵝɾɯ̟ᵝ
くうきょ,kɯ̟ᵝːkʲo̞
しりょう,ɕiɾʲo̞ː
こころざす,ko̞ko̞ɾo̞za̠sɨᵝ
あぶらぎる,a̠bɯ̟ᵝɾa̠ɡʲiɾɯ̟ᵝ
かいき,ka̠ikʲi
こっけい,ko̞k̚ke̞ː
ざいむしょう,d͡za̠imɯ̟ᵝɕo̞ː
しんちょう,ɕĩɲ̟t͡ɕo̞ː
ぎんこうけん,ɡʲĩŋko̞ːkẽ̞ɴ
いくにゅう,ikɯ̟ᵝɲ̟ɯ̟ᵝː
ぐうじん,ɡɯ̟ᵝːʑĩɴ
かん,kã̠ɴ
えがお,e̞ɡa̠o̞
おもいえがく,o̞mo̞ie̞ɡa̠kɯ̟ᵝ
かん,kã̠ɴ
かくのうこ,ka̠kɯ̟ᵝno̞ːko̞
かわる,ka̠ɰᵝa̠ɾɯ̟ᵝ
さんかい,sã̠ŋka̠i
こり,ko̞ɾʲi
きずつける,kʲizɨᵝt͡sɨ̥ᵝke̞ɾɯ̟ᵝ
ごいん,ɡo̞ĩɴ
くせげ,kɯ̟ᵝse̞ɡe̞
うんち,ɯ̟̃ᵝɲ̟t͡ɕi
かじき,ka̠ʑikʲi
しょどう,ɕo̞do̞ː
じゅっかい,d͡ʑɨᵝk̚ka̠i
ざせき,d͡za̠se̞kʲi
かびん,ka̠bʲĩɴ
いたみどめ,ita̠mʲido̞me̞
きんいん,kʲĩɰ̃ĩɴ
かいしょう,ka̠iɕo̞ː
うまや,ɯ̟ᵝma̠ja̠
しんけん,ɕĩŋkẽ̞ɴ
あまもり,a̠ma̠mo̞ɾʲi
あたためる,a̠ta̠ta̠me̞ɾɯ̟ᵝ
あきかん,a̠kʲikã̠ɴ
うつす,ɯ̟ᵝt͡sɨ̥ᵝsɨᵝ
おおすずめばち,o̞ːsɨᵝzɨᵝme̞ba̠t͡ɕi
ぐんば,ɡɯ̟̃ᵝmba̠
いんこ,ĩŋko̞
しきものるい,ɕikʲimo̞no̞ɾɯ̟ᵝi
しか,ɕi̥ka̠
じれったい,d͡ʑiɾe̞t̚ta̠i
あじきない,a̠ʑikʲina̠i
さいへん,sa̠ihẽ̞ɴ
ぐんぜい,ɡɯ̟̃ᵝnd͡ze̞ː
えんビ,ẽ̞mbʲi
こいけ,ko̞ike̞
くうきかん,kɯ̟ᵝːkʲikã̠ɴ
かさむ,ka̠sa̠mɯ̟ᵝ
じゅ,d͡ʑɨᵝ
こうきゅう,ko̞ːkʲɨᵝː
うらなう,ɯ̟ᵝɾa̠na̠ɯ̟ᵝ
たんのう,tã̠nːo̞ː
ぎゅんと,ɡʲɨ̃ᵝnto̞
こうき,ko̞ːkʲi
いっかく,ik̚ka̠kɯ̟ᵝ
くい,kɯ̟ᵝi
かくけい,ka̠kɯ̟ᵝke̞ː
しりあう,ɕiɾʲia̠ɯ̟ᵝ
あいらく,a̠iɾa̠kɯ̟ᵝ
きんじとう,kʲĩɲ̟d͡ʑito̞ː
かいせつ,ka̠ise̞t͡sɨᵝ
しゅうせいあん,ɕɨᵝːse̞ːã̠ɴ
げんページ,ɡẽ̞mpe̞ːʑi
つえ,t͡sɨᵝe̞
めす,me̞sɨᵝ
しばい,ɕiba̠i
きゅうくつ,kʲɨᵝːkɯ̟ᵝt͡sɨᵝ
おんやく,õ̞ɰ̃ja̠kɯ̟ᵝ
いっかつばらい,ik̚ka̠t͡sɨᵝba̠ɾa̠i
こっくん,ko̞k̚kɯ̟̃ᵝɴ
ししょう,ɕiɕo̞ː
ぎいん,ɡʲiĩɴ
けいき,ke̞ːkʲi
あらがう,a̠ɾa̠ɡa̠ɯ̟ᵝ
げんぱつ,ɡẽ̞mpa̠t͡sɨᵝ
かしぐ,ka̠ɕiɡɯ̟ᵝ
こころもち,ko̞ko̞ɾo̞mo̞t͡ɕi
えんきん,ẽ̞ŋʲkʲĩɴ
こまがく,ko̞ma̠ɡa̠kɯ̟ᵝ
くそがき,kɯ̟ᵝso̞ɡa̠kʲi
けいかいかん,ke̞ːka̠ikã̠ɴ
あすかじだい,a̠sɨᵝka̠ʑida̠i
ばち,ba̠t͡ɕi
きんむいん,kʲĩmːɯ̟ᵝĩɴ
じき,d͡ʑikʲi
しんねん,ɕĩnːẽ̞ɴ
かじき,ka̠ʑikʲi
いかすい,ika̠sɨᵝi
じぎょうけいかく,d͡ʑiɡʲo̞ːke̞ːka̠kɯ̟ᵝ
ごきょう,ɡo̞kʲo̞ː
かた,ka̠ta̠
しゃくとりむし,ɕa̠kɯ̟ᵝto̞ɾʲimɯ̟ᵝɕi
じしょ,d͡ʑiɕo̞
しつぎょうりつ,ɕi̥t͡sɨᵝɡʲo̞ːɾʲit͡sɨᵝ
きょうき,kʲo̞ːkʲi
からす,ka̠ɾa̠sɨᵝ
うつりかわる,ɯ̟ᵝt͡sɨᵝɾʲika̠ɰᵝa̠ɾɯ̟ᵝ
じょうこう,d͡ʑo̞ːko̞ː
えんまく,ẽ̞mːa̠kɯ̟ᵝ
しっけ,ɕik̚ke̞
かんこどり,kã̠ŋko̞do̞ɾʲi
ギャバ,ɡʲa̠ba̠
あたまごなし,a̠ta̠ma̠ɡo̞na̠ɕi
くりそつ,kɯ̟ᵝɾʲiso̞t͡sɨᵝ
しょうさん,ɕo̞ːsã̠ɴ
あばれる,a̠ba̠ɾe̞ɾɯ̟ᵝ
こうけい,ko̞ːke̞ː
おくふかい,o̞kɯ̟ᵝɸɯ̟̊ᵝka̠i
がく,ɡa̠kɯ̟ᵝ
かたなかじ,ka̠ta̠na̠ka̠ʑi
かんこく,kã̠ŋko̞kɯ̟ᵝ
しゃこ,ɕa̠ko̞
きょうきん,kʲo̞ːkʲĩɴ
おちゃらける,o̞t͡ɕa̠ɾa̠ke̞ɾɯ̟ᵝ
じぞく,d͡ʑizo̞kɯ̟ᵝ
じこちゅう,d͡ʑiko̞t͡ɕɨᵝː
きょうい,kʲo̞ːi
はくちょう,ha̠kɯ̟̊ᵝt͡ɕo̞ː
こみあげる,ko̞mʲia̠ɡe̞ɾɯ̟ᵝ
しょくりょう,ɕo̞kɯ̟ᵝɾʲo̞ː
おめでとう,o̞me̞de̞to̞ː
じゅどう,d͡ʑɨᵝdo̞ː
か,ka̠
あからがお,a̠ka̠ɾa̠ɡa̠o̞
おしつけがましい,o̞ɕit͡sɨᵝke̞ɡa̠ma̠ɕiː
かこく,ka̠ko̞kɯ̟ᵝ
うげつ,ɯ̟ᵝɡe̞t͡sɨᵝ
いっか,ik̚ka̠
さとす,sa̠to̞sɨᵝ
あったかい,a̠t̚ta̠ka̠i
かけあし,ka̠ke̞a̠ɕi
さくちょう,sa̠kɯ̟ᵝt͡ɕo̞ː
あてにげ,a̠te̞ɲ̟iɡe̞
うき,ɯ̟ᵝkʲi
おおい,o̞ːi
きとう,kʲito̞ː
こすれる,ko̞sɨᵝɾe̞ɾɯ̟ᵝ
しさつおん,ɕisa̠t͡sɨᵝõ̞ɴ
うれぴい,ɯ̟ᵝɾe̞pʲiː
さぬ,sa̠nɯ̟ᵝ
ききとる,kʲi̥kʲito̞ɾɯ̟ᵝ
しんどう,ɕĩndo̞ː
こがん,ko̞ɡã̠ɴ
じしゃ,d͡ʑiɕa̠
しゃくよう,ɕa̠kɯ̟ᵝjo̞ː
しんかん,ɕĩŋkã̠ɴ
こむずかしい,ko̞mɯ̟ᵝzɨᵝka̠ɕiː
ゆきわたる,jɯ̟ᵝkʲiɰᵝa̠ta̠ɾɯ̟ᵝ
したて,ɕita̠te̞
こころづかい,ko̞ko̞ɾo̞zɨᵝka̠i
ごしき,ɡo̞ɕikʲi
ごじ,ɡo̞ʑi
かいつまむ,ka̠it͡sɨᵝma̠mɯ̟ᵝ
しょくめい,ɕo̞kɯ̟ᵝme̞ː
きっちょう,kʲi̥t̚t͡ɕo̞ː
あぼーん,a̠bõ̞ːɴ
いぎょう,iɡʲo̞ː
かいじょう,ka̠iʑo̞ː
けいかく,ke̞ːka̠kɯ̟ᵝ
しひとめ,ɕɨᵝːto̞me̞
じょうかい,d͡ʑo̞ːka̠i
しげゆき,ɕiɡe̞jɯ̟ᵝkʲi
かんじょうせん,kã̠ɲ̟d͡ʑo̞ːsẽ̞ɴ
あさと,a̠sa̠to̞
いんれつ,ĩnɾe̞t͡sɨᵝ
しょうめつ,ɕo̞ːme̞t͡sɨᵝ
こうさい,ko̞ːsa̠i
けいはんしん,ke̞ːhã̠ɰ̃ɕĩɴ
かみしま,ka̠mʲiɕima̠
こうちけん,ko̞ːt͡ɕikẽ̞ɴ
ほのお,ho̞no̞ː
けっせい,ke̞sːe̞ː
くびねっこ,kɯ̟ᵝbʲine̞k̚ko̞
あえぐ,a̠e̞ɡɯ̟ᵝ
かこけい,ka̠ko̞ke̞ː
くに,kɯ̟ᵝɲ̟i
しんがい,ɕĩŋɡa̠i
いろっぽい,iɾo̞p̚po̞i
かいぎょう,ka̠iɡʲo̞ː
けいき,ke̞ːkʲi
おうだんほどう,o̞ːdã̠ɰ̃ho̞do̞ː
いきわかれる,ikʲiɰᵝa̠ka̠ɾe̞ɾɯ̟ᵝ
かんこうぶつ,kã̠ŋko̞ːbɯ̟ᵝt͡sɨᵝ
くびつり,kɯ̟ᵝbʲit͡sɨᵝɾʲi
おうしゅう,o̞ːɕɨᵝː
さった,sa̠t̚ta̠
きまずい,kʲima̠zɨᵝi
くみいん,kɯ̟ᵝmʲiĩɴ
にゅうろう,ɲ̟ɯ̟ᵝːɾo̞ː
ういじん,ɯ̟ᵝiʑĩɴ
いっしゅう,iɕːɯ̟ᵝː
おかまい,o̞ka̠ma̠i
こうぎ,ko̞ːɡʲi
ぎゃくすう,ɡʲa̠kɯ̟ᵝsɨᵝː
くつちかき,kɯ̟ᵝt͡sɨᵝt͡ɕika̠kʲi
かんさ,kã̠ɰ̃sa̠
じっと,d͡ʑit̚to̞
しんにゅう,ɕĩɲ̟ɲ̟ɯ̟ᵝː
こうしゅう,ko̞ːɕɨᵝː
かたはば,ka̠ta̠ha̠ba̠
ぐんぷく,ɡɯ̟̃ᵝmpɯ̟ᵝkɯ̟ᵝ
おとなしい,o̞to̞na̠ɕiː
すりきず,sɨᵝɾʲikʲizɨᵝ
けいかい,ke̞ːka̠i
しれつ,ɕiɾe̞t͡sɨᵝ
じっそく,d͡ʑisːo̞kɯ̟ᵝ
かんぬし,kã̠nːɯ̟ᵝɕi
じんずう,d͡ʑĩnd͡zɨᵝː
あんぽんたん,ã̠mpõ̞ntã̠ɴ
しにょう,ɕiɲ̟o̞ː
あいよ,a̠ijo̞
しょくしつ,ɕo̞kɯ̟ᵝɕit͡sɨᵝ
ぐうげん,ɡɯ̟ᵝːɡẽ̞ɴ
おきて,o̞kʲite̞
うらやましい,ɯ̟ᵝɾa̠ja̠ma̠ɕii
じゅうあつ,d͡ʑɨᵝːa̠t͡sɨᵝ
かがくりょうろん,ka̠ɡa̠kɯ̟ᵝɾʲo̞ːɾõ̞ɴ
さいせんばこ,sa̠isẽ̞mba̠ko̞
かいび,ka̠ibʲi
かざむき,ka̠za̠mɯ̟ᵝkʲi
しゃさい,ɕa̠sa̠i
こんき,kõ̞ŋʲkʲi
しか,ɕika̠
いんぼうだん,ĩmbo̞ːdã̠ɴ
げんきょう,ɡẽ̞ŋʲkʲo̞ː
ぎんえん,ɡʲĩɰ̃ẽ̞ɴ
しらみ,ɕiɾa̠mʲi
かわ,ka̠ɰᵝa̠
しょせいじゅつ,ɕo̞se̞ːʑɨᵝt͡sɨᵝ
あとあじ,a̠to̞a̠ʑi
けんきゅういん,kẽ̞ŋʲkʲɨᵝːĩɴ
かける,ka̠ke̞ɾɯ̟ᵝ
けいりゅう,ke̞ːɾʲɨᵝː
かねまわり,ka̠ne̞ma̠ɰᵝa̠ɾʲi
かいそう,ka̠iso̞ː
こうかおん,ko̞ːka̠õ̞ɴ
うまごみ,ɯ̟ᵝma̠ɡo̞mʲi
かわく,ka̠ɰᵝa̠kɯ̟ᵝ
きょうはんしゃ,kʲo̞ːhã̠ɰ̃ɕa̠
かわり,ka̠ɰᵝa̠ɾʲi
いぶかしむ,ibɯ̟ᵝka̠ɕimɯ̟ᵝ
かぎょう,ka̠ɡʲo̞ː
おえ,o̞e̞
あか,a̠ka̠
かろうじて,ka̠ɾo̞ːʑite̞
かつどうてき,ka̠t͡sɨᵝdo̞ːte̞kʲi
うけとる,ɯ̟ᵝke̞to̞ɾɯ̟ᵝ
こいびと,ko̞ibʲito̞
あかげ,a̠ka̠ɡe̞
こうげい,ko̞ːɡe̞ː
けん,kẽ̞ɴ
おおらか,o̞ːɾa̠ka̠
かさ,ka̠sa̠
かたく,ka̠ta̠kɯ̟ᵝ
いかす,ika̠sɨᵝ
かさぶた,ka̠sa̠bɯ̟ᵝta̠
けいりゃく,ke̞ːɾʲa̠kɯ̟ᵝ
しずおかけん,ɕizɨᵝo̞ka̠kẽ̞ɴ
あつか,a̠t͡sɨᵝka̠
うらわざ,ɯ̟ᵝɾa̠ɰᵝa̠za̠
じんじょう,d͡ʑĩɲ̟d͡ʑo̞ː
きぐつ,kʲiɡɯ̟ᵝt͡sɨᵝ
かん,kã̠ɴ
しょほう,ɕo̞ho̞ː
こうない,ko̞ːna̠i
いんがおうほう,ĩŋɡa̠o̞ːho̞ː
かいせき,ka̠ise̞kʲi
しゅう,ɕɨᵝː
かし,ka̠ɕi
こそばす,ko̞so̞ba̠sɨᵝ
かんち,kã̠ɲ̟t͡ɕi
さんぽう,sã̠mpo̞ː
あさがすみ,a̠sa̠ɡa̠sɨᵝmʲi
いんぼ,ĩmbo̞
からめる,ka̠ɾa̠me̞ɾɯ̟ᵝ
かわら,ka̠ɰᵝa̠ɾa̠
じっせいかつ,d͡ʑisːe̞ːka̠t͡sɨᵝ
しゅじゅつ,ɕɨᵝʑɨᵝt͡sɨᵝ
こえがわり,ko̞e̞ɡa̠ɰᵝa̠ɾʲi
かみしつ,ka̠mʲiɕit͡sɨᵝ
きゅうご,kʲɨᵝːɡo̞
じぎょうか,d͡ʑiɡʲo̞ːka̠
しょうぼう,ɕo̞ːbo̞ː
こうしきせん,ko̞ːɕikʲisẽ̞ɴ
がい,ɡa̠i
あけぼの,a̠ke̞bo̞no̞
いいえ,iːe̞
くし,kɯ̟ᵝɕi
いち,it͡ɕi
あらそい,a̠ɾa̠so̞i
じゅうさんり,d͡ʑɨᵝːsã̠nɾʲi
さんすい,sã̠ɰ̃sɨᵝi
ごじょう,ɡo̞ʑo̞ː
きまりわるい,kʲima̠ɾʲiɰᵝa̠ɾɯ̟ᵝi
しんじゅう,ɕĩɲ̟d͡ʑɨᵝː
じゅんすい,d͡ʑɨ̃ᵝɰ̃sɨᵝi
おおがま,o̞ːɡa̠ma̠
さくせい,sa̠kɯ̟ᵝse̞ː
えぞはたはた,e̞zo̞ha̠ta̠ha̠ta̠
さかん,sa̠kã̠ɴ
ごくしょ,ɡo̞kɯ̟ᵝɕo̞
けいさつちょう,ke̞ːsa̠t͡sɨᵝt͡ɕo̞ː
う,ɯ̟ᵝ
しんてい,ɕĩnte̞ː
えい,e̞ː
あっちゃえ,a̠t̚t͡ɕa̠e̞
からすうり,ka̠ɾa̠sɨᵝɯ̟ᵝɾʲi
いりょく,iɾʲo̞kɯ̟ᵝ
え,e̞
こうか,ko̞ːka̠
ふさい,ɸɯ̟ᵝsa̠i
けっかく,ke̞k̚ka̠kɯ̟ᵝ
じょうすいどう,d͡ʑo̞ːsɨᵝido̞ː
しぼうぞく,ɕibo̞ːzo̞kɯ̟ᵝ
さえん,sa̠ẽ̞ɴ
きどう,kʲido̞ː
おんじょう,õ̞ɲ̟d͡ʑo̞ː
さくらいろ,sa̠kɯ̟ᵝɾa̠iɾo̞
きずきあげる,kʲizɨᵝkʲia̠ɡe̞ɾɯ̟ᵝ
