wirkmächtig,vɪʁkmɛçtɪç
einwegfeuerzeugs,aɪ̯nveːkfɔɪ̯ɐt͡sɔɪ̯ks
selbststudium,zɛlpstʃtuːdi̯ʊm
umklapper,ʊmklapɐ
kajak,kaːjak
suspension,sʊspɛnsjoːn
cousin,kuzɛŋ
fromm,fʁɔm
doktormutter,dɔktoːɐ̯mʊtɐ
vierzigköpfiger,fɪɐ̯tsɪçkœpfɪɡɐ
skalp,skalp
hundertjahrfeier,hʊndɐtjaːɐ̯faɪ̯ɐ
refundieren,ʁefʊndiːʁən
rosinenpicken,ʁoziːnənpɪkən
geniestreich,ʒeniːʃtʁaɪ̯ç
mehrwegpfand,meːɐ̯veːkp͡fant
kitsch,kɪt͡ʃ
ein,ən
urin,uʁiːn
hauseigenes,haʊ̯sʔaɪ̯ɡənəs
bürger,bʏɐ̯ɡɐ
züchtigung,t͡sʏçtɪɡʊŋ
dandy,dɛndi
kugelgelenk,kuːɡl̩ɡəlɛŋk
betts,bɛts
buschig,bʊʃɪç
maile,mɛɪ̯lə
fennich,fɛnɪç
brummig,bʁʊmɪç
funkeln,fʊŋkəln
minecraft,maɪnkɹɑːft
standbild,ʃtantbɪlt
einlösung,aɪ̯nløːzʊŋ
sehr,zeːr
stümper,ʃtʏmpɐ
hellhäutig,hɛlhɔɪ̯tɪç
melasse,melasə
belgierin,bɛlɡi̯əʁɪn
färöisch,fɛːʁøɪʃ
kladde,kladə
einmischen,aɪnmɪʃən
fernhalten,fɛʁnhaltn̩
holprig,hɔlpʁɪk
talsperre,taːlʃpɛʁə
fischschwärme,fɪʃʃvɛʁmə
mengele,mɛŋələ
lehre,leːʁə
werk,vɛʁk
abenteuerlustig,ʔaːbm̩tɔɪ̯ɐlʊstɪç
verzahnen,fɛɐ̯t͡saːnən
brennstoff,bʁɛnʃtɔf
kronblatt,kroːnblat
joachims,joʔaxɪms
betonklötze,betɔŋklœt͡sə
habesch,ħabɛʃ
dreiteilend,dʁaɪ̯taɪ̯lənt
mehrere,meːrərə
playlist,pleːlɪst
diktatorisch,dɪktatoːʁɪʃ
umfassung,ʊmfasʊŋ
herzogtümer,hɛʁtsoːktyːmɐ
parkettieren,paʁkɛtiːʁən
kürbis,kʏrbɪs
dreissigprozentig,dʁaɪ̯sɪkpʁot͡sɛntɪk
latwerge,latvɛrʃ
umschichter,ʊmʃɪçtɐ
flaschenhälse,flaʃənhɛlzə
selbstgefälligkeit,zɛlpstɡəfɛlɪçkaɪ̯t
krieger,kʁiːɡɐ
deletär,deleteːɐ̯
annehmen,anneːmən
schisser,ʃɪsɐ
ralle,ʁalə
stiere,ʃtiːʁə
auswärtig,aʊ̯svɛʁtɪç
familienhäuser,famiːli̯ənhɔɪ̯zɐ
scherzo,skɛrtso
flussperle,flʊspɛʁlə
pietät,piːəteːt
langeweile,laŋəvaɪ̯lə
geängstigt,ɡəʔɛŋstɪkt
kojote,kojoːtə
kärntnerisch,kɛʁntnəʁɪʃ
fleischgabeln,flaɪ̯ʃɡaːbl̩n
seismographisch,zaɪ̯smoɡʁaːfɪʃ
sicherstellungen,zɪçɐʃtɛlʊŋən
bügle,byːɡlə
erleuchten,ɛɐ̯lɔɪ̯çtn̩
stottern,ʃtɔtɐn
fahrzeugkolonne,faːɐ̯t͡sɔɪ̯kkolɔnə
riesentier,ʁiːzn̩tiːɐ̯
verschiffer,fɛɐ̯ʃɪfɐ
sechsundzwanzigste,zɛksʊntt͡svant͡sɪçstə
schmälern,ʃmɛːlɐn
dramaturgin,dʁamatʊʁɡɪn
schmerzvoll,ʃmɛʁt͡sfɔl
entscheidungsproblems,ɛntʃaidʊŋspʁobleːms
lebensmittelskandale,leːbənsmɪtəlskandaːlə
übergeschlagen,yːbɐɡəʃlaːɡŋ̩
ischämisch,ɪsçɛːmɪʃ
krisengeschüttelt,kʁiːzn̩ɡəʃʏtl̩t
belzec,bɛltsɛk
selbstmitleides,zɛlpstmɪtlaɪ̯dəs
sonntagsbraten,zɔntaːksbraːtən
weinstock,vaɪ̯nʃtɔk
rost,ʁoːst
tintenfässer,tɪntn̩fɛsɐ
haarlos,haːɐ̯loːs
schikanieren,ʃikaniːʁən
gnocchi,njɔki
sparherden,ʃpaːɐ̯heːɐ̯dn
bamako,bamako
kurieren,kuʁiːʁən
baguetteschliff,baɡɛtʃlɪf
pelzig,pɛltsɪk
prophetengefährte,profeːtənɡəfɛːrtə
streichen,ʃtʁaɪ̯çən
schlossparks,ʃlɔspaʁks
wringen,vʁɪŋən
nebenan,neːbn̩ʔan
quetschen,kvɛtʃən
spassig,ʃpaːsɪk
küchengerät,kʏçn̩ɡəʁɛːt
luxuszügen,lʊksʊst͡syːɡŋ̩
schönwetter,ʃøːnvɛtɐ
kreuzen,kʁɔʏ̯tsən
tunika,tuːnika
rotem,ʁoːtəm
lärche,lɛʁçə
alliieren,aliʔiːɐ̯n
obstbestecken,oːpstbəʃtɛkŋ̩
billionen,bɪli̯oːnən
einwirken,aɪ̯nvɪʁkn̩
totenhemd,toːtn̩hɛmt
mainzer,maɪ̯ntsər
theaterbühne,teaːtɐbyːnə
backhäuschen,bakhɔʏ̯sçən
ererben,ɛɐ̯ʔɛʁbn̩
vierundzwanzigtägig,fiːɐ̯ʊntt͡svant͡sɪçtɛːɡɪç
fettleibigkeit,fɛtlaɪ̯bɪçkaɪ̯t
vergnügt,fɛɐ̯ɡnyːkt
bereich,bəʁaɪ̯ç
ubiquitär,ubikvitɛːɐ̯
fittich,fɪtɪç
verhaltens,fɛɐ̯haltəns
zerealie,t͡seʁeʔaːliə
gewöhnen,ɡəvøːnən
setzen,zɛtsən
strebe,ʃtʁeːbə
wappenbüchern,vapn̩byːçɐn
komikerinnen,koːmɪkəʁɪnən
schalttafeln,ʃalttaːfəln
ölauge,øːlʔaʊ̯ɡə
sichs,zɪçs
menschenwürde,mɛnʃn̩vʏʁdə
mutterlos,mʊtɐloːs
bibelkommentars,biːbəlkɔmɛntaːɐ̯s
bricht,bʁɪçt
subqualität,zʊpkvalitɛːt
bodentruppen,boːdn̩tʁʊpn̩
epigone,epiɡoːnə
kryptologie,kʁʏptoloɡiː
neunundzwanzigtägiger,nɔɪ̯nʊntt͡svant͡sɪçtɛːɡɪɡɐ
einzelnachweis,aɪ̯nt͡sl̩naːxvaɪ̯s
mehrteilig,meːɐ̯taɪ̯lɪk
krankenhausapotheken,kʁaŋkənhaʊ̯sapoteːkən
steuersystem,ʃtɔɪ̯ɐzʏsteːm
jahreswechsel,jaːʁəsvɛksl̩
seelenkunde,zeːlənkʊndə
imitation,imitatsjoːn
drempel,drɛmpəl
gesandter,ɡəzantɐ
vertrocknen,fɛɐ̯tʁɔknən
schwippschwager,ʃvɪpʃvaːɡər
vorpommerisch,foːɐ̯pɔməʁɪʃ
kreuzlahm,kʁɔʏ̯t͡slaːm
betrüblicherweise,bətʁyːplɪçɐvaɪ̯zə
vernachlässigung,fɛʁnaːχlɛsiɡʊŋ
brusttasche,bʁʊsttaʃə
reep,ʁeːp
achtundvierzigecke,axtʊntfɪɐ̯tsɪçɛkə
hausbedienstete,haʊ̯sbədiːnstətə
ökologie,økoloɡiː
hieroglyphe,hiʁoɡlyːfə
planlos,plaːnloːs
schuppig,ʃʊpɪç
steuerbefreiung,ʃtɔɪ̯ɐbəfʁaɪ̯ʊŋ
achtzigecke,axtsɪçɛkə
ekelhaft,ʔeːkl̩haft
salzbergwerk,zalt͡sbɛɐ̯kvɛɐ̯k
traktoristinnen,tʁaktoʁɪstɪnən
irgendein,ɪrɡəntaɪ̯n
käufer,kɔɪ̯fɐ
schleifen,ʃlaɪ̯fən
schräg,ʃʁɛːç
kabbalistisch,kabalɪstɪʃ
exquisit,ɛkskviziːt
bröckchen,bʁœkçən
unternehmung,ʊntɐneːmʊŋ
kriegshetzer,kʁiːkshɛt͡sɐ
mehlig,meːlɪç
hobbit,hɔbɪt
klabusterbeere,klabʊstɐbeːʁə
borkenkäfer,bɔrkənkɛːfər
zeitigstem,t͡saɪ̯tɪkstəm
aspartame,aspaʁtamə
strauss,ʃtʁaʊ̯s
scheherazade,ʃəheːʁazaːdə
sechzigstel,zɛçtsɪçstəl
unterhalt,ʊntərhalt
krustentier,kʁʊstəntiːɐ
zapletal,t͡saplɛtal
nachstürmen,naːxʃtʏʁmən
bittersten,bɪtɐstən
unfreundlichsten,ʔʊnfʁɔɪ̯ntlɪçstn̩
übriglasser,yːbʁɪçlasɐ
reifen,ʁaɪ̯fən
hundertjährig,hʊndɐtjɛːʁɪç
pflegebedürftig,pfleːɡəbədʏʁftɪç
anrichten,anʁɪçtn̩
stahl,ʃtaːl
flieder,fliːdər
ethnograph,etnoɡʁaːf
kurven,kʊʁfn̩
gewölle,ɡəvœlə
geschwätzig,ɡəʃvɛt͡sɪç
durchbrennen,dʊʁçbʁɛnən
kanevassen,kanəvasn̩
siebenundzwanzigminütiger,ziːbn̩ʊnt͡svant͡sɪçminyːtɪɡɐ
schützengraben,ʃʏtsn̩ɡʁaːbm̩
tasteninstrumentenbauer,tastn̩ʔɪnstʁumɛntn̩baʊ̯ɐ
tokioter,toki̯oːtɐ
lappen,lapən
sedisvakantismus,zedɪsvakantɪsmʊs
alte,altə
tonlos,toːnloːs
westjiddisch,vɛstjɪdɪʃ
wanderin,vandɐʁɪn
pfundig,pfʊndɪç
erbschaftssteuer,ɛʁpʃaft͡sʃtɔɪ̯ɐ
jeans,ʒaŋs
durchschütteln,dʊɐ̯çʃʏtl̩n
planen,plaːnən
einhämmern,aɪ̯nhɛmɐn
leberkäs,leːbɐkɛːs
schredder,ʃʁɛdɐ
hänfling,hɛnflɪŋ
zerschellen,t͡sɛɐ̯ʃɛlən
böhmisch,bøːmɪʃ
putrifizieren,putʁɪfit͡siːʁən
quartal,kvartaːl
umschichten,ʊmʃɪçtən
verzichtleistung,fɛɐ̯tsɪçtlaɪ̯stʊŋ
bratwurst,bʁaːtvʊʁst
unterbewertend,ʊntɐbəveːʁtənt
pikarisch,pikaːʁɪʃ
hebung,heːbʊŋ
malayalam,malajaːlam
klassifizieren,klasifitsiːɐ̯n
strichliert,ʃtʁɪçliːɐ̯t
einsetzbar,ʔaɪ̯nzɛtsbaːɐ̯
bote,boːtə
beeinträchtigen,bəʔaɪ̯ntʁɛçtɪɡn̩
naturgewalt,natuːɐ̯ɡəvalt
fielst,fiːlst
angstvoller,aŋstfɔlɐ
vierunddreissigtägig,fiːɐ̯ʊntdʁaɪ̯sɪçtɛːɡɪç
joppe,jɔpə
gemütszustand,ɡəmyːt͡st͡suʃtant
anpassen,anpasən
gitarrennoten,ɡitaʁənnoːtn̩
erscheinung,ɛɐ̯ʃaɪ̯nʊŋ
schnabelkerf,ʃnaːbəlkɛʁf
gänzlich,ɡɛntslɪç
division,divizi̯oːn
bienenhaus,biːnənhaʊ̯s
schlappe,ʃlapə
linguist,lɪŋɡu̯ɪst
jammern,jaməʁn
giere,ɡiːʁə
unfallflüchtig,ʊnfalflʏçtɪç
marxismus,maʁksɪsmʊs
flausch,flaʊ̯ʃ
heiratsantrag,haɪ̯ʁaːtsantʁaːk
gele,ɡeːlə
gescheit,ɡəʃaɪ̯t
lebenszeit,leːbn̩st͡saɪ̯t
arbeitstiers,aʁbaɪ̯tstiːɐ̯s
schubiack,ʃuːbi̯ak
privatim,pʁivaːtɪm
geburtstagskarten,ɡəbuːɐ̯t͡staːkskaʁtn̩
veranstaltungsteilnehmer,fɛɐ̯anʃtaltʊŋstaɪ̯lneːmɐ
fut,fʊt
arbiträr,aʁbitʁeːɐ̯
hospitalisieren,hɔspitaliziːʁən
weisshaarig,vaɪ̯shaːʁɪç
verpeilt,fɛɐ̯paɪ̯lt
behaglichkeit,bəhaːɡlɪçkaɪ̯t
elixier,elɪksiːɐ̯
gütersloh,ɡyːtɐsloː
spitzwinklig,ʃpitsvɪŋklɪk
salpeterhaltig,zalpeːtɐhaltɪç
sechsundzwanzigköpfiger,zɛksʊnt͡svant͡sɪçkœpfɪɡɐ
riad,ʁiːat
jodieren,jodiːrən
mehrlappig,meːɐ̯lapɪç
betreffs,bətʁɛfs
zerdrücken,t͡sɛɐ̯dʁʏkŋ̩
gebunden,ɡəbʊndən
wochenzeitschrift,vɔxn̩t͡saɪ̯tʃʁɪft
mondlos,moːntloːs
birma,bɪʁma
kruke,kʁuːkə
unwürdig,unvʏʁdɪk
entschliessen,ɛntʃliːsən
weiterverkaufend,vaɪ̯tɐfɛɐ̯kaʊ̯fn̩t
abfindung,apfɪndʊŋ
gegenzeichnen,ɡeːɡn̩t͡saɪ̯çnən
haushaltspolitisch,haʊ̯shalt͡spoliːtɪʃ
knöchelfrei,knœçl̩fʁaɪ̯
angelhaken,aŋl̩haːkən
ausbildner,aʊ̯sbɪldnɐ
semipermeabel,zeːmipɛʁmeaːbl̩
raoul,rauːl
hauer,haʊ̯ɐ
fragt,fʁaːkt
schwerathletik,ʃveːɐ̯ʔatleːtɪk
immatrikulieren,ɪmatʁikuliːʁən
instagram,ɪnstaɡʁam
daselbst,dazɛlpst
prätorianer,pʁɛtoʁi̯aːnɐ
geschäftsbedingung,ɡəʃɛft͡sbədɪŋʊŋ
luxuswohnung,lʊksʊsvoːnʊŋ
jever,jeːvɐ
verpatzen,fɛɐ̯pat͡sn̩
drossel,dʁɔsəl
gewarten,ɡəvaʁtən
überspitztheit,yːbɐʃpɪt͡sthaɪ̯t
mim,mɪm
haarähnlich,haːɐ̯ʔɛːnlɪç
grössenwahn,ɡʁøːsn̩vaːn
tag,taːk
gustiös,ɡʊstjøːs
heinzelmännchen,haɪ̯nt͡sl̩mɛnçən
verknöchert,fɛɐ̯knœçɐt
forelle,forɛlə
vorsitzender,foːɐ̯zɪt͡sn̩dɐ
weggehen,vɛkɡeːən
reissern,ʁaɪ̯sɐn
donnerbüchse,dɔnɐbʏksə
fünfstündig,fʏnfʃtʏndɪç
kleidergrösse,klaɪ̯dɐɡʁøːsə
erstversorgung,eːɐ̯stfɛɐ̯zɔʁɡʊŋ
irritieren,ɪritiːrən
bisone,biːzoːnə
bezug,bətsux
induktivität,ɪndʊktivitɛːt
augiasstall,aʊ̯ɡi̯asʃtal
sah,zaː
dübel,dyːbəl
beendigung,bəʔɛndɪɡʊŋ
ging,ɡɪŋ
auszählung,aʊ̯st͡sɛːlʊŋ
oregano,oːʁeɡaːno
schwierig,ʃviːrɪç
virologe,viʁoloːɡə
salutieren,zalutiːʁən
köpfchen,kœpfçən
vermittlungsgebühren,fɛɐ̯mɪtlʊŋsɡəbyːʁən
bohemistik,bohemɪstɪk
schnatz,ʃnat͡s
zündschnur,t͡sʏntʃnuːɐ̯
severin,zeːvəʁiːn
durchscheinen,dʊʁçʃaɪ̯nən
selbstmordgedanken,zɛlpstmɔʁtɡədaŋkn̩
selbsttätig,zɛlpsttɛːtɪç
nehyba,nɛhɪba
verbrauchsteuerpflichtig,fɛɐ̯bʁaʊ̯xʃtɔʏɐp͡flɪçtɪç
abschwächend,apʃvɛçn̩t
iran,iʁaːn
checkbox,t͡ʃɛkbɔks
brautwerbungen,bʁaʊ̯tvɛʁbʊŋən
bamako,bamaːko
fake,feːkə
perpendikel,pɛʁpɛndiːkl̩
unterwältigen,ʊntɐvɛltɪɡən
lukan,lukaːn
zerdrücken,t͡sɛɐ̯dʁʏkən
neofaschismus,neofaʃɪsmʊs
drache,dʁaxə
duzt,duːtst
bedächtig,bədɛçtɪç
charta,kaʁta
konntest,kɔntəst
schenker,ʃɛŋkɐ
koi,kɔɪ̯
polygonaler,poliɡonaːlɐ
monokular,monokulaːɐ̯
iphone,aɪ̯foːn
tequila,tekiːla
grappa,ɡʁapa
leichtsinnigerweise,laɪ̯çtzɪnɪɡɐvaɪ̯zə
inventarisation,ɪnvɛntaʁizat͡si̯oːn
strohen,ʃtʁoːən
feigheit,faɪ̯çhaɪ̯t
reinfizieren,ʁeʔɪnfit͡siːʁən
führung,fyːʁʊŋ
sekretariat,zekretariaːt
amtsantritt,amt͡sʔantʁɪt
hochschule,hoːxʃuːlə
bahnradsport,baːnʁaːtʃpɔʁt
europid,ɔɪ̯ʁopiːt
rüstig,ʁʏstɪç
unglücklicherweise,ʊnɡlʏklɪçɐvaɪ̯zə
wandels,vandl̩s
snack,snɛk
wutz,vʊt͡s
gefährt,ɡəfɛːɐ̯t
untergewand,ʊntɐɡəvant
hennegau,hɛnəɡaʊ̯
umbauen,ʊmbaʊ̯ən
wachsfigürlein,vaksfiɡyːɐ̯laɪ̯n
verfälschen,fɛɐ̯fɛlʃn̩
verdorri,fərdɔri
laborinstruments,laboːɐ̯ʔɪnstʁumɛnt͡s
verschwörungstheoretikers,fɛɐ̯ʃvøːʁʊŋsteoʁeːtikɐs
meeresspiegel,meːʁəsʃpiːɡəl
vogt,foːkt
bezeugung,bət͡sɔʏ̯ɡʊŋ
olga,ɔlɡa
kreuzgefährlichstes,kʁɔɪ̯t͡s̯ɡəfɛːɐ̯lɪçstəs
dauerschach,daʊ̯ɐʃax
erdgeschichte,eːɐ̯tɡəʃɪçtə
rennmaus,ʁɛnmaʊ̯s
euthanasie,ɔɪ̯tanaziː
ampel,ʔampl̩
zugig,t͡suːɡɪk
zehnminütig,t͡seːnminyːtɪç
zwanzig,t͡svant͡sɪç
textuell,tɛkstu̯ɛl
ritterrüstung,ʁɪtɐʁʏstʊŋ
anfangen,anfaŋən
warnschuss,vaʁnʃʊs
farbänderung,faːbɛndəʁʊŋ
gediegen,ɡədiːɡŋ̍
wannen,vanən
pütt,pʏt
überziehung,yːbɐtsiːʊŋ
beigen,baɪ̯ɡn̩
reparatur,ʁepaʁatuːɐ̯
betrag,bətʁax
kulturkampf,kʊltuːɐ̯kamp͡f
quadrieren,kvadʁiːʁən
s,s
prunken,pʁʊŋkn̩
magier,maːɡi̯ɐ
fussballfans,fuːsbalfɛns
postkutsche,pɔstkʊtʃə
nackig,nakɪç
thing,tɪŋ
tatsachenverdreher,taːtzaxn̩fɛɐ̯dʁeːɛɐ
sagt,zaxt
agnostisch,aɡnɔstɪʃ
stiekum,ʃtiːkʊm
tausend,taʊ̯zənt
burkane,bʊrkaːnə
verpuppen,fərpʊpən
türgriff,tyːɐ̯ɡʁɪf
missachtung,mɪsaxtʊŋ
spruch,ʃpʁʊx
geschmeide,ɡəʃmaɪ̯də
ungestüm,ʊnɡəʃtyːm
kleriker,kleːʁikɐ
unähnlich,unʔeːnlɪç
einflussbereiches,aɪ̯nflʊsbəʁaɪ̯çəs
putrifizieren,putʁɪfit͡siːɐ̯n
zahnschmerz,tsaːnʃmɛrts
kauen,kaʊ̯ən
wettbewerbsfähigkeit,vɛtbəvɛʁpsfɛːɪçkaɪ̯t
streitsüchtig,ʃtʁaɪ̯tzʏçtɪç
zeitzeuge,t͡saɪ̯tt͡sɔɪ̯ɡə
kommod,kɔmoːt
winterwetter,vɪntɐvɛtɐ
muhme,muːmə
verstecken,fərʃtɛkən
sulzig,zʊlt͡sɪç
bummlerinnen,bʊmləʁɪnən
muttern,mʊtərn
entschlossen,ɛntʃlɔsn̩
emeritieren,emeʁitiːʁən
monumental,monumɛntaːl
zwanzigsten,t͡svant͡sɪçstn̩
nuttigste,nʊtɪçstə
birgst,bɪʁkst
aalglatt,aːlɡlat
scheisse,ʃaɪ̯sə
hierbleiben,hiːɐ̯blaɪ̯bn̩
auflösen,ʔaʊ̯fløːzn̩
kolben,kɔlbən
mitsprache,mɪtʃpʁaːxə
tintenfisch,tɪntn̩fɪʃ
vorgefasst,foːɐ̯ɡəfast
tachinieren,taxiniːɐ̯n
lurch,lʊʁç
hyperglykämie,hypɐɡlykɛmiː
tanzes,tant͡səs
lautsprecher,laʊ̯tʃpʁɛçɐ
taxifahrerin,taksifaːʁəʁɪn
verfolgen,fɛɐ̯fɔlɡŋ̩
selig,zeːlɪk
urheimat,ʔuːɐ̯haɪ̯maːt
stilmittel,ʃtiːlmɪtl̩
jever,jeːfɐ
minimalpaar,minimaːlpaːɐ̯
aufmarsch,aʊ̯fmaʁʃ
kumanisch,kumaːnɪʃ
salweide,zaːlvaɪ̯də
einölen,aɪ̯nøːlən
minutenzeigers,minuːtəntsaɪ̯ɡɐs
habsüchtig,haːpzʏçtɪç
lebenshaltung,leːbn̩shaltʊŋ
autor,aʊ̯toːɐ̯
abpfiffs,ʔappfɪfs
zahncreme,tsaːnkʁɛːm
tangotänzerin,taŋɡotɛnt͡səʁɪn
stromzähler,ʃtʁoːmt͡sɛːlɐ
platzmässig,plat͡smɛːsɪç
gäule,ɡɔʏ̯lə
denkmalpflege,dɛŋkmaːlp͡fleːɡə
indianerstamm,ɪndi̯aːnɐʃtam
zloty,zlɔti
vaterländisch,faːtɐlɛndɪʃ
magazin,maɡatsiːn
myrmekologisch,mʏʁmekoloːɡɪʃ
tragweite,tʁaːkvaɪ̯tə
glimmen,ɡlɪmən
mundartlich,mʊntʔaːɐ̯tlɪç
hüfte,hʏftə
frühlingsende,fʁyːlɪŋsɛndə
zweiundzwanzigwöchiger,t͡svaɪ̯ʊnt͡svant͡sɪçvœçɪɡɐ
abbilden,apbɪldən
sokrates,zoːkʁatɛs
stichprobenhaft,ʃtɪçpʁoːbn̩haft
herrgottsfrühe,hɛʁɡɔt͡sfʁyːə
zeitwort,t͡saɪ̯tvɔʁt
posen,pɔʊ̯zn̩
regelmässig,ʁeːɡəlmɛːsɪç
stielhandgranate,ʃtiːlhantɡʁanaːtə
schweinefilet,ʃvaɪ̯nəfɪle
gegacker,ɡəɡakɐ
sprint,ʃpʁɪnt
italisch,itaːlɪʃ
pulcinella,pʊltʃinɛla
grauschnäpper,ɡʁaʊ̯ʃnɛpɐ
urvater,uːɐ̯faːtɐ
straucheln,ʃtraʊ̯xəln
legasthenie,leɡasteniː
ligatur,lɪɡatuːɐ̯
abwehrspieler,apvɛɐ̯ʃpiːlɐ
hunsrückisch,hʊnsʁʏkɪʃ
dickleibig,dɪklaɪ̯bɪç
eisenzeit,aɪ̯zəntsaɪ̯t
verräterischste,fɛɐ̯ʁɛːtəʁɪʃstə
unzüchtigsten,ʊnt͡sʏçtɪçstn̩
botenlohne,boːtənloːnə
beichte,baɪ̯çtə
kläger,kleːɡɐ
smaragd,smaʁakt
tresor,tʁezoːɐ̯
geschwafel,ɡəʃvaːfl̩
sänger,sɛŋɐ
bären,bɛːʁən
slalom,slaːlɔm
sozial,zotsi̯aːl
abdanken,ʔapdaŋkŋ̩
priorisieren,pʁioʁiziːʁən
teamfähig,tiːmfɛːɪç
dynamo,dynaːmo
besatz,bəzats
grantig,ɡʁantɪç
krönung,kʁøːnʊŋ
spaten,ʃpaːtən
mundwerk,mʊntvɛʁk
kuchen,kuːxən
vertragen,fɛɐ̯tʁaːɡŋ̩
modern,moːdɐn
verschnöselt,fɛɐ̯ʃnøːzl̩t
bereinigen,bəʁaɪ̯nɪɡən
dreissigminütig,dʁaɪ̯sɪkminyːtɪk
frankenreichs,fʁaŋkn̩ʁaɪ̯çs
amtssprache,amt͡sʃpʁaːxə
kurzlebig,kʊʁt͡sleːbɪç
krüglein,kryːɡlaɪ̯n
bauchig,baʊ̯xɪk
notverordnung,noːtfɛɐ̯ʔɔʁdnʊŋ
sauwetter,zaʊ̯vɛtɐ
eisengehalt,aɪ̯zn̩ɡəhalt
sonnensegel,zɔnənzeːɡəl
stempeluhren,ʃtɛmpl̩ʔuːʁən
facebook,fɛɪ̯sbʊk
störfaktors,ʃtøːɐ̯faktoːɐ̯s
freibade,fʁaɪ̯baːdə
bleichrot,blaɪ̯çʁoːt
insofern,ɪnzofɛʁn
abkochen,apkɔχən
hiesig,hiːzɪk
pervasiv,pɛʁvaziːf
kurven,kʊʁvn̩
kesselstein,kɛsəlʃtaɪ̯n
wag,vaːk
frickeln,fʁɪkəln
entlaufen,ɛntlaʊ̯fn̩
künstler,kʏnstlɐ
klee,kleː
generalschlüssel,ɡɛnɛʁaːlʃlyˑsəl
neunundzwanzigtägig,nɔɪ̯nʊntt͡svant͡sɪçtɛːɡɪç
schlüpfen,ʃlʏpfən
autogepäckträger,aʊ̯toɡəpɛktʁɛːɡɐ
schlittenfahrt,ʃlɪtn̩faːɐ̯t
elbsegler,ɛlpzeːçlɐ
kampfeslustig,kampfəslʊstɪç
wittum,vɪtuːm
geschlechtsorgan,ɡəʃlɛçtsʔɔʁɡaːn
häbig,hɛːbɪç
ascher,aʃɐ
künstlerromane,kʏnstlɐʁomaːnə
elektroschocker,elɛktʁoʃɔkɐ
neunundvierzigmal,nɔɪ̯nʊntfɪɐ̯t͡sɪçmaːl
morgenstimmung,mɔʁɡŋ̩ʃtɪmʊŋ
mehdi,meːdi
versteigerer,fɛɐ̯ʃtaɪ̯ɡɐʁɐ
leerraumes,leːɐ̯ʁaʊ̯məs
tilgt,tɪlkt
instrumentenhersteller,ɪnstʁumɛntn̩heːɐ̯ʃtɛlɐ
ebender,eːbn̩deːɐ̯
postamtlich,pɔstʔamtlɪç
chemisch,ʃeːmɪʃ
unterstützung,ʊntɐʃtʏt͡sʊŋ
tretmühle,treːtmyːlə
katzenfreund,kat͡sn̩fʁɔɪ̯nt
binnenflüchtling,bɪnənflʏçtlɪŋ
muttermund,mʊtɐmʊnt
geisterschiff,ɡaɪ̯stɐʃɪf
kalorienreich,kaloʁiːənʁaɪ̯ç
eucharistie,ɔʏ̯çaʁɪstiː
unterschriftenaktion,ʊntɐʃʁɪftənakt͡si̯oːn
sturzflügen,ʃtʊʁt͡sflyːɡn̩
katalytisch,katalyːtɪʃ
beweiben,bəvaɪ̯bn̩
quickie,kvɪki
schimpfwort,ʃɪmpfvɔʁt
sekkant,sɛɡ̥ant
buchen,buːxn̩
aquamarinblau,akvamaʁiːnblaʊ̯
seitenstrasse,zaɪ̯tn̩ʃtʁaːsə
abschirmung,apʃɪʁmʊŋ
rücklage,ʁʏklaːɡə
einhorn,aɪ̯nhɔrn
bauernschlau,baʊ̯ɐnʃlaʊ̯
olive,oliːvə
schellfisch,ʃɛlfɪʃ
elfecks,ɛlfɛks
vierbeinig,fiːɐ̯baɪ̯nɪk
astrozyt,astʁot͡syːt
ruhm,ʁuːm
unruhestifter,ʊnʁuːəʃtɪftɐ
aufrührer,aʊ̯fʁyːʁɐ
kein,kɔɪ̯
blösse,bløːsə
erhöhung,ɛɐ̯høːʊŋ
c,tseː
feinschmecker,faɪ̯nʃmɛkɐ
rädchen,ʁɛːtçən
zähnchen,t͡sɛːnçən
kojen,koːjən
haschen,haʃn̩
versäumnis,fɛɐzɔymnɪs
pfuscherei,p͡fʊʃəʁaɪ̯
ölsäure,øːlzɔʏ̯ʁə
hintanlegen,hɪntʔanleːɡən
strudel,ʃtʁuːdl̩
bindung,bɪndʊŋ
ferngespräch,fɛʁnɡəʃpʁɛːç
landspitze,lantʃpɪt͡sə
hörend,høːʁənt
siebensilbigen,ziːbm̩zɪlbɪɡŋ̩
technik,tɛçnɪk
geschlechtig,ɡəʃlɛçtɪç
sechskampf,zɛkskamp͡f
serienreif,zeːʁi̯ənʁaɪ̯f
hypoglykämie,hypoɡlykɛmiː
fussel,fʊsəl
erythem,eʁyteːm
hauptstädte,haʊ̯ptʃtɛːtə
ansprechbar,anʃpʁɛçbaːɐ̯
reha,ʁeːha
mengenangabe,mɛŋənʔanɡaːbə
gummibärchen,ɡʊmibɛːɐ̯çən
steigt,ʃtaɪ̯kt
vernakular,vɛʁnakulaːɐ̯
jerusalem,jeʁuːzalɛm
romanschriftstellerin,ʁomaːnʃʁɪftʃtɛləʁɪn
betätigung,bəteːtɪɡʊŋ
deren,deːʁən
flusswasser,flʊsvasɐ
verdreizehnfachend,fɛɐ̯draɪ̯t͡seːnfaxənt
sportmannschaft,ʃpɔɐ̯tmanʃaft
klepper,klɛpɐ
gesindel,ɡəzɪndl̩
