disponibilidade,diʃpunibilidadɨ
fisco,fiʃku
desempenha,dɨzẽpɐjɲɐ
enxadar,ẽʃɐdaɾ
canárias,kɐnaɾiɐʃ
pita,pitɐ
saibamos,sajbɐmuʃ
alegoricamente,ɐlɨɡɔɾikɐmẽtɨ
entrada,ẽtɾadɐ
bago,baɡu
pressionar,pɾɨsjunaɾ
abdómenes,ɐbdɔmɛnɨʃ
chufáramos,t͡ʃufaɾɐmuʃ
bolsista,bɔlsiʃtɐ
antimulticultural,ɐ̃timultikultuɾal
monotemático,mɔnɔtɨmatiku
trará,tɾɐɾa
lamúria,lɐmuɾjɐ
entropia,ẽtɾupiɐ
reto,ʁɛtu
achocolatei,ɐʃukulɐtɐj
emoldurar,imolduɾaɾ
houvessem,ovɛsɐ̃j̃
sugestão,suʒɨʃtɐ̃w̃
protetorado,pɾutɛtuɾadu
inácio,inasju
edredom,ɛdɾɨdõ
eclíptico,ikliptiku
cabra,kabɾɐ
macaca,mɐkakɐ
convulsivo,kõbulsibu
comeis,kumeʃ
emir,ɛmiɾ
balãozinho,bɐlɐ̃w̃ziɲu
cordialmente,kuɾdjalmẽtɨ
tronco,tɾõku
coserá,kuzɨɾa
pirapozinho,piɾɐpɔziɲu
rumens,ʁumɛnʃ
sopear,supjaɾ
carrossel,kɐʁɔsɛl
quem,kɐ̃j̃
ferir,fɨɾiɾ
cardiolipina,kaɾdjɔlipinɐ
venhas,vɐjɲɐʃ
manta,mɐ̃tɐ
saudável,sɐwdavɛl
tábata,tabɐtɐ
desatualizado,dɨzɐtwɐlizadu
aprendizagem,ɐpɾẽdizaʒɐ̃j̃
maço,masu
descanso,dɨʃkɐ̃su
crómio,kɾɔmju
texeira,tɨʃejɾɐ
vulnerável,vulnɨɾavɛl
precisar,pɾisizaɹ
emanar,emɐnaɾ
áidano,ajdɐnu
fruta,fɾutɐ
dácia,dasjɐ
monetário,munɨtaɾju
caixinha,kajʃiɲɐ
taiti,tajti
esopo,izopu
tacómetro,tɐkɔmɨtɾu
gravata,ɡɾɐbatɐ
roseiral,ʁuzɐjɾal
adaptativo,ɐdɐptɐtivu
xingava,ʃĩɡavɐ
enfoque,ẽfɔkɨ
capitação,kɐpitɐsɐ̃w̃
alcanço,alkɐ̃su
transitabilidade,tɾɐ̃zitɐbilidadɨ
livremente,livɾɨmẽtɨ
puxou,puʃow
acharão,ɐʃɐɾɐ̃w̃
camila,kɐmilɐ
chuvisco,t͡ʃubiʃku
cavalgue,kɐbalɡɨ
desídia,dɨzidjɐ
ouço,owsu
remanescente,ʁɨmɐnɨʃẽtɨ
trasgo,tɾaʒɡu
botão,butɐ̃w̃
salvará,salbɐɾa
limite,limiti
reais,ʁjajʃ
dermatologia,dɛɾmɐtuluʒiɐ
nervo,neɾbu
almuadem,almwadɐ̃j̃
continha,kõtiɲɐ
dinheirinho,diɲɐjɾiɲu
irrevogável,iʁɨbuɡabɛl
idílio,idilju
afirmativas,ɐfiɾmɐtivɐʃ
actinomicete,ɐktinɔmisetɨ
canadiana,kɐnɐdjɐnɐ
danoso,dɐnozu
remoer,ʁɨmweɾ
biblioteca,bibljutɛkɐ
presciente,pɾɨʃjẽtɨ
faixa,fajʃɐ
genocídio,ʒɨnusidju
aarão,ɐɐɾɐ̃w̃
será,sɨɾa
arquetipicamente,ɐɾkɨtipikɐmẽtɨ
restará,ʁɨʃtɐɾa
guarda,ɡwaɾdɐ
recordista,ʁɨkuɾdiʃtɐ
leitor,lɐjtoɾ
ventoso,bẽtozu
ativável,atibabɛl
lei,le
bocadinho,bukɐdiɲu
diretiva,diɾɛtivɐ
soro,sɔɾu
olhou,ɔʎow
académica,ɐkɐdɛmikɐ
tom,tõ
cochinchina,kuʃĩʃinɐ
tipográficos,tipuɡɾafikuʃ
encefalocele,ẽsɛfɐlɔsɛlɨ
díli,dili
queimar,kemaɾ
atucanáreis,ɐtukɐnaɾɐjʃ
antirrefluxo,ɐ̃tiʁɨfluksu
automotivo,awtumutibu
biotransformar,biɔtɾɐ̃ʃfuɾmaɾ
sousafone,sowzɐfɔnɨ
crucialmente,kɾusjalmẽtɨ
ciclotrónico,siklɔtɾɔniku
silício,silisju
burrico,buʁiku
limeira,limejɾɐ
ditado,ditadu
antiperiplanar,ɐ̃tipɛɾiplɐnaɾ
ágape,aɡɐpɨ
loiça,lojsɐ
desfloramento,dɨʃfluɾɐmẽtu
ouvinte,owbĩtɨ
cangote,kɐ̃ɡɔtɨ
aluguer,ɐluɡɛɾ
finassem,finasɐ̃j̃
decorativo,dɨkuɾɐtibu
pesadamente,pɨzadɐmẽtɨ
imprescindível,ĩpɾɨʃĩdivɛl
efeito,ifejtu
dobras,dɔbɾɐʃ
grupal,ɡɾupal
crescerá,kɾɨʃsɨɾa
solteiro,sɔltejɾu
latiras,lɐtiɾɐʃ
leite,lejti
reitor,ʁɐjtoɾ
bigodes,biɡɔdɨʃ
nauru,nawɾu
paru,pɐɾu
espetral,iʃpɛtɾal
cunhará,kuɲɐɾa
monocálcio,mɔnɔkalsju
dinâmico,dinɐmiku
terreiro,tɨʁejɾu
etiqueta,itiketɐ
circunspecto,siɾkũʃpɛktu
palinha,pɐliɲɐ
antinaturalismo,ɐ̃tinɐtuɾɐliʒmu
ferve,fɛɾbɨ
sento,sẽtu
detetarás,dɨtɛtɐɾaʃ
antecedência,ɐ̃tɨsɨdẽsjɐ
quiche,kiʃɨ
salsichão,salsit͡ʃɐ̃w̃
prejuízo,pɾɨʒwizu
virilha,bɨɾiʎɐ
aviário,ɐvjaɾju
aerogel,ɐɛɾɔʒɛl
superável,supɨɾabɛl
antimofo,ɐ̃timofu
aldeia,aldɐjɐ
cartas,kaɾtɐʃ
responsável,ʁɨʃpõsavɛl
sociedade,susjɛdadɨ
case,kazɨ
eutanasiar,ewtɐnɐzjaɾ
eroticamente,iɾɔtikɐmẽtɨ
basco,baʃku
venal,bɨnal
suspeitar,suʃpejtaɾ
maneiras,mɐneɾɐʃ
aceno,ɐsenu
marga,maɾɡɐ
detetáveis,dɨtɛtabejʃ
barnabé,bɐɾnɐbɛ
baguá,bɐɡwa
crédito,kɾɛditu
síndroma,sĩdɾumɐ
olvidar,ɔlbidaɾ
geleira,ʒɨlejɾɐ
mesas,mezɐʃ
perigoso,pɨɾiɡozu
símbolo,sĩbulu
videogame,vidjɔɡemɨ
insubstituível,ĩsubʃtitwibɛl
anticrioulo,ɐ̃tikɾiolu
idealismo,idjɐliʒmu
ressalto,ʁɨsaltu
plêiades,pleɐdɨʃ
barril,bɐʁil
visto,viʃtu
rocha,ʁɔʃɐ
empuxo,ẽpuʃu
ortogonalmente,ɔɾtɔɡunalmẽtɨ
extravagância,ejʃtɾɐvɐɡɐ̃sjɐ
inventando,ĩbẽtɐ̃du
aríete,ɐɾiɨtɨ
edito,iditu
wagner,vaɡnɛɾ
emparelhei,ẽpɐɾeʎej
brejo,bɾɛʒu
grafólogos,ɡɾɐfɔluɡuʃ
transcorro,tɾɐ̃ʃkoʁu
murmurava,muɾmuɾavɐ
inspecionar,ĩʃpɛsjunaɾ
hidrelétrico,idɾɨlɛtɾiku
desalvorar,dɨzalbuɾaɾ
prados,pɾaduʃ
disciplina,diʃsiplinɐ
antidisciplinar,ɐ̃tidiʃsiplinaɾ
santas,sɐ̃tɐʃ
rossiniana,ʁɔsinjɐnɐ
pilhagem,piʎaʒɐ̃j̃
efetivo,ifɛtivu
atucanáveis,ɐtukɐnavejʃ
lewandowski,levɐ̃dɔvski
gostar,ɡɔʃtah
gordofóbico,ɡoɾdɔfɔbiku
cádis,kadiʃ
autoconsciente,awtɔkõʃjẽtɨ
joeira,ʒwɐjɾɐ
pacheco,pɐʃeku
azeite,ɐzetɨ
trincheira,tɾĩʃejɾɐ
mesmos,meʒmuʃ
quartinho,kwɐɾtiɲu
tombar,tõbaɾ
dadas,dadɐʃ
machado,mɐʃadu
tenho,teɲu
embranquecer,ẽbɾɐ̃kɨseɾ
quinará,kinɐɾa
guapo,ɡwapu
incorro,ĩkoʁu
zarpará,zɐɾpɐɾa
xingu,t͡ʃĩɡu
avondança,ɐvõdɐ̃sɐ
tornou,tuɾnow
sexteto,sejʃtetu
paládio,pɐladju
soro,soɾu
amalteia,ɐmaltejɐ
sabe,sabɨ
diagnóstica,djɐɡnɔʃtikɐ
desempenhar,dɨzẽpɨɲaɾ
calção,kalsɐ̃w̃
atrase,ɐtɾazɨ
arminda,ɐɾmĩdɐ
mutagenicidade,mutɐʒɛnisidadɨ
polichinelo,pɔliʃinɛlu
chicungunha,t͡ʃikũɡuɲɐ
silo,silu
primeira,pɾimeɾɐ
maragateaste,mɐɾɐɡɐtjaʃtɨ
subsaarianos,subsaaɾjɐnuʃ
saboroso,sɐbuɾozu
criptológico,kɾiptulɔʒiku
impermeabilizar,ĩpɨɾmjɐbilizaɾ
setentrional,sɛtẽtɾiunal
cirurgicamente,siɾuɾʒikɐmẽtɨ
virgínia,viɾʒinjɐ
saltar,saltaɾ
desprender,dɨʃpɾẽdeɾ
jugoslávia,ʒuɡuʒlavjɐ
adjacente,ɐd͡ʒɐsẽtɨ
apreciável,ɐpɾɨsjabɛl
educar,idukaɾ
possibilidade,pusibilidadɨ
tucano,tukɐno
vilhancico,biʎɐ̃siku
ovnilogia,ɔvniloʒia
feitas,fetɐʃ
anticriança,ɐ̃tikɾjɐ̃sɐ
sarjeta,sɐɾʒetɐ
pedal,pɨdal
noivinha,nojviɲɐ
inequações,inɛkwɐsõj̃ʃ
heterogeneidade,ɛtɨɾɔʒɨnɐjdadɨ
esmalte,iʒmaltɨ
jorge,ʒɔɾʒɨ
brevê,bɾɨbe
esquivares,iʃkibaɾɨʃ
desenvolvido,dɨzẽvolvidu
kentucky,kẽtɐki
vencível,bẽsibɛl
bitcoin,bitɨkɔjnɨ
atribuível,ɐtɾibwibɛl
psiquiatria,psikiatɾia
multávamos,multavɐmuʃ
poliomielite,pɔljɔmjɛlitɨ
figueira,fiɡɐjɾɐ
bondoso,bõdozu
desabotoa,dɨzɐbutoɐ
antiquados,ɐ̃tikwaduʃ
heroicidade,eɾɔjsidadɨ
perca,pɛɾkɐ
ele,elɨ
contámos,kõtamuʃ
cávia,kabjɐ
estroinar,iʃtɾɔjnaɾ
argumentante,ɐɾɡumẽtɐ̃tɨ
baluarte,bɐlwaɾtɨ
frialdade,fɾialdadɨ
juramentos,ʒuɾɐmẽtuʃ
desistência,dɨziʃtẽsjɐ
autobiográfico,awtɔbiuɡɾafiku
afetação,ɐfɛtɐsɐ̃w̃
cabala,kɐbalɐ
afetável,ɐfɛtabɛl
casada,kɐzadɐ
transcenda,tɾɐ̃ʃẽdɐ
judaizar,ʒudɐizaɾ
caí,kɐi
redondo,ʁɨdõdu
cês,seʃ
abreviação,abɾɛvjasɐ̃ʊ̯̃
nega,neɡɐ
acaica,ɐkajkɐ
laptop,lapitɔpi
inegável,inɨɡavɛl
acaicas,ɐkajkɐʃ
termonuclear,tɛɾmɔnukljaɾ
incompreensivelmente,ĩkõpɾiẽsibɛlmẽtɨ
engarrafamento,ẽɡɐʁɐfɐmẽtu
comendo,kumẽdu
calamos,kɐlɐmuʃ
andava,ɐ̃dabɐ
colégio,kɔlɛʒju
aposto,ɐpɔʃtu
à,a
libertar,libɨɾtaɾ
intervalo,ĩtɨɾbalu
responsavelmente,ʁɨʃpõsavɛlmẽtɨ
alienavelmente,ɐljɛnavɛlmẽtɨ
lote,lɔtɨ
interiorano,ĩtɨɾjuɾɐnu
acelerou,ɐsɨlɐɾow
pua,puɐ
maria,mɐɾiɐ
peguete,pɨɡɛtɨ
marisqueira,mɐɾiʃkeɾɐ
vómito,vɔmitu
atena,ɐtenɐ
calcularemos,kalkulɐɾemuʃ
traquejar,tɾɐkɨʒaɾ
nucleica,nuklɐjkɐ
intacto,ĩtaktu
andor,ɐ̃doɾ
paliçada,pɐlisadɐ
mirandela,miɾɐ̃dɛlɐ
eutanásia,ewtɐnazjɐ
evitável,ibitabɛl
araguato,ɐɾɐɡwatu
vias,biɐʃ
florzinha,floɾziɲɐ
dino,dinu
verso,bɛɾsu
arguir,ɐɾɡwiɾ
metodologia,mɨtuduluʒiɐ
abelheiro,ɐbɨʎɐjɾu
falsada,falsadɐ
diametralmente,diɐmɨtɾalmẽtɨ
engos,ẽɡuʃ
henrique,ẽʁikɨ
torá,tɔɾa
cochilo,kuʃilu
caramba,kɐɾɐ̃bɐ
havermos,ɐbeɾmuʃ
merendar,mɨɾẽdaɾ
chanceler,ʃɐ̃sɨlɛɾ
onera,ɔnɛɾɐ
rejuvenescer,ʁɨʒubɨnɨʃseɾ
esbardalhar,iʒbɐɾdɐʎaɾ
aparelho,ɐpɐɾeʎu
arboreamente,ɐɾbɔɾjɐmẽtɨ
prover,pɾubeɾ
veludo,vɨludu
desorientar,dɨzɔɾjẽtaɾ
intergaláctico,ĩtɛɾɡɐlaktiku
conhecer,koɲɛseh
mendoça,mẽdɔsɐ
mexo,mɐjʃu
fluirá,flwiɾa
eleito,ilejtu
desacompanhei,dɨzɐkõpɐɲej
figueiredo,fiɡɐjɾedu
politólogo,pulitɔluɡu
envelhecimento,ẽvɨʎɨsimẽtu
abate,ɐbatɨ
creditar,kɾɨditaɾ
patogénico,patɔʒɛniku
diogo,djoɡu
descartar,dɨʃkɐɾtaɾ
clame,klɐmɨ
consciente,kõʃsjẽtɨ
taiwanês,tajwɐneʃ
desconvidados,dɨʃkõbidaduʃ
porá,puɾa
aeródromo,ɐɛɾɔdɾumu
renã,ʁɨnɐ̃
portátil,puɾtatil
morador,muɾɐdoɾ
bonitíssimos,bunitisimuʃ
corrida,kuʁidɐ
ondina,õdinɐ
vómico,vɔmiku
vínculo,vĩkulu
milhar,miʎaɾ|mɨʎaɾ
autonómicos,awtunɔmikuʃ
lanceta,lɐ̃setɐ
frases,fɾazɨʃ
auricular,awɾikulaɾ
possível,pusibɛl
tirará,tiɾɐɾa
movimentado,muvimẽtadu
recato,ʁɨkatu
meridional,mɨɾidjunal
caralho,kɐɾaʎu
gincana,ʒĩkɐnɐ
multarias,multɐɾiɐʃ
aduana,ɐdwɐnɐ
laivo,lajbu
antivenéreo,ɐ̃tivɨnɛɾju
expandir,iʃpɐ̃diɾ
autofelação,awtɔfɨlɐsɐ̃w̃
toucinho,towsiɲu
desatinar,dɨzɐtinaɾ
tigre,tiɡɾɨ
polido,pulidu
fatia,fɐtiɐ
checoslovaco,t͡ʃɛkɔʒlɔbɐku
contratenor,kõtɾɐtɨnoɾ
acomodar,ɐkumudaɾ
adversidade,ɐdbɨɾsidadɨ
computemos,kõputemuʃ
cãibra,kɐ̃j̃bɾɐ
militar,mɨlitaɾ
escovinha,iʃkuviɲɐ
honorários,onuɾaɾjuʃ
maçadora,mɐsɐdoɾɐ
tarcísio,tɐɾsizju
construir,kõʃtɾuiɾ
molho,moʎu
voltear,voltjaɾ
ajudar,aʒudah
extratem,eʃtɾatɐ̃j̃
monchique,mõt͡ʃikɨ
pausa,pawzɐ
antirrefletivo,ɐ̃tiʁɨflɛtibu
secundariamente,sɨkũdaɾjɐmẽtɨ
autónoma,awtɔnumɐ
lasca,laʃkɐ
congregação,kõɡɾɨɡɐsɐ̃w̃
eritreu,eɾitɾew
curupira,kuɾupiɾɐ
deturpar,dɨtuɾpaɾ
aerólito,ɐɛɾɔlitu
azulo,ɐzulu
barrará,bɐʁɐɾa
detestável,dɨtɨʃtavɛl
báquico,bakiku
contagiosos,kõtɐʒjɔzuʃ
doleiro,dɔlejɾu
reconciliável,ʁɨkõsiljabɛl
seus,sewʃ
houve,owvɨ
piezoeletricidade,pjɛzɔilɛtɾisidadɨ
beijupirá,bɐjʒupiɾa
gomo,ɡomu
ouvindo,owbĩdu
irresistivelmente,iʁɨziʃtibɛlmẽtɨ
satrapia,sɐtɾɐpiɐ
bicudo,bikudu
hexagonal,ɛɡzɐɡunal
abafadamente,ɐbɐfadɐmẽtɨ
curiúva,kuɾiubɐ
postigo,puʃtiɡu
tangar,tɐ̃ɡaɾ
aldeias,aldɐjɐʃ
legislativas,lɨʒiʒlɐtibɐʃ
multasses,multasɨʃ
colaborar,kulɐbuɾaɾ
espicaçar,iʃpikɐsaɾ
pitar,pitaɾ
prostrar,pɾuʃtɾaɾ
sydney,sidnej
tecnicamente,tɛknikɐmẽtɨ
corroo,kuʁou
ginjeira,ʒĩʒeɾɐ
passeio,pɐseju
apenas,ɐpenɐʃ
conseguir,kõsiɡih
manco,mɐ̃ku
erguendo,eɾɡẽdu
coará,kwɐɾa
abandono,ɐbɐ̃dɔnu
paquistanesas,pɐkiʃtɐnezɐʃ
manivela,mɐnibɛlɐ
penúltimo,pɨnultimu
económico,ikunɔmiku
sairá,sɐiɾa
inimaginável,inimɐʒinavɛl
fechar,fɨt͡ʃaɾ
look,lukɨ
vinífero,vinifɨɾu
caipirão,kajpiɾɐ̃w̃
sepultar,sɨpultaɾ
inconscientemente,ĩkõʃsjẽtɨmẽtɨ
ferromagnético,fɛʁɔmaɡnɛtiku
hortelão,ɔɾtɨlɐ̃w̃
embalsamar,ẽbalsɐmaɾ
polinésia,pulinɛzjɐ
dedução,dɨdusɐ̃w̃
adocionismo,ɐdɔsjuniʒmu
faq,fak
oitubro,ojtubɾu
constantino,kõʃtɐ̃tinu
retraia,ʁɨtɾajɐ
zelha,zɐjʎɐ
polinizar,pulinizaɾ
dirigível,diɾiʒibɛl
mofo,mɔfu
textualmente,tejʃtwalmẽtɨ
veneza,vɨnezɐ
ditar,ditaɾ
cronoespécie,kɾɔnɔiʃpɛsjɛ
esforço,iʃfoɾsu
bordo,boɾdu
cuscuz,kuʃkuʃ
tirinha,tiɾiɲɐ
quantidade,kwɐ̃tidadɨ
radar,ʁɐdaɾ
antiteologia,ɐ̃titjuluʒiɐ
simbolicamente,sĩbɔlikɐmẽtɨ
mixe,miʃɨ
chateado,t͡ʃɐtjadu
intolerável,ĩtulɨɾavɛl
trebelho,tɾɨbeʎu
couto,kotu
ganhador,ɡɐɲɐdoɾ
mero,mɛɾu
antivertigem,ɐ̃tivɨɾtiʒɐ̃j̃
dezena,dɨzenɐ
abati,ɐbɐti
latino,lɐtinu
pique,pikɨ
césares,sɛzaɾɨʃ
congratular,kõɡɾɐtulaɾ
fraudo,fɾawdu
desaforar,dɨzɐfuɾaɾ
advogada,ɐdbuɡadɐ
antitrava,ɐ̃titɾabɐ
consciência,kõʃsjẽsjɐ
antitorpedo,ɐ̃tituɾpedu
moradores,muɾɐdoɾɨʃ
sobrerrepresentar,subɾɨʁɨpɾɨzẽtaɾ
tanso,tɐ̃su
convicção,kõbiksɐ̃w̃
coreia,kuɾejɐ
acalmo,ɐkalmu
plêiades,plɐjɐdɨʃ
faringe,fɐɾĩʒɨ
adufe,ɐdufɨ
dobrável,dubɾabɛl
habilmente,abilmẽtɨ
pteridófita,ptɛɾidɔfitɐ
robô,ʁobo
abalar,ɐbɐlaɾ
védicos,vɛdikuʃ
sumiu,sumiw
textual,tɐjʃtwal
citável,sitabɛl
desvantagem,dɨʒbɐ̃taʒɐ̃j̃
desviar,dɨʒbjaɾ
salomónico,sɐlumɔniku
divisada,divizadɐ
vagará,bɐɡɐɾa
barrava,bɐʁavɐ
jovem,ʒɔvɐ̃j̃
desorganizar,dɨzɔɾɡɐnizaɾ
capuchino,kɐpuʃinu
antiendotóxico,ɐ̃tiẽdɔtɔksiku
sondará,sõdɐɾa
imprevisto,ĩpɾɨviʃtu
bazais,bɐzajʃ
armando,ɐɾmɐ̃du
desencantar,dɨzẽkɐ̃taɾ
rachadura,ʁɐʃɐduɾɐ
azur,ɐzuɾ
mugia,muʒiɐ
levaria,lɨvɐɾiɐ
vinda,vĩdɐ
atemporal,ɐtẽpuɾal
socorre,sukɔʁɨ
artroscópio,ɐɾtɾɔʃkɔpju
arraial,ɐʁɐjal
mangra,mɐ̃ɡɾɐ
umuarama,umwɐɾɐmɐ
chover,t͡ʃubeɾ
esquecível,iʃkɛsibɛl
crepúsculo,kɾɨpuʃkulu
cheque,t͡ʃɛkɨ
seresta,sɨɾɛʃtɐ
luxurioso,luʃuɾjozu
maceteáveis,mɐsɨtjavejʃ
vidinha,vidiɲɐ
suíte,switɨ
dezanove,d͡zɐnɔvɨ
chapecó,t͡ʃɐpɨkɔ
cartográfico,kɐɾtuɡɾafiku
eletrofisiologia,ilɛtɾɔfizjuluʒiɐ
baila,bajlɐ
mó,mɔ
chamejar,t͡ʃɐmɨʒaɾ
abandonaremos,ɐbɐ̃dunɐɾemuʃ
alpinista,alpiniʃtɐ
levaremos,lɨbɐɾemuʃ
afetador,ɐfɛtɐdoɾ
astrosos,ɐʃtɾɔzuʃ
achocolatado,ɐt͡ʃukulɐtadu
feição,fejsɐ̃w̃
distintivas,diʃtĩtibɐʃ
digerível,diʒɨɾibɛl
tadeu,tɐdew
chicla,t͡ʃiklɐ
nantes,nɐ̃tɨʃ
leis,leʃ
mirante,miɾɐ̃tɨ
retificar,ʁɛtifikaɾ
apito,ɐpitu
vede,bɛdɨ
diet,dajt͡ʃ
riba,ʁibɐ
enumerável,inumɨɾavɛl
apresentaram,ɐpɾɨzẽtaɾɐ̃w̃
decidir,dɨsidiɾ
assaltar,ɐsaltaɾ
entrave,ẽtɾabɨ
jacarèzinho,ʒɐkɐɾɛziɲu
pausar,pawzaɾ
premiê,pɾɨmje
espiã,iʃpjɐ̃
excite,eʃsitɨ
agiota,ɐʒjɔtɐ
checa,ʃɛkɐ
abecedário,absdaɾju
insignificância,ĩsiɡnifikɐ̃sjɐ
gentrificação,ʒẽtɾifikɐsɐ̃w̃
apontamento,ɐpõtɐmẽtu
meme,mɛmɨ
mirra,miʁɐ
latiria,lɐtiɾiɐ
boneco,bunɛku
tirivas,tiɾivɐʃ
oiço,ojsu
helvéticas,ɛlbɛtikɐʃ
entender,ĩtẽde
pirenéus,piɾɨnɛwʃ
lacrimejar,lɐkɾimɨʒaɾ
árido,aɾidu
campeirar,kɐ̃pejɾaɾ
pentelho,pẽtɐjʎu
visual,bizwal
atucanáveis,ɐtukɐnabejʃ
cederíamos,sɨdɨɾiɐmuʃ
pousando,pozɐ̃du
marre,maʁɨ
biopirata,biɔpiɾatɐ
molhará,muʎɐɾa
dório,dɔɾju
seríeis,sɨɾieʃ
antirregime,ɐ̃tiʁɨʒimɨ
anaerobiose,ɐnɐɛɾɔbjɔzɨ
ides,idɨʃ
carnívoro,kɐɾnibuɾu
termodinâmicas,tɛɾmɔdinɐmikɐʃ
estufar,iʃtufaɾ
chavelha,ʃɐveʎɐ
ventos,bẽtuʃ
armar,ɐɾmaɾ
antinominalismo,ɐ̃tinuminɐliʒmu
exsurgir,ɐjʃuɾʒiɾ
envelhecimento,ẽbɨʎɨsimẽtu
farnéis,fɐɾnɛjʃ
arbitrariamente,ɐɾbitɾaɾjɐmẽtɨ
aportuguesado,ɐpuɾtuɡɨzadu
texto,tɐjʃtu
antuérpia,ɐ̃twɛɾpjɐ
hidrométrico,idɾumɛtɾiku
judaicamente,ʒudajkɐmẽtɨ
fieis,fjɐjʃ
trítio,tɾitju
infinitamente,ĩfinitɐmẽtɨ
seychelles,sejʃɛlɨʃ
quiabo,kjabu
bipolar,bipulaɾ
seriamente,sɛɾjɐmẽtɨ
oscilar,oʃilaɾ
vinte,bĩtɨ
colares,kulaɾɨʃ
cheio,t͡ʃeju
zona,zɔnɐ
alvito,alvitu
pérsia,pɛɾsjɐ
moldavo,moldabu
intrinsecamente,ĩtɾĩsɨkɐmẽtɨ
bossa,bɔsɐ
preensão,pɾjẽsɐ̃w̃
cingidas,sĩʒidɐʃ
séticos,sɛtikuʃ
bis,biʃ
gaditano,ɡɐditɐnu
antifonia,ɐ̃tifuniɐ
girassol,ʒiɾɐsɔl
houveras,owvɛɾɐʃ
crisol,kɾizɔl
cronobiólogo,kɾɔnɔbiɔluɡu
letras,letɾɐʃ
hajas,aʒɐʃ
exalta,izaltɐ
degelo,d͡ʒelu
mor,moɾ
estrôncio,iʃtɾõsju
api,apei
alimentaríeis,ɐlimẽtɐɾiejʃ
podiam,pudiɐ̃w̃
espécimen,iʃpɛsimɛn
neurológicos,newɾulɔʒikuʃ
breakdance,bɾejkidẽsɪ
benzerá,bẽzɨɾa
utilizareis,utilizɐɾejʃ
cerveja,sɨɾveʒɐ
antivaríola,ɐ̃tibɐɾiulɐ
tumultuo,tumultuu
antissocialidade,ɐ̃tisusjɐlidadɨ
excerto,eʃseɾtu
ouvi,owvi
irresistivelmente,iʁɨziʃtivɛlmẽtɨ
dativo,dɐtibu
magnetismo,maɡnɨtiʒmu
analisável,ɐnɐlizavɛl
antileproso,ɐ̃tilɨpɾozu
gradar,ɡɾɐdaɾ
monádico,munadiku
buxinho,buʃiɲu
agirá,ɐʒiɾa
pulava,pulavɐ
ousar,owzaɾ
sabei,sɐbej
caprichos,kɐpɾit͡ʃuʃ
cesareia,sɨzɐɾɐjɐ
salve,salbɨ
flamejante,flɐmɨʒɐ̃tɨ
vive,bibɨ
atucanavas,ɐtukɐnavɐʃ
barulhinho,bɐɾuʎiɲu
carimbo,kɐɾĩbu
cofiar,kufjaɾ
engraçado,ẽɡɾɐsadu
mercenário,mɨɾsɨnaɾju
alfisol,alfisɔl
hã,ɐ̃
sínquise,sĩkizɨ
ecótono,ɛkɔtunu
maravilhar,mɐɾɐviʎaɾ
desigual,dɨziɡwal
cometeríeis,kumɨtɨɾieʃ
caís,kɐiʃ
relance,ʁɨlɐ̃sɨ
parquinho,pɐɾkiɲu
alheio,ɐʎɐju
faltará,faltɐɾa
torengo,tuɾẽɡu
domicílio,dumisilju
tardio,tɐɾdiu
telemóvel,tɛlɛmɔvɛl
visitação,bizitɐsɐ̃w̃
amaury,ɐmawɾi
antenado,ɐ̃tɨnadu
exclua,ejʃkluɐ
sagrem,saɡɾɐ̃j̃
séptuplo,sɛptuplu
desafivelar,dɨzɐfibɨlaɾ
galar,ɡɐlaɾ
calorenta,kɐluɾẽtɐ
usso,usu
cercai,sɨɾkaj
fatorial,fatuɾjal
houvéssemos,ovɛsɨmuʃ
fuso,fuzu
distinção,diʃtĩsɐ̃w̃
renascentista,ʁɨnɐʃsẽtiʃtɐ
despassarado,dɨʃpɐsɐɾadu
subiu,subiw
instrução,ĩʃtɾusɐ̃w̃
ozono,ɔzonu
precisa,pɾɨsizɐ
acoplar,ɐkuplaɾ
seje,seʒɨ
orar,ɔɾaɾ
monastério,munɐʃtɛɾju
comerei,kumɨɾɐj
intersexualidade,ĩtɛɾsɛkswɐlidadɨ
vergel,bɨɾʒɛl
aceitações,ɐsetɐsõj̃ʃ
antiulcerogênico,ɐ̃tiulsɨɾɔʒeniku
hipovolémicas,ipɔbulɛmikɐʃ
higeia,iʒeɐ
decifrável,dɨsifɾabɛl
vilhancico,viʎɐ̃siku
sódio,sɔdju
quark,kwaɾkɨ
afastado,ɐfɐʃtadu
proparoxítono,pɾɔpɐɾɔksitunu
vólei,vɔlɐj
cleópatra,kliɔpɐtɾɐ
antiliterário,ɐ̃tilitɨɾaɾju
secar,sɨkaɾ
defeção,dɨfɛsɐ̃w̃
sexóloga,sɛksɔluɡɐ
admonitório,ɐdmunitɔɾju
touceira,toseɾɐ
privatizações,pɾibɐtizɐsõj̃ʃ
césio,sɛzju
coudel,kodɛl
equação,ikwɐsɐ̃w̃
rapazes,ʁɐpazɨʃ
cristalização,kɾiʃtɐlizɐsɐ̃w̃
desenvolveu,dɨzẽbolbew
zabaione,zabajɔnɛ
terráqueo,tɨʁakju
teórico,tjɔɾiku
organigrama,ɔɾɡɐniɡɾɐmɐ
ong,ɔɛnɨʒe
márcio,maɾsju
estejam,iʃteʒɐ̃w̃
cartaz,kɐɾtaʃ
cachorro,kɐt͡ʃoʁu
