coch,koːχ
mnemonig,mnɛmɔnɪɡ
anhapus,anhapɪs
mrenhines,mrɛnhɪnɛs
syndodau,səndɔdai̯
cyfranddeiliad,kəvranðei̯ljad
lliwydd,ɬɪu̯ɪð
pabi,paːbi
ganes,ɡanɛs
broblem,brɔblɛm
eosiaid,ɛɔʃɛd
ngwahanol,ŋwahaːnɔl
thôn,θoːn
dyweddïo,dəwɛðiːɔ
llunio,ɬɪnjɔ
werinwr,wɛrɪnʊr
gwylanod,ɡʊi̯laːnɔd
iarll,jarɬ
nghroes,ŋ̊roːs
menywaidd,mɛnɪu̯ai̯ð
glasach,ɡlasaχ
pechadur,pɛχadɪr
cyfareddol,kəvarɛðɔl
cyffin,kəfɪn
preifat,prei̯vat
ymladdfa,əmlaðva
cwstardiau,kʊsdardjɛ
cochion,kɔχjɔn
anghymeradwyaeth,aŋhəmɛradʊi̯ɛθ
cymysgedd,kəməsɡɛð
bwyton,bʊi̯tɔn
garit,ɡarɪt
chwyslyd,χwəslɪd
nobeliwm,nɔbɛljʊm
cudyllod,kɪdəɬɔd
rhanbarth,r̥anbarθ
dylu,dəli
hogan,hɔɡan
chymro,χəmrɔ
gorau,ɡɔrɛ
archwilio,arχwɪljɔ
dalent,daːlɛnt
ffigys,fiːɡɪs
fôn,voːn
cydweithwyr,kɪdwei̯θwɪr
anghyflawn,aŋhəvlau̯n
awchau,au̯χɛ
sbŵl,sbuːl
dois,dɔi̯ʃ
cenhedlaeth,kɛnhɛdlɛθ
gambodiaid,ɡambɔdjai̯d
nheulu,n̥iːli
heirlys,hei̯rlɪs
ferch,vɛrχ
nghemeg,ŋ̊ɛmɛɡ
cyngyd,kəŋɡɪd
mhunnau,m̥ɪnai̯
pwynt,pʊi̯nt
gyddfgoch,ɡəðvɡɔχ
habadaethau,habadei̯θai̯
hydoddedig,hədɔðɛdɪɡ
sandio,sandjɔ
heno,hɛnɔ
tyner,tənɛr
pryder,prədɛr
drysu,drəsi
garddio,ɡarðjɔ
lywyddiaethau,ləu̯əðjei̯θai̯
amdanom,amdaːnɔm
bro,broː
pandy,pandi
dyddiadau,dəðjadɛ
tannau,tanai̯
deugeinfed,dei̯ɡei̯nvɛd
adnebydd,adnɛbɪð
chaiff,χai̯f
nisgwyl,nɪʃɡʊi̯l
wely,wɛli
dorrent,dɔrɛnt
cangarŵod,kaŋɡaruːɔd
gyfreithiwr,ɡəvrei̯θjʊr
prysur,prəsɪr
gellygen,ɡɛɬəɡɛn
tarth,tarθ
theipio,θei̯pɔ
chaerfyrddin,χei̯rfərðɪn
copog,kɔpɔɡ
ffeindio,fɪndɔ
hithau,hɪθɛ
pacio,pakjɔ
magnelwr,maɡneːlʊr
bleidleisio,blei̯dlei̯sjɔ
sâl,saːl
ffeindiaf,fɪndja
synthesis,sɪnθɛsɪs
colledion,kɔɬɛdjɔn
chysgu,χəsɡi
hannwyd,hanʊi̯d
siswrn,sɪsʊrn
almanaciau,almanakjɛ
ata,ata
mewnforiadwy,mɛu̯nvɔrjadʊi̯
pysen,pəsɛn
laddwr,laðʊr
mharcio,m̥arkɔ
gweddïau,ɡwɛðiːɛ
penglog,pɛŋɡlɔɡ
cystadleuaeth,kəsdadlei̯ai̯θ
hych,hiːχ
phara,fara
gwylliaid,ɡʊi̯ɬjai̯d
emau,ɛmɛ
ganddo,ɡanðɔ
chywir,χəu̯ɪr
naidlen,nai̯dlɛn
crwyn,krʊi̯n
alltud,aɬdɪd
ddaeth,ðai̯θ
anheddau,anheːðai̯
allgofnodi,aɬɡɔvnoːdi
rhentwr,r̥ɛntʊr
deffry,dɛfri
adael,adai̯l
cansen,kansɛn
ymdreiddio,əmdreiðjɔ
siân,ʃaːn
byddaru,bəðaːri
sodlau,sɔdlai̯
ngwiwer,ŋwɪu̯ɛr
hoyw,hɔi̯u
thrafod,θravɔd
afocado,avɔkaːdɔ
closed,klɔsɛd
ysgubo,əsɡɪbɔ
deiliaid,dei̯ljɛd
arolygiad,arɔləɡjad
darllenoch,darɬeːnɔχ
cyfrol,kəvrɔl
barti,barti
cardiau,kardjai̯
drafod,dravɔd
argaenau,arɡei̯nɛ
anianau,anjanɛ
siani,ʃaːni
llywyddiaethau,ɬəu̯əðjei̯θɛ
seler,seːlɛr
deallodd,dɛaɬɔð
porth,pɔrθ
derwydd,dɛrwɪð
meddu,mɛði
dodiad,dɔdjad
teimlo,tɪmlɔ
llythyren,ɬəθərɛn
phastai,fasdai̯
cwmpas,kʊmpas
mhencampwr,m̥ɛŋkampʊr
rhifau,r̥iːvai̯
ddes,ðeːs
barbeciws,barbɛkɪu̯z
offerennau,ɔfɛrɛnai̯
sashimi,saʃiːmi
chyfreithiwr,χəvrei̯θjʊr
fwytoch,vʊi̯tɔχ
croesfan,krɔi̯svan
gyfaredd,ɡəvaːrɛð
cyfateb,kəvatɛb
thegan,θɛɡan
tala,tala
môr,moːr
adain,aːdɛn
sgrechian,sɡrɛχjan
rhediadau,r̥ɛdjaːdai̯
acennu,akɛni
tir,tiːr
hirsgwariau,hɪrsɡwarjai̯
rhyddhau,r̥əðhai̯
nitrogen,nɪtrɔɡɛn
buodd,biːɔð
sachell,saχɛɬ
brwsioch,brʊʃɔχ
fam,vam
si,siː
nghymaint,ŋ̊əmɛnt
bedw,bɛdu
gweithgaredd,ɡwei̯θɡaːrɛð
chambodiaidd,χambɔdjai̯ð
gwrendy,ɡwrɛndi
effaith,ɛfɛθ
aeth,aːθ
geisio,ɡei̯sjɔ
aur,ai̯r
agorai,aɡɔrai̯
llysiau,ɬəsjɛ
gwledd,ɡwleːð
chwery,χwɛri
almanac,almanak
feidrau,vei̯drɛ
adaryddiaeth,adarəðjai̯θ
thaliadau,θaljaːdɛ
bocsio,bɔksjɔ
chadair,χadɛr
lysenw,lɪsɛnu
enaid,ɛnai̯d
olwg,ɔlʊɡ
darllenaist,darɬeːnai̯sd
goronafeirws,ɡɔrɔnavei̯rʊs
delynores,dɛlənɔrɛs
ffowla,fou̯la
ciciau,kikjɛ
mlwyddi,mlʊi̯ði
gwningen,ɡʊnɪŋɛn
oriel,ɔrjɛl
didolnodi,dɪdɔlnoːdi
caerwrangon,kai̯rwraŋɔn
ddynes,ðənɛs
aduno,adɪnɔ
rhywedd,r̥ɪu̯ɛð
hunain,hɪnai̯n
cachi,kaːχi
canmoladwy,kanmɔlaːdʊi̯
beidio,beidɔ
ysgadenyn,əsɡadeːnɪn
lysenw,lɪseːnu
malwyr,malwɪr
neud,nei̯d
galler,ɡaɬɛr
llystad,ɬɪsdad
cododd,kɔdɔð
gweithwyr,ɡwei̯θwɪr
gwen,ɡwɛn
asesiadau,asɛʃaːdɛ
teits,tei̯ts
fengach,vɛŋɡaχ
cerais,kɛrai̯s
chait,χai̯t
trywelion,trəu̯ɛljɔn
pwysleisio,pʊi̯slei̯sjɔ
henwebu,hɛnweːbi
phwl,fʊl
chwarel,χwarɛl
gwynion,ɡwənjɔn
galwedigaeth,ɡalwɛdiːɡɛθ
nghae,ŋ̊aː
buddugwr,bɪðɪɡʊr
dulyn,dɪlɪn
wybodaeth,wəbɔdɛθ
heulog,hei̯lɔɡ
cernyw,kɛrnɪu̯
cynnyrch,kənɪrχ
dyrchafu,dərχavi
rufain,rɪvai̯n
mewnforion,mɛu̯nvɔrjɔn
ngoleuadau,ŋɔljaːdɛ
gyrliog,ɡərljɔɡ
amdanon,amdaːnɔn
chylchgrawn,χəlχɡrau̯n
smwddio,smʊðjɔ
ffyrrau,fərai̯
llamhidog,ɬamhiːdɔɡ
gorau,ɡoːrai̯
ieithadur,jeiθaːdɪr
calsiwm,kalsjʊm
archfarchnadoedd,arχvarχnadɔi̯ð
rydd,riːð
cadwch,kadwʊχ
aflwyddiannus,avlʊi̯ðjanɪs
morynnau,mɔrənɛ
clodforedd,klɔdvɔrɛð
dinistrio,dɪnɪsdrjo
plethu,plɛθi
potes,pɔtas
anianau,anjaːnai̯
sais,sai̯s
anrhydeddu,anr̥ədeːði
rhynion,r̥ənjɔn
phobl,fɔbɔl
anweledig,anwɛleːdɪɡ
jyngls,d͡ʒəŋɡlz
braster,brastɛr
caran,kaːran
nawddseintiau,nau̯ðsei̯ntjai̯
prysglwyn,prəsɡlʊi̯n
phethau,feːθai̯
gato,ɡatɔ
adloniadol,adlɔnjaːdɔl
dichon,dɪχɔn
wrthon,ʊrθɔn
wybodaeth,wɪboːdɛθ
gaffer,ɡafɛr
bwlgaria,bʊlɡarja
heblaw,hɛblau̯
ffens,fɛns
adeiladwaith,adei̯ladwai̯θ
codaist,koːdai̯sd
nico,nɪkɔ
talem,talɛm
meddw,meːðu
trwynolyn,trʊi̯nɔlɪn
merlod,mɛrlɔd
olewydd,ɔlɛu̯ɪð
gelen,ɡeːlɛn
diolchgarwch,diɔlχɡarʊχ
swnio,sʊnjɔ
ddarllenon,ðarɬɛnɔn
marchgacynen,marχɡakənɛn
phriodas,frjɔdas
gwelen,ɡwɛlɛn
degawd,deːɡau̯d
mantais,mantai̯s
hechrydus,hɛχrədɪs
tylluan,təɬiːan
dosbarthiadau,dɔsbarθjadai̯
arolwg,arɔlʊɡ
ddafad,ðavad
llungopïwyr,ɬɪŋɡɔpiːwɪr
gwm,ɡʊm
pasiaf,pasja
einion,ei̯njɔn
conwydd,koːnʊi̯ð
golff,ɡɔlf
dudno,dɪdnɔ
delais,dɛlai̯s
adwaenant,adwei̯nant
choginioch,χɔɡɪnjɔχ
ffawt,fau̯t
gweriniaeth,ɡwɛrɪnjɛθ
laeth,lai̯θ
adlef,adlɛv
dadleoli,dadlɛɔli
gwerthwyr,ɡwɛrθwɪr
bob,boːb
gymnasteg,d͡ʒɪmnasdɛɡ
aeth,ai̯θ
hedd,heːð
adweinaf,adwei̯nav
taeru,tiːri
fychan,fəχan
chwerwddwr,χwɛrwðʊr
berfenw,bɛrveːnu
cyfiawnhad,kəvjau̯nhaːd
nghegin,ŋ̊eːɡɪn
hondwras,hɔnduːras
redais,reːdai̯s
chana,χaːna
arwr,aːrʊr
deuddeg,dei̯ðɛɡ
eiriadurwr,ei̯rjadiːrʊr
llyfr,ɬɪvɪr
weler,weːlɛr
waliau,waljɛ
addef,aːðɛv
oed,ɔi̯d
mhladur,m̥laːdɨɪr
awyren,au̯ərɛn
basech,basɛχ
hinon,hiːnɔn
aerobeg,ei̯roːbɛɡ
fietnam,vjɛtnam
busnes,bɪsnɛs
unigol,ɪniːɡɔl
ganu,ɡaːni
cyflogaeth,kəvloːɡai̯θ
choronafeirws,χɔrɔnavei̯rʊs
nerw,nɛru
mwng,mʊŋ
fysedd,vəsɛð
cwympo,kʊmpɔ
canmoliaeth,kanmɔljɛθ
gyddfau,ɡəðvai̯
gafael,ɡavai̯l
daearyddiaeth,dei̯arəðjai̯θ
cotiau,kɔtɛ
aeddfed,ei̯ðvɛd
wybodaeth,wəboːdɛθ
phrydain,frədai̯n
stemar,sdɛmar
welaist,wɛlɛst
elyn,eːlɪn
uned,ɪnɛd
califforniwm,kalɪfɔrnjʊm
epidemigau,ɛpɪdɛmɪɡai̯
daearegwyr,dei̯arɛɡwɪr
adferiadau,advɛrjadai̯
sebon,seːbɔn
treiddio,treiðjɔ
tyn,tɪn
chladdu,χlaði
rwyt,rʊi̯t
drost,drɔsd
trionglau,trɪɔŋlai̯
ameba,ameːba
glefyd,ɡlɛvɪd
duwiau,dɪu̯jɛ
grôt,ɡroːt
ticio,tɪkjɔ
nghelyn,ŋ̊eːlɪn
llawen,ɬau̯ɛn
gweithiwr,ɡwei̯θjʊr
fenywaidd,vɛnəu̯ɛð
broblemau,brɔbleːmɛ
cytganau,kətɡaːnai̯
masgau,masɡai̯
cannydd,kanɪð
lleinw,ɬei̯nu
rhostog,r̥ɔsdɔɡ
ngolwg,ŋɔlʊɡ
tiroedd,tɪrɔi̯ð
ymrysonydd,əmrəsɔnɪð
caergrawnt,kai̯rɡrau̯nt
corrach,kɔraχ
sgydau,sɡədai̯
ymddwyn,əmðʊi̯n
asynnod,asənɔd
cledr,kleːdɛr
wythnos,ʊsnɔθ
crasddadrwydd,krasðadrʊi̯ð
amdanot,amdaːnɔt
ymryson,əmrəsɔn
arweinydd,arwei̯nɪð
deffro,dɛfrɔ
berl,bɛrl
llywyddes,ɬəu̯əðɛs
llachar,ɬaχar
trombonau,trɔmboːnɛ
ffyrdd,fɪrð
rhaith,r̥ai̯θ
pedwarawd,pɛdwaːrau̯d
cae,kai̯
rhwyd,r̥ʊi̯d
gwystl,ɡwɪsdl
telynoresau,tɛlənɔrɛsai̯
pluen,pliːɛn
bwytadwy,bʊi̯tadʊi̯
hydrefau,hədrɛvɛ
slebog,sleːbɔɡ
eni,eːni
cadeirlan,kadei̯rlan
oleuadau,ɔlei̯aːdɛ
fwlgaria,vʊlɡarja
tala,taːla
cachai,kaːχai̯
chamerŵn,χamɛruːn
cheffyl,χɛfɪl
ymwelydd,əmweːlɪð
hamod,hamɔd
ricriwtiaid,rɪkrɪu̯tjai̯d
adnewyddu,adneu̯əði
dirwy,dɪrʊi̯
phigynnau,fɪɡənai̯
ganes,ɡaːnɛs
oddi,ɔði
crist,krɪst
eryr,ɛrɪr
diddori,dɪðoːri
wladgar,wladɡar
datgan,datɡan
llysiau,ɬɪsjɛ
deigryn,dei̯ɡrɪn
bigynnau,bɪɡənai̯
gwanu,ɡwaːni
bigyn,biːɡɪn
doem,dɔi̯m
torrai,tɔrai̯
huna,hiːna
bwyta,bʊi̯ta
allfudo,aɬvɪdɔ
gall,ɡaɬ
palimpsest,palɪmpsɛsd
ddyn,ðiːn
fordydd,vɔrdɪð
gwelaist,ɡweːlai̯st
iddewes,ɪðɛu̯ɛs
pys,piːs
rhufain,r̥iːvai̯n
lysieuwr,ləsjei̯ʊr
gefail,ɡɛvai̯l
ddyfrgi,ðəvrɡi
wnei,wnei̯
ocsiynau,ɔkʃənai̯
morwennol,moːrwɛnɔl
mheiriannwyr,m̥ei̯rjanwɪr
arglawdd,arɡlau̯ð
anadlu,anadli
gôl,ɡoːl
mordeithiau,mɔrdei̯θjɛ
tenantiaethau,tɛnantjei̯θɛ
planhigyn,planhɪɡɪn
rith,riːθ
esgaladur,ɛsɡaladɪr
forio,vɔrjɔ
nudd,niːð
titaniwm,tɪtanjʊm
gwayw,ɡwei̯u
wociau,wɔkjɛ
dân,daːn
deugeiniau,dei̯ɡei̯njai̯
disgynebau,dɪsɡənɛbɛ
angorau,aŋɔraɛ
hafodau,havoːdɛ
chroatia,χrɔatja
chadeiriau,χadei̯rjɛ
teisen,tei̯sɛn
talit,taːlɪt
bellach,bɛɬaχ
addolwr,aðoːlʊr
gweryd,ɡwɛrɪd
degau,deːɡɛ
cymreigio,kəmrei̯ɡjɔ
gobr,ɡɔbr
adrodd,adrɔð
chael,χai̯l
ddewis,ðɛu̯iʃ
safon,savɔn
gwyrddlas,ɡwɪrðlas
awtistiaeth,au̯tɪsdjɛθ
annedd,anɛð
ddarllenoch,ðarɬeːnɔχ
porffor,pɔrfɔr
ngwddw,ŋuːðu
fysedd,vɪsɛ
anodded,anoːðɛd
gansai,ɡansai̯
rhedodd,r̥eːdɔð
nodau,nɔdai̯
mambŵ,mambuː
bigau,biːɡɛ
eisoes,ei̯ʃɔs
echnos,ɛχnɔs
tato,tatɔ
elont,ɛlɔnt
afallen,avaɬɛn
haearn,hei̯arn
berth,bɛrθ
ffenast,feːnasd
cathau,kaθɛ
lwyth,lʊi̯θ
aseswyr,asɛswɪr
nghogyddesau,ŋ̊ɔɡəðɛsɛ
llac,ɬak
canada,kaːnada
chwydd,ʍiːð
olwyn,oːlʊi̯n
basynnau,basənai̯
goes,ɡoːs
chanada,χaːnada
cynorthwyo,kənɔrθʊi̯ɔ
crwst,krʊsd
asgell,asɡɛɬ
talent,talɛnt
afondaith,avɔndai̯θ
ddeilen,ðei̯lɛn
thrawn,θrau̯n
paris,paːrɪs
gallio,ɡaɬjɔ
helpon,hɛlpɔn
gachais,ɡaχai̯s
nhatws,n̥atʊs
darllenais,darɬɛnai̯s
pydredd,pədrɛð
u,iːɡʊpan
croeshoeliad,krɔi̯shɔi̯ljad
mên,meːn
mêl,meːl
ngwerinwr,ŋwɛrɪnʊr
amlach,amlaχ
glosen,ɡlɔsɛn
celwydd,kɛlwɪð
cwcabyra,kʊkabəra
deuparth,dei̯parθ
deall,deːaɬ
llysfab,ɬɪsvab
cyfrinair,kəvrɪnai̯r
ocsigenu,ɔksɪɡɛni
mhigau,m̥ɪɡɛ
bwytoch,bʊi̯tɔχ
hymenyn,həmɛnɪn
mleiddiaid,mlei̯ðjɛd
oedolyn,ɔi̯dɔlɪn
bôn,boːn
rwanda,rʊanda
colled,kɔɬɛd
trowch,trou̯χ
tanbaid,tambai̯d
gweles,ɡwɛlɛs
chysgon,χəsɡɔn
wrywaidd,ʊrɪu̯ai̯ð
gwladgarwyr,ɡwladɡarwɪr
deipio,dei̯pjɔ
fachgen,vaχɡɛn
ffensio,fɛnʃɔ
sarhau,sarhai̯
affganistan,afɡanɪsdan
nhafarnwraig,n̥aːvarnwrai̯ɡ
ofn,ɔvn
nawr,nau̯r
adennill,adɛnɪɬ
catholigiaeth,kaθɔlɪɡjɛθ
crychau,krəχai̯
falle,vaɬɛ
liwgar,lɪu̯ɡar
peiriannwr,pei̯rjanʊr
berfau,bɛrvai̯
codon,koːdɔn
nghlêr,ŋ̊leːr
prydain,prədai̯n
creto,krɛtɔ
thalai,θalɛ
gemau,ɡɛmɛ
sych,siːχ
carai,kaːrai̯
crythau,krəθai̯
adfywiol,advɪu̯jɔl
rheoliad,r̥ɛɔljad
pedoli,pɛdoːli
angladd,aŋlað
chrwys,χrʊɪ̯s
gwastad,ɡwasdad
bynsen,bənsɛn
gwybedog,ɡwəbɛdɔɡ
thlawd,θlau̯d
nheledu,n̥ɛleːdi
nghoed,ŋ̊ɔi̯d
achub,aχɪb
gorffennaf,ɡɔrfɛnav
geiriogrwydd,ɡei̯rjɔɡrʊi̯ð
geneth,ɡeːnɛθ
gasglu,ɡasɡli
gwybod,ɡʊbɔd
enillon,ɛnɪɬɔn
gafael,ɡavɛl
symudon,səmiːdɔn
llythrennu,ɬəθrɛni
eangfrydig,ɛaŋvrədɪɡ
penbleth,pɛmblɛθ
delyn,dɛlɪn
heirlysiau,hei̯rləsjai̯
gofal,ɡɔval
symudodd,səmɪdɔð
cymraeg,kʊmraːɡ
helc,hɛlk
pigynnau,pɪɡənai̯
cwsmer,kʊsmɛr
hwyr,hʊi̯r
cyfeirnodau,kəvei̯rnoːdɛ
wyddbwyll,ʊi̯ðbʊi̯ɬ
addurnwr,aðɪrnjʊr
ewyllys,ɛu̯əɬɪs
garreg,ɡarɛɡ
modfedd,mɔdvɛð
ffrind,frɪnd
dadwreiddio,dadrɛi̯ðɔ
nodi,noːdi
ddarnau,ðarnɛ
aradr,aradr
cwpan,kʊpan
unais,iːnai̯s
ariannin,arjanɪn
seiclon,sei̯klɔn
adweithegydd,adwei̯θɛɡɪð
tawelyn,tau̯eːlɪn
pwl,pʊl
charo,χaːrɔ
iechyd,jɛχɪd
lestri,lɛstri
wn,ʊn
habatir,habatɪr
fe,veː
bri,briː
nghyfaredd,ŋ̊əvarɛð
effeithiau,ɛfei̯θjai̯
cenhinen,kɛnhiːnɛn
ceulo,kei̯lɔ
gweinyddwr,ɡwei̯nəðʊr
adfeddiannu,advɛðjani
mhengwiniaid,m̥ɛŋɡwɪnjɛd
llwythwch,ɬʊi̯θʊχ
prifddinas,prɪvðiːnas
glynol,ɡlənɔl
chanfyddadwy,χanvəðadʊi̯
anffodus,anfɔdɪs
ngwinoedd,ŋwiːnɔi̯ð
rwbidiwm,rʊbɪdjʊm
mhigwrn,m̥iːɡʊrn
gwymona,ɡwɪmoːna
trafferthion,trafɛrθjɔn
llurs,ɬɪrs
archdderwydd,arχðɛrwɪð
ymrafael,əmravai̯l
ydy,ədi
phencampwr,fɛŋkampʊr
arwynebeddau,arʊi̯nɛbeːðai̯
cogyddesau,kɔɡəðɛsai̯
heraill,heːraiɬ
lanach,lanaχ
rhyddfreiniwr,r̥əðvrei̯njʊr
gwladgar,ɡwladɡar
cares,kaːrɛs
mynachlogydd,mənaχlɔɡɪð
ga,ɡaː
nghnau,ŋ̊nai̯
dibwys,dɪbʊi̯s
chae,χai̯
tyb,tiːb
adwthio,adʊθjɔ
fanadiwm,vanadjʊm
clicio,klɪkɔ
lyfr,lɪvɪr
folifia,vɔlɪvja
cyfeiriau,kəvei̯rjai̯
gwrthryfel,ɡʊrθrəvɛl
dawn,dau̯n
pori,poːri
rhosod,r̥ɔsɔd
pleidiol,plei̯djɔl
tinfelyn,tɪnvɛlɪn
hanafu,hanaːvi
is,iːs
delom,dɛlɔm
gefnfor,ɡɛvɛnvɔr
lleianaeth,ɬei̯aːnai̯θ
plismones,plismɔnɛs
teimlo,tei̯mlɔ
frenin,vrɛnɪn
arafwch,araːvʊχ
nelw,nɛlu
llusgo,ɬɪsɡɔ
dot,dɔt
cnawdol,knau̯dɔl
caersallog,kai̯rsaɬɔɡ
nghoch,ŋ̊oːχ
disgynneb,dɪsɡənɛb
adroddaf,adroːða
digidau,dɪɡɪdai̯
elai,eːlɛ
cefnwyn,kɛvnwɪn
mari,mari
pincod,pɪŋkɔd
barotach,barɔtaχ
buan,biːan
màs,mas
morynnau,mɔrənai̯
damweinio,damwei̯njɔ
nghysawd,ŋ̊əsau̯d
lygoden,ləɡɔdɛn
wael,wai̯l
lewys,lɛu̯ɪs
meddai,meːðai̯
garant,ɡaːrant
hoffen,hɔfɛn
ffonau,foːnɛ
beirniadaeth,bei̯rnjadai̯θ
trwbl,truːbʊl
tarw,taːru
cyff,kiːf
gwenwyn,ɡwɛnʊi̯n
galli,ɡaɬi
bonheddig,bɔnhɛðɪɡ
siwrnai,ʃʊrnɛ
copïo,kɔpiːɔ
cydgordio,kɪdɡɔrdjɔ
rhoddwr,r̥oːðʊr
glwb,ɡlʊb
caerloyw,kai̯rlɔi̯u
pydru,pədri
ymgyrchydd,əmɡərχɪð
torren,tɔrɛn
emyr,ɛmɪr
troed,troːd
garent,ɡaːrɛnt
rosod,rɔsɔd
cheir,χei̯r
hoffi,hɔfi
leicia,lei̯kja
bryna,brəna
daearyddiaeth,dei̯arəðjɛθ
redon,reːdɔn
pechadur,pɛχaːdɪr
llymder,ɬəmdɛr
foli,vɔli
lwtetiwm,lʊtɛtjʊm
eirina,ei̯rɪna
ngyrru,ŋəri
beirniaid,bei̯rnjɛd
boneddigesau,bɔnɛðɪɡɛsɛ
ymrysonwyr,əmrəsɔnwɪr
arfedd,arvɛð
gweler,ɡweːlɛr
ddeuddeg,ðei̯ðɛɡ
odi,ɔdi
gwern,ɡwɛrn
mewn,mɪu̯n
siomedig,ʃɔmɛdɪɡ
gwedd,ɡweːð
rhentu,r̥ɛnti
llyffant,ɬəfant
lwydaidd,lʊi̯dai̯ð
talen,taːlɛn
ngweinidogion,ŋwei̯nɪdɔɡjɔn
ffyniant,fənjant
ffordd,fɔr
argraffiadaeth,arɡrafjaːdɛθ
llywio,ɬɪu̯jɔ
adferent,adveːrɛnt
mwynach,mʊi̯naχ
lyfr,lɪvr
shibwns,ʃɪbʊns
iwerddon,ɪu̯ɛrðɔn
basen,sɛn
garais,ɡaːrai̯s
streip,sdrei̯p
cynghori,kəŋhɔri
ymlaen,mlaːn
coll,koːɬ
dyslecsia,dɪslɛksja
ferfenw,vɛrveːnu
rhinart,r̥ɪnart
pwyllgora,pʊi̯ɬɡoːra
cacha,kaχa
blasau,blasai̯
cleren,kleːrɛn
pab,paːb
gweill,ɡwei̯ɬ
cymwys,kəmʊi̯s
fàs,vas
llyfed,ɬəvɛd
menyn,mɛnɪn
celfi,kɛlvi
mhaith,m̥ai̯θ
cambodiaidd,kambɔdjai̯ð
feirysau,vei̯rəsɛ
ddau,ðai̯
ffensio,fɛnsjɔ
dasmania,dazmanja
rhedaist,r̥eːdɛsd
elych,ɛlɪχ
ganu,ɡani
yfed,iːvɛd
lechi,lɛχi
ad,aːd
gait,ɡai̯t
heiddiw,hei̯ðɪu̯
arni,arni
llysieuwr,ɬəʃei̯ʊr
anhygoel,anhəɡɔi̯l
ymrafael,əmraːvɛl
pedolau,pɛdɔlɛ
brysur,brəsɪr
ryseitiau,rəsei̯tjɛ
corffor,kɔrfɔr
flodyn,vloːdɪn
baeau,bei̯ɛ
ddigidol,ðɪɡiːdɔl
timau,tɪmɛ
cusanau,kɪsaːnɛ
aeronen,ei̯roːnɛn
dyddiau,dəðjai̯
llythyrennau,ɬəθərɛnai̯
gwŷs,ɡwiːs
agerlongau,aɡɛrlɔŋɛ
ngwyddbwyll,ŋʊi̯ðbʊi̯ɬ
prifair,priːvai̯r
ofni,ɔvni
adlewyrchydd,adlɛu̯ərχɪð
awstria,au̯strja
dynwared,dənwaːrɛd
arwynebeddau,arʊi̯nɛbɛðɛ
delwyn,dɛlwɪn
hirddisgwyliedig,hiːrðɪsɡʊi̯ljeːdɪɡ
allweddellau,aɬwɛðɛɬɛ
wnsach,ʊnsaχ
canwraidd,kanwrai̯ð
ffensys,fɛnsɪz
magnelau,maɡneːlai̯
mheiriannydd,m̥ei̯rjanɪð
taranau,taranɛ
dynion,dənɔn
cenhinen,kɛnhɪnɛn
dathlu,daθli
briodas,brjoːdas
ddeud,ðei̯d
mronlas,mrɔnlas
gorasgellu,ɡɔrasɡɛɬi
caernarfon,kairnarvɔn
boneddiges,bɔnɛðiːɡɛs
ymddiheuro,əmðɪhei̯rɔ
smygu,sməɡi
afancod,avaŋkɔd
nghar,ŋ̊ar
dyledion,dəlɛdjɔn
sirconiwm,zɪrkɔnjʊm
ryfelwr,rəvɛlʊr
ffrwchnedden,frʊχneːɛn
telid,tɛlɪd
contractau,kɔntraktai̯
cotiau,kɔtjɛ
sesh,sɛʃ
pla,plaː
wrth,ʊθ
lifftiau,lɪfdjai̯
beirniadaethau,bei̯rnjadei̯θai̯
ffliw,flɪu̯
ricriwtiaid,rɪkrɪu̯tjɛd
cwymplen,kʊi̯mplɛn
ioan,jɔan
nghariad,ŋ̊arjad
pedwaredd,pɛdwarɛð
ŷ,iː
caleted,kalɛtɛd
ffenestr,feːnɛsdr
torheulo,tɔrhei̯lɔ
bai,bai̯
pig,piːɡ
tyst,tɪsd
gacen,ɡakɛn
thaliadau,θaljadɛ
blaned,blanɛd
hesg,hɛsɡ
ystafell,sdavɛɬ
seineg,sei̯nɛɡ
brynbuga,brɪnbɪɡa
nghymru,ŋ̊əmri
cynnes,kənɛs
tafwys,taːvʊi̯s
llost,ɬɔsd
mherthnasau,m̥ɛrθnasɛ
plygiau,pləɡjɛ
phib,fiːb
rhian,r̥iːan
her,hɛr
berthnasau,bɛrθnasai̯
chwech,hweːχ
gares,ɡaːrɛs
rhwng,r̥ʊŋ
utganu,ɪtɡani
twym,tʊi̯m
aradr,aːrad
arddelwon,arðɛlwɔn
adferfol,advɛrvɔl
agorfa,aɡɔrva
bwgan,buːɡan
doer,dɔi̯r
darlunio,darlɪnjɔ
seinegol,sei̯nɛɡɔl
bwytadwy,bʊi̯taːdʊi̯
henghraifft,hɛŋ̊rai̯fd
ffowlyn,fou̯lɪn
gweithredoedd,ɡwei̯θrɛdɔi̯ð
tenau,tɛnɛ
gweithio,ɡwei̯θɔ
mhacio,m̥akjɔ
gwymona,ɡʊi̯moːna
amrywiaeth,amrɪu̯jai̯θ
prifgost,prɪvɡɔsd
daioni,dajoːni
namwain,namwai̯n
abadaethau,abadei̯θɛ
jyngl,d͡ʒəŋɡl
lleianod,ɬei̯anɔd
melin,meːlɪn
seinegydd,sei̯nɛɡɪð
nythu,nəθi
cara,kaːra
pont,pɔnt
cathod,kaθɔd
gweithdy,ɡwei̯θdi
enid,ɛnɪd
