görülmeyen,ɡœɾylmejen
bilgisi,bilɡisi
tablet,tablet
sabit,sabit
heyecanlanmış,hejed͡ʒanlanmɯʃ
yumuşayınca,jumuʃajɯnd͡ʒa
çürütmeleri,t͡ʃyɾytmeleɾi
bulunuyoruz,bulunujoɾuz
sınıfı,sɯnɯfɯ
belirtmeliyim,beliɾtmelijim
kızımın,kɯzɯmɯn
kapısını,kapɯsɯnɯ
hastahanesine,hastahanesine
kumandasıyla,kumandasɯjla
düşünüyorum,dyʃynyjoɾum
soysun,sojsun
cumaya,d͡ʒumaja
yeryüzünde,jeɾjyzynde
olabilmekte,olabilmekte
alanın,alanɯn
farklar,faɾklaɾ
yayınlarıyla,jajɯnlaɾɯjla
eminim,eminim
yapanlar,japanlaɾ
başlamışken,baʃlamɯʃken
yapılmamalıydı,japɯlmamalɯjdɯ
ermişti,eɾmiʃti
oluşumların,oluʃumlaɾɯn
takası,takasɯ
motorlarının,motoɾlaɾɯnɯn
yaptırmak,japtɯɾmak
durumlarının,duɾumlaɾɯnɯn
vatanının,vatanɯnɯn
yıllarında,jɯllaɾɯnda
ameliyat,amelijat
miktarda,miktaɾda
tartışmak,taɾtɯʃmak
imkânsızdı,imkânsɯzdɯ
haklara,haklaɾa
sakat,sakat
vicdan,vid͡ʒdan
anketler,anketleɾ
kimlerin,kimleɾin
fenci,fend͡ʒi
haberde,habeɾde
sene,sene
başlarıyla,baʃlaɾɯjla
ortaklık,oɾtaklɯk
terazinin,teɾazinin
soruşturmama,soɾuʃtuɾmama
terlememek,teɾlememek
ışımalı,ɯʃɯmalɯ
kavgaya,kavɡaja
seçik,set͡ʃik
kişiydi,kiʃijdi
yayında,jajɯnda
tanrıbilim,tanɾɯbilim
uyanış,ujanɯʃ
ressamdı,ɾessamdɯ
aradayken,aɾadajken
konuşacak,konuʃad͡ʒak
işçisi,iʃt͡ʃisi
beyden,bejden
alanınız,alanɯnɯz
dünyaya,dynjaja
kullanıyor,kullanɯjoɾ
iri,iɾi
sayılırım,sajɯlɯɾɯm
öğrenildi,œɰɾenildi
bekleyenlerin,beklejenleɾin
karşılık,kaɾʃɯlɯk
katlanabilirdi,katlanabiliɾdi
yaşanabiliyor,jaʃanabilijoɾ
korkmuyor,koɾkmujoɾ
yurttaşlar,juɾttaʃlaɾ
şekercilere,ʃekeɾd͡ʒileɾe
işlevi,iʃlevi
manada,manada
polisler,polisleɾ
izliyordu,izlijoɾdu
çıkışı,t͡ʃɯkɯʃɯ
katmazsak,katmazsak
inanç,inant͡ʃ
somut,somut
yapacak,japad͡ʒak
bölüştür,bœlyʃtyɾ
aşağıdakilerden,aʃaɰɯdakileɾden
tahtası,tahtasɯ
edemediği,edemediɰi
müfettişliklerinden,myfettiʃlikleɾinden
hazırlamış,hazɯɾlamɯʃ
eksilir,eksiliɾ
hastalıklarına,hastalɯklaɾɯna
sekreterliği,sekɾeteɾliɰi
suçlanır,sut͡ʃlanɯɾ
görevini,ɡœɾevini
alkolik,alkolik
hissetmenize,hissetmenize
modeli,modeli
sıkkındı,sɯkkɯndɯ
otokontrol,otokontɾol
anlaşılamayan,anlaʃɯlamajan
uzantılarıyla,uzantɯlaɾɯjla
dinmezken,dinmezken
yazısına,jazɯsɯna
parçalıyor,paɾt͡ʃalɯjoɾ
durumunu,duɾumunu
belirttiğim,beliɾttiɰim
devre,devɾe
üslûbu,yslûbu
fiş,fiʃ
bilmemiş,bilmemiʃ
ordu,oɾdu
diyeceğim,dijed͡ʒeɰim
dördüncü,dœɾdynd͡ʒy
davranışlar,davɾanɯʃlaɾ
yedekleme,jedekleme
soğuması,soɰumasɯ
ilköğretim,ilkœɰɾetim
kapısında,kapɯsɯnda
başlatmaya,baʃlatmaja
hikayesinden,hikajesinden
görmeleri,ɡœɾmeleɾi
cam,d͡ʒam
kayıyordu,kajɯjoɾdu
kiloluk,kiloluk
beraberliği,beɾabeɾliɰi
ölçüsünden,œlt͡ʃysynden
geçtiğimiz,ɡet͡ʃtiɰimiz
etkinliğe,etkinliɰe
ölçüsünü,œlt͡ʃysyny
birliklere,biɾlikleɾe
sokmayınız,sokmajɯnɯz
koyacak,kojad͡ʒak
iniş,iniʃ
eksikliği,eksikliɰi
kupada,kupada
açılan,at͡ʃɯlan
kımıldamadı,kɯmɯldamadɯ
hâlinizde,hâlinizde
cinstir,d͡ʒinstiɾ
savunulabilir,savunulabiliɾ
başvurmak,baʃvuɾmak
çık,t͡ʃɯk
soyunup,sojunup
disiplinini,disiplinini
fotoğrafçılığın,fotoɰɾaft͡ʃɯlɯɰɯn
faydasız,fajdasɯz
hatası,hatasɯ
liflerini,lifleɾini
makamında,makamɯnda
kesiyor,kesijoɾ
sınıflarda,sɯnɯflaɾda
çıkarılacak,t͡ʃɯkaɾɯlad͡ʒak
yatmıştır,jatmɯʃtɯɾ
postmodern,postmodeɾn
sakinleri,sakinleɾi
kararmış,kaɾaɾmɯʃ
dallarının,dallaɾɯnɯn
ilçe,ilt͡ʃe
dönemlerinde,dœnemleɾinde
aldık,aldɯk
idealizm,idealizm
uğradığında,uɰɾadɯɰɯnda
değişimin,deɰiʃimin
kutlamalıyız,kutlamalɯjɯz
damarı,damaɾɯ
gidilmemesi,ɡidilmemesi
öldürülmesi,œldyɾylmesi
arzulu,aɾzulu
girenlerin,ɡiɾenleɾin
ökçeli,œkt͡ʃeli
layık,lajɯk
rafine,ɾafine
öğrencisinin,œɰɾend͡ʒisinin
duruşmasına,duɾuʃmasɯna
torunların,toɾunlaɾɯn
odanda,odanda
tabelayı,tabelajɯ
gösterebilir,ɡœsteɾebiliɾ
bağlamda,baɰlamda
dehası,dehasɯ
yolları,jollaɾɯ
dünyamda,dynjamda
gören,ɡœɾen
kalabildi,kalabildi
bıraktı,bɯɾaktɯ
abartılmaması,abaɾtɯlmamasɯ
dahiler,dahileɾ
güzelsin,ɡyzelsin
besteleri,besteleɾi
merakımız,meɾakɯmɯz
hükmetti,hykmetti
duygulara,dujɡulaɾa
açarken,at͡ʃaɾken
rastlantısal,ɾastlantɯsal
telaşıyla,telaʃɯjla
birbirlerinden,biɾbiɾleɾinden
emme,emme
toplamışlardı,toplamɯʃlaɾdɯ
oyuncuları,ojund͡ʒulaɾɯ
camidir,d͡ʒamidiɾ
operasyonunu,opeɾasjonunu
dağıldı,daɰɯldɯ
bahçelerde,baht͡ʃeleɾde
ederek,edeɾek
elçiliğini,elt͡ʃiliɰini
sarmalıyor,saɾmalɯjoɾ
yasalar,jasalaɾ
yerdedir,jeɾdediɾ
oturtmuş,otuɾtmuʃ
duyuru,dujuɾu
idamı,idamɯ
dediklerini,dedikleɾini
toparlandılar,topaɾlandɯlaɾ
dağılacağız,daɰɯlad͡ʒaɰɯz
bulacağımız,bulad͡ʒaɰɯmɯz
yarına,jaɾɯna
mutlulukla,mutlulukla
köktendincilerin,kœktendind͡ʒileɾin
firma,fiɾma
kalmıştı,kalmɯʃtɯ
geçirebildiği,ɡet͡ʃiɾebildiɰi
yapıyorsun,japɯjoɾsun
sıfatına,sɯfatɯna
kahramanlara,kahɾamanlaɾa
duyduysanız,dujdujsanɯz
oturuveriyorlar,otuɾuveɾijoɾlaɾ
gazetelerin,ɡazeteleɾin
rehin,ɾehin
muhatabı,muhatabɯ
ihaleler,ihaleleɾ
galiba,ɡaliba
askerlerim,askeɾleɾim
alınmadan,alɯnmadan
durumlarla,duɾumlaɾla
polisin,polisin
başparmağında,baʃpaɾmaɰɯnda
olduğumuz,olduɰumuz
durmuştur,duɾmuʃtuɾ
olanak,olanak
gösterileri,ɡœsteɾileɾi
salyangozun,saljanɡozun
alınacağı,alɯnad͡ʒaɰɯ
kayıt,kajɯt
özelliğe,œzelliɰe
dağıtmayacak,daɰɯtmajad͡ʒak
hükümdarı,hykymdaɾɯ
resimleyiniz,ɾesimlejiniz
yaşarlardı,jaʃaɾlaɾdɯ
kapılmıyorsunuz,kapɯlmɯjoɾsunuz
süreçte,syɾet͡ʃte
sel,sel
demir,demiɾ
karakterinin,kaɾakteɾinin
hızlı,hɯzlɯ
yetişme,jetiʃme
eylemin,ejlemin
şampiyonlara,ʃampijonlaɾa
kâinatı,kâinatɯ
çıkışın,t͡ʃɯkɯʃɯn
toplanır,toplanɯɾ
aralandı,aɾalandɯ
sıyrıklarından,sɯjɾɯklaɾɯndan
anımsadıklarına,anɯmsadɯklaɾɯna
kurulayın,kuɾulajɯn
yetenekler,jetenekleɾ
acıtır,ad͡ʒɯtɯɾ
faydalarını,fajdalaɾɯnɯ
dernekleri,deɾnekleɾi
telaşımı,telaʃɯmɯ
dışına,dɯʃɯna
düzelmesini,dyzelmesini
kıyılarındaki,kɯjɯlaɾɯndaki
görüşmelerin,ɡœɾyʃmeleɾin
doğmasına,doɰmasɯna
sıralanıyor,sɯɾalanɯjoɾ
göreceğiz,ɡœɾed͡ʒeɰiz
manzaralardan,manzaɾalaɾdan
süreciyle,syɾed͡ʒijle
lambaları,lambalaɾɯ
duyuran,dujuɾan
kamuoyunun,kamuojunun
düzeltmez,dyzeltmez
anılan,anɯlan
verebilecek,veɾebiled͡ʒek
yıl,jɯl
toplatıldığını,toplatɯldɯɰɯnɯ
otellerden,otelleɾden
ceza,d͡ʒeza
öykülerimdeki,œjkyleɾimdeki
pozisyonlarına,pozisjonlaɾɯna
teknede,teknede
dolarlık,dolaɾlɯk
mini,mini
metresini,metɾesini
isteyecekler,istejed͡ʒekleɾ
milli,milli
bulmak,bulmak
yıldızlan,jɯldɯzlan
olmuştuk,olmuʃtuk
düşermiş,dyʃeɾmiʃ
kırdıklarını,kɯɾdɯklaɾɯnɯ
baston,baston
tu,tu
yükseliyorsa,jykselijoɾsa
yönetmeni,jœnetmeni
kısıt,kɯsɯt
attığım,attɯɰɯm
yanlarını,janlaɾɯnɯ
yürüttük,jyɾyttyk
çıkık,t͡ʃɯkɯk
bücürlerin,byd͡ʒyɾleɾin
içeride,it͡ʃeɾide
sentezin,sentezin
yükümlülüğü,jykymlylyɰy
sonuyla,sonujla
içgüdüsel,it͡ʃɡydysel
perişan,peɾiʃan
eksikliğini,eksikliɰini
parmaklar,paɾmaklaɾ
gereçlerden,ɡeɾet͡ʃleɾden
ormanları,oɾmanlaɾɯ
seviyesini,sevijesini
alanlarından,alanlaɾɯndan
hissetmektir,hissetmektiɾ
özgür,œzɡyɾ
anlamıyor,anlamɯjoɾ
alınması,alɯnmasɯ
kucaklaşması,kud͡ʒaklaʃmasɯ
pozisyon,pozisjon
götürmüştü,ɡœtyɾmyʃty
aşa,aʃa
dönecek,dœned͡ʒek
olacağı,olad͡ʒaɰɯ
elektrikli,elektɾikli
verilmedi,veɾilmedi
komşularımızın,komʃulaɾɯmɯzɯn
isteyeceklerdi,istejed͡ʒekleɾdi
krizi,kɾizi
insanlığın,insanlɯɰɯn
safhada,safhada
romanlarınıza,ɾomanlaɾɯnɯza
gidenlerden,ɡidenleɾden
zamlandı,zamlandɯ
emanet,emanet
dediğinde,dediɰinde
giriyor,ɡiɾijoɾ
yapacağını,japad͡ʒaɰɯnɯ
yaralayıcı,jaɾalajɯd͡ʒɯ
anneler,anneleɾ
yakalayabilmeli,jakalajabilmeli
öten,œten
kapadığını,kapadɯɰɯnɯ
kendine,kendine
çalıştığımda,t͡ʃalɯʃtɯɰɯmda
plan,plan
enfeksiyon,enfeksijon
ansiklopedileri,ansiklopedileɾi
hissederdiniz,hissedeɾdiniz
kellesine,kellesine
yöremizden,jœɾemizden
patlattım,patlattɯm
üzüntü,yzynty
göndermeleri,ɡœndeɾmeleɾi
zamanlarında,zamanlaɾɯnda
tekinsiz,tekinsiz
politikaya,politikaja
seçimi,set͡ʃimi
arındırma,aɾɯndɯɾma
telefonlar,telefonlaɾ
okkayla,okkajla
götürdüm,ɡœtyɾdym
kişiliğiyle,kiʃiliɰijle
dükkânı,dykkânɯ
hastasına,hastasɯna
değerlendirmek,deɰeɾlendiɾmek
ileride,ileɾide
ihbar,ihbaɾ
kıyma,kɯjma
bulacaklardır,bulad͡ʒaklaɾdɯɾ
havuç,havut͡ʃ
dururdu,duɾuɾdu
yapacaksınız,japad͡ʒaksɯnɯz
sergiliyor,seɾɡilijoɾ
pişirmek,piʃiɾmek
insanın,insanɯn
sayıldıkları,sajɯldɯklaɾɯ
garantisi,ɡaɾantisi
sarsan,saɾsan
dü,dy
okulmuş,okulmuʃ
yazdı,jazdɯ
rövanşında,ɾœvanʃɯnda
adede,adede
teçhizatlarla,tet͡ʃhizatlaɾla
donanmasından,donanmasɯndan
açıklayabilir,at͡ʃɯklajabiliɾ
gereksinmesini,ɡeɾeksinmesini
sıkıya,sɯkɯja
sıkıntıya,sɯkɯntɯja
belirtmektedir,beliɾtmektediɾ
faktör,faktœɾ
bakım,bakɯm
du,du
anayasanın,anajasanɯn
vurdular,vuɾdulaɾ
kaosu,kaosu
soyut,sojut
hikâyet,hikâjet
ihtimalle,ihtimalle
topluca,toplud͡ʒa
göstermeler,ɡœsteɾmeleɾ
oynayamayacaklarsa,ojnajamajad͡ʒaklaɾsa
çocuklarından,t͡ʃod͡ʒuklaɾɯndan
çoğunlukla,t͡ʃoɰunlukla
vitrinli,vitɾinli
kasaya,kasaja
basık,basɯk
minnacık,minnad͡ʒɯk
rendelenmiş,ɾendelenmiʃ
manevi,manevi
başkana,baʃkana
öykülerime,œjkyleɾime
kampanyalarla,kampanjalaɾla
transistör,tɾansistœɾ
güvensizlik,ɡyvensizlik
seçimlere,set͡ʃimleɾe
dağ,daɰ
izahı,izahɯ
kumlanalım,kumlanalɯm
alkışlar,alkɯʃlaɾ
arşivimizi,aɾʃivimizi
sözlerle,sœzleɾle
yalnızlığın,jalnɯzlɯɰɯn
köprüsünü,kœpɾysyny
kalmış,kalmɯʃ
vatandaşın,vatandaʃɯn
hayatla,hajatla
polikliniğine,polikliniɰine
nakledeyim,nakledejim
bağırıştılar,baɰɯɾɯʃtɯlaɾ
parmaklara,paɾmaklaɾa
sınırını,sɯnɯɾɯnɯ
görmemesi,ɡœɾmemesi
öğretim,œɰɾetim
matinede,matinede
incelip,ind͡ʒelip
olasılıkları,olasɯlɯklaɾɯ
elimizdedir,elimizdediɾ
neticesi,netid͡ʒesi
düşünmeyeceksiniz,dyʃynmejed͡ʒeksiniz
bitkisel,bitkisel
ilişkili,iliʃkili
alınış,alɯnɯʃ
göğüslemek,ɡœɰyslemek
detoks,detoks
konulmasını,konulmasɯnɯ
dolaşırsak,dolaʃɯɾsak
örselettirmiyorlar,œɾselettiɾmijoɾlaɾ
bunlarda,bunlaɾda
medrese,medɾese
taşıyamaz,taʃɯjamaz
basmışlardı,basmɯʃlaɾdɯ
kardeşinin,kaɾdeʃinin
dopingi,dopinɡi
ilişkimiz,iliʃkimiz
mahallesinde,mahallesinde
bini,bini
yaran,jaɾan
ayağa,ajaɰa
sardırmış,saɾdɯɾmɯʃ
seçime,set͡ʃime
karı,kaɾɯ
dereotu,deɾeotu
anamdan,anamdan
bülten,bylten
kentsel,kentsel
şampiyonaya,ʃampijonaja
kentliliğin,kentliliɰin
gelişmeydi,ɡeliʃmejdi
bekleyelim,beklejelim
çıkarız,t͡ʃɯkaɾɯz
ufkuna,ufkuna
inanan,inanan
çirkindi,t͡ʃiɾkindi
çocuklarımız,t͡ʃod͡ʒuklaɾɯmɯz
kalktım,kalktɯm
kayacak,kajad͡ʒak
kentini,kentini
taburenin,tabuɾenin
koleksiyoner,koleksijoneɾ
ayrıca,ajɾɯd͡ʒa
kullanılmasından,kullanɯlmasɯndan
gideceksin,ɡided͡ʒeksin
bulsaydı,bulsajdɯ
yseniz,jseniz
azarlamış,azaɾlamɯʃ
sloganı,sloɡanɯ
kolu,kolu
gizledikleri,ɡizledikleɾi
parkta,paɾkta
mertlik,meɾtlik
mevzide,mevzide
hâlleri,hâlleɾi
ittifaka,ittifaka
görüşmelerden,ɡœɾyʃmeleɾden
ağrı,aɰɾɯ
alınmalı,alɯnmalɯ
oyundan,ojundan
ver,veɾ
arkadaşıyla,aɾkadaʃɯjla
deriz,deɾiz
uvertürünü,uveɾtyɾyny
durdurulan,duɾduɾulan
altyapıya,altjapɯja
kullanmışlar,kullanmɯʃlaɾ
boncuklar,bond͡ʒuklaɾ
kılıklı,kɯlɯklɯ
oylama,ojlama
klasik,klasik
bilmedikleri,bilmedikleɾi
yudumlarken,judumlaɾken
kazandım,kazandɯm
faturalardan,fatuɾalaɾdan
yurdunun,juɾdunun
istiyorlar,istijoɾlaɾ
güçlükleri,ɡyt͡ʃlykleɾi
sıfatı,sɯfatɯ
ekonominin,ekonominin
tutuluyor,tutulujoɾ
söylüyorlar,sœjlyjoɾlaɾ
kurumlarından,kuɾumlaɾɯndan
olmasaydım,olmasajdɯm
önümüzdeki,œnymyzdeki
öğreniyoruz,œɰɾenijoɾuz
icraya,id͡ʒɾaja
öncelikli,œnd͡ʒelikli
ideolojisi,ideoloʒisi
çırpıp,t͡ʃɯɾpɯp
doğurduğunu,doɰuɾduɰunu
geliştir,ɡeliʃtiɾ
yeşerir,jeʃeɾiɾ
gösteremedi,ɡœsteɾemedi
fısıldanır,fɯsɯldanɯɾ
sözkonusu,sœzkonusu
diyebilir,dijebiliɾ
yapınız,japɯnɯz
yönetimler,jœnetimleɾ
açtığım,at͡ʃtɯɰɯm
taşınmış,taʃɯnmɯʃ
organizmanın,oɾɡanizmanɯn
kendin,kendin
sarsıntıda,saɾsɯntɯda
chat,d͡ʒhat
çarşısında,t͡ʃaɾʃɯsɯnda
dinamit,dinamit
yüreğimi,jyɾeɰimi
ona,ona
paylaşılması,pajlaʃɯlmasɯ
edilmektedir,edilmektediɾ
hoştu,hoʃtu
isteklerini,istekleɾini
eksiksiz,eksiksiz
süt,syt
müşterek,myʃteɾek
vermişlerdi,veɾmiʃleɾdi
öngörülmüş,œnɡœɾylmyʃ
kovalamak,kovalamak
öykünün,œjkynyn
bilişsel,biliʃsel
öldürüldü,œldyɾyldy
somutlaşıp,somutlaʃɯp
taşırmış,taʃɯɾmɯʃ
köşesinden,kœʃesinden
sorgulamazlar,soɾɡulamazlaɾ
ezilmiş,ezilmiʃ
geçermiş,ɡet͡ʃeɾmiʃ
ciddiyete,d͡ʒiddijete
yüzünde,jyzynde
kitleye,kitleje
yaygınıdır,jajɡɯnɯdɯɾ
erkeklerle,eɾkekleɾle
saate,saate
kendimde,kendimde
tüfek,tyfek
aklının,aklɯnɯn
etekler,etekleɾ
toplayacak,toplajad͡ʒak
selviçe,selvit͡ʃe
pasaportum,pasapoɾtum
şiddetin,ʃiddetin
bitmiş,bitmiʃ
yaşlı,jaʃlɯ
pop,pop
demiştik,demiʃtik
sanı,sanɯ
irticaya,iɾtid͡ʒaja
yapmayı,japmajɯ
morallerimiz,moɾalleɾimiz
cami,d͡ʒami
miktarına,miktaɾɯna
olması,olmasɯ
gözeneklere,ɡœzenekleɾe
kalkışır,kalkɯʃɯɾ
niyetlerini,nijetleɾini
ilanı,ilanɯ
nerelerde,neɾeleɾde
şartsız,ʃaɾtsɯz
kurdun,kuɾdun
sandıkla,sandɯkla
uyunacak,ujunad͡ʒak
kendisi,kendisi
inanılıyor,inanɯlɯjoɾ
oğlun,oɰlun
marul,maɾul
koşulda,koʃulda
pirinçten,piɾint͡ʃten
yücelerdeki,jyd͡ʒeleɾdeki
uçağın,ut͡ʃaɰɯn
lafı,lafɯ
güldüren,ɡyldyɾen
çocukların,t͡ʃod͡ʒuklaɾɯn
atıyorlardı,atɯjoɾlaɾdɯ
yapabiliriz,japabiliɾiz
dinlenen,dinlenen
masmavi,masmavi
kopyası,kopjasɯ
incelenmesini,ind͡ʒelenmesini
gerçeklik,ɡeɾt͡ʃeklik
banklardan,banklaɾdan
basan,basan
destanı,destanɯ
durumun,duɾumun
sözleriyle,sœzleɾijle
değişmezken,deɰiʃmezken
tutmayacak,tutmajad͡ʒak
davet,davet
olamazdı,olamazdɯ
getirebilse,ɡetiɾebilse
duygularını,dujɡulaɾɯnɯ
taşıyıcısı,taʃɯjɯd͡ʒɯsɯ
küsüz,kysyz
kuruma,kuɾuma
parsayı,paɾsajɯ
öyledir,œjlediɾ
noktalarına,noktalaɾɯna
alınmadı,alɯnmadɯ
denizden,denizden
fakat,fakat
şunca,ʃund͡ʒa
yaklaşımlarınızdır,jaklaʃɯmlaɾɯnɯzdɯɾ
kaba,kaba
çeşitler,t͡ʃeʃitleɾ
sevişiyor,seviʃijoɾ
olayının,olajɯnɯn
seçkin,set͡ʃkin
hayatmış,hajatmɯʃ
istesem,istesem
zihinsel,zihinsel
anlamak,anlamak
görme,ɡœɾme
bölmüş,bœlmyʃ
başhekim,baʃhekim
bayrağı,bajɾaɰɯ
be,be
korkutan,koɾkutan
uydusundan,ujdusundan
taşmalar,taʃmalaɾ
eğitiminde,eɰitiminde
kesmeye,kesmeje
tuzunu,tuzunu
belirtirken,beliɾtiɾken
edipte,edipte
akrabası,akɾabasɯ
müreffeh,myɾeffeh
fotoğraflarının,fotoɰɾaflaɾɯnɯn
gidişatını,ɡidiʃatɯnɯ
gülücükler,ɡylyd͡ʒykleɾ
tanımak,tanɯmak
gerçekçi,ɡeɾt͡ʃekt͡ʃi
zihin,zihin
dur,duɾ
tavlanması,tavlanmasɯ
takıp,takɯp
girmeler,ɡiɾmeleɾ
turnesi,tuɾnesi
başı,baʃɯ
penceresini,pend͡ʒeɾesini
gezegenle,ɡezeɡenle
alınmamı,alɯnmamɯ
yansa,jansa
sıcaktan,sɯd͡ʒaktan
dünürü,dynyɾy
uçarlar,ut͡ʃaɾlaɾ
koyardı,kojaɾdɯ
kalmazlar,kalmazlaɾ
akşamı,akʃamɯ
tarihte,taɾihte
eklem,eklem
gülüştüler,ɡylyʃtyleɾ
önemle,œnemle
yazlıkçı,jazlɯkt͡ʃɯ
dosdoğru,dosdoɰɾu
özgürlüklerine,œzɡyɾlykleɾine
konserde,konseɾde
inanamadılar,inanamadɯlaɾ
hastalığının,hastalɯɰɯnɯn
çöreği,t͡ʃœɾeɰi
eksene,eksene
dostla,dostla
tamamen,tamamen
açıklanmış,at͡ʃɯklanmɯʃ
hazırlık,hazɯɾlɯk
eğleniyor,eɰlenijoɾ
eleştiri,eleʃtiɾi
boyutlardır,bojutlaɾdɯɾ
geleceğini,ɡeled͡ʒeɰini
bırakılıyor,bɯɾakɯlɯjoɾ
tutulmaya,tutulmaja
konuştuğuna,konuʃtuɰuna
saçı,sat͡ʃɯ
aroması,aɾomasɯ
gömülen,ɡœmylen
coşkuyu,d͡ʒoʃkuju
kollu,kollu
sezonda,sezonda
başlamışlar,baʃlamɯʃlaɾ
tiyatrodan,tijatɾodan
bayramlarına,bajɾamlaɾɯna
bunaltıcı,bunaltɯd͡ʒɯ
yolculuktu,jold͡ʒuluktu
sesle,sesle
kırılıyor,kɯɾɯlɯjoɾ
hükümdarların,hykymdaɾlaɾɯn
adanmadaki,adanmadaki
sistem,sistem
dudağının,dudaɰɯnɯn
dediğimiz,dediɰimiz
boyutlar,bojutlaɾ
görürsünüz,ɡœɾyɾsynyz
üzerlerine,yzeɾleɾine
hani,hani
edebiyata,edebijata
çoğaldıkça,t͡ʃoɰaldɯkt͡ʃa
borç,boɾt͡ʃ
geçmişleri,ɡet͡ʃmiʃleɾi
öldürüldüyse,œldyɾyldyjse
hayretler,hajɾetleɾ
seçilmeyi,set͡ʃilmeji
edildiği,edildiɰi
çalışırken,t͡ʃalɯʃɯɾken
ulaşarak,ulaʃaɾak
kafası,kafasɯ
edelim,edelim
sayısı,sajɯsɯ
çarpması,t͡ʃaɾpmasɯ
romanlarını,ɾomanlaɾɯnɯ
duyulmamış,dujulmamɯʃ
dediler,dedileɾ
hazin,hazin
boya,boja
vizelerin,vizeleɾin
kamaraları,kamaɾalaɾɯ
karşılıksız,kaɾʃɯlɯksɯz
bozulur,bozuluɾ
dindi,dindi
pornografi,poɾnoɡɾafi
mesajları,mesaʒlaɾɯ
yan,jan
uzanmış,uzanmɯʃ
tutanakları,tutanaklaɾɯ
olacaktı,olad͡ʒaktɯ
basınçlı,basɯnt͡ʃlɯ
lejandlardı,leʒandlaɾdɯ
satmaya,satmaja
vardır,vaɾdɯɾ
gevşeterek,ɡevʃeteɾek
hakkını,hakkɯnɯ
yelkenlerinin,jelkenleɾinin
süre,syɾe
kahkahaları,kahkahalaɾɯ
değerlendirmeler,deɰeɾlendiɾmeleɾ
romanlardı,ɾomanlaɾdɯ
tabaklara,tabaklaɾa
şikâyetlerin,ʃikâjetleɾin
gelenlerin,ɡelenleɾin
çatışmada,t͡ʃatɯʃmada
aşağılamayın,aʃaɰɯlamajɯn
eğlenilir,eɰleniliɾ
yürek,jyɾek
dür,dyɾ
düştüğünde,dyʃtyɰynde
edebiliyorum,edebilijoɾum
kaselerine,kaseleɾine
doğurganlığın,doɰuɾɡanlɯɰɯn
sahasında,sahasɯnda
vizyon,vizjon
kazanmadım,kazanmadɯm
sponsor,sponsoɾ
sunmaya,sunmaja
tasfiyesinin,tasfijesinin
km,km
ayarlandılar,ajaɾlandɯlaɾ
beklemesin,beklemesin
kaybetmek,kajbetmek
gelişenlerle,ɡeliʃenleɾle
durlar,duɾlaɾ
meydana,mejdana
yaparsınız,japaɾsɯnɯz
rahatlamış,ɾahatlamɯʃ
tıkacaklar,tɯkad͡ʒaklaɾ
kulübünün,kulybynyn
atmamıza,atmamɯza
uzaklaşma,uzaklaʃma
sirkesi,siɾkesi
sınarız,sɯnaɾɯz
kimse,kimse
göbeğinde,ɡœbeɰinde
topladık,topladɯk
biyometrik,bijometɾik
ilişkilerin,iliʃkileɾin
bitmediyse,bitmedijse
süprizlerle,sypɾizleɾle
yapmamız,japmamɯz
günlerim,ɡynleɾim
atlatabileceklerine,atlatabiled͡ʒekleɾine
ölmediği,œlmediɰi
matbuat,matbuat
tarafımızda,taɾafɯmɯzda
bizler,bizleɾ
hakkıyla,hakkɯjla
anlaşmasından,anlaʃmasɯndan
anlayışı,anlajɯʃɯ
değişikliğine,deɰiʃikliɰine
evlenmesi,evlenmesi
paramparça,paɾampaɾt͡ʃa
eller,elleɾ
sarmıştı,saɾmɯʃtɯ
yeme,jeme
kâşane,kâʃane
çözülmesinin,t͡ʃœzylmesinin
nedeniyledir,nedenijlediɾ
cezaya,d͡ʒezaja
coğrafya,d͡ʒoɰɾafja
soktuğunu,soktuɰunu
faydalar,fajdalaɾ
sonuçlarından,sonut͡ʃlaɾɯndan
çalışıyor,t͡ʃalɯʃɯjoɾ
duvar,duvaɾ
üçümüz,yt͡ʃymyz
kavuşmalı,kavuʃmalɯ
haftadan,haftadan
olmayı,olmajɯ
parası,paɾasɯ
vilayetini,vilajetini
kredilerinin,kɾedileɾinin
yetiştirdiği,jetiʃtiɾdiɰi
kemali,kemali
tuttuğum,tuttuɰum
yönetebilecek,jœnetebiled͡ʒek
süpernovaya,sypeɾnovaja
hizmetimizden,hizmetimizden
yapılmamış,japɯlmamɯʃ
dalmak,dalmak
ilgilendiren,ilɡilendiɾen
düştüğü,dyʃtyɰy
sevgisine,sevɡisine
verilmesinin,veɾilmesinin
iştahta,iʃtahta
arabalarına,aɾabalaɾɯna
hissetmiş,hissetmiʃ
biçtiği,bit͡ʃtiɰi
gid,ɡid
karmaşıktır,kaɾmaʃɯktɯɾ
radyoda,ɾadjoda
almanağında,almanaɰɯnda
deformasyonun,defoɾmasjonun
öldürülüyor,œldyɾylyjoɾ
tümünü,tymyny
yapmadığı,japmadɯɰɯ
tescili,tesd͡ʒili
enstitüsünün,enstitysynyn
sanayileşen,sanajileʃen
yaklaşmaktadırlar,jaklaʃmaktadɯɾlaɾ
görmedim,ɡœɾmedim
tamamdır,tamamdɯɾ
çalınması,t͡ʃalɯnmasɯ
olguya,olɡuja
mutlu,mutlu
