interpretares,intərpɾətaɾəs
jonca,ʒonkə
espaventat,espaventat
dionisíac,dioniziək
guardajoies,ɡwərdəʒɔjəs
presó,pɾəzo
contagiava,kuntəʒiabə
denotares,dənutaɾəs
vedats,vedats
collits,kuʎits
sospita,sospita
documentats,dokumentats
bladar,bləda
setmanal,səmmənal
coclear,koklea
adorada,əduɾadə
ergonomies,əɾɡonumiəs
diada,diadə
lila,lilə
atrofiem,ətɾufiɛm
gatonera,ɡətuneɾə
ollada,oʎadə
vastos,vastos
rebo,rɛbu
capitalismes,kapitalizmes
pany,paɲ
sonata,sonatə
funcionades,funsionades
exactitud,eɡzaktitut
ministeri,ministɛɾi
continuats,kontinuats
abelles,əbɛʎəs
anatematitzat,anatematizat
transcrita,tɾənskɾitə
berenat,beɾenat
ceramista,səɾəmistə
neozelandeses,neozelandezes
marxívol,məɾʃivol
afavorit,əfəbuɾit
revisades,rəbizadəs
dialogades,diəluɡadəs
orades,oɾadəs
progenitura,pɾod͡ʒenituɾa
aberracions,aberasions
desastres,dezastɾes
corrosions,korozions
samoans,samoans
gorjut,ɡoɾd͡ʒut
bugades,buɡadəs
publicar,publika
glosar,ɡloza
envetar,əmvəta
pronunciats,pɾonunsiats
rovellar,rovəʎa
venço,vənso
treta,tɾətə
embordonir,emboɾdoniɾ
reescrits,reeskɾits
larvals,lərbals
argumentades,ərɡuməntadəs
avançava,əbənsabə
exclamats,eksklamats
enviada,əmviadə
contagiades,kuntəʒiadəs
ioga,jɔɡə
rial,rial
efectuats,əfəktuats
bascos,baskos
ennuegats,ennueɡats
abaixaríem,abajʃaɾiem
gimnasos,ʒimnazos
atrevia,ətɾəbiə
mercaderia,mərkədəɾiə
analfabetisme,analfabetizme
comorianes,komoɾianes
blindat,blindat
vaiver,vəjve
alcaldada,əlkəldadə
xaró,t͡ʃaɾo
trilió,tɾilio
soca,sɔka
aclarits,əkləɾits
alegrant,ələɡɾan
escanejades,eskaned͡ʒades
alcalosis,alkalɔzis
símbol,simbol
especialista,əspəsiəlistə
batussa,batusa
instrument,instɾument
guardonada,ɡwərdunadə
galerista,ɡələɾistə
sobrecoberta,sobɾəkobɛɾtə
cerimoniós,səɾimonios
enterc,əntɛɾk
enganyoses,enɡaɲozes
decretada,dekɾetada
raqueta,raketa
generades,ʒənəɾadəs
glutamats,ɡlutamats
enfardar,əmfərda
barret,baret
estrella,əstɾəʎə
menyscabar,mɛɲʃkəba
genocidi,d͡ʒenosidi
comte,komtə
explicat,əksplikat
rondallaire,rundəʎajɾə
cerques,səɾkəs
catanyol,kataɲɔl
tirotejada,tiɾutəʒadə
maculats,məkulats
somnífers,sumnifəs
gelatinós,ʒələtinos
defunció,dəfunsio
irresponsables,irəspunsabləs
espurnejada,əspurnəʒadə
estropiem,əstɾupiɛm
desigs,dəzit͡ʃ
luci,lusi
carbassó,kəɾbəso
camarades,kamaɾades
trasbalsats,tɾazbalsats
desacordada,dəzəkoɾdadə
miserable,mizeɾable
arquetip,aɾketip
xipell,ʃipeʎ
gitano,d͡ʒitano
sorgit,surʒit
jubilació,d͡ʒubilasio
autoritarisme,əwtoɾitəɾizmə
adossar,adosaɾ
condicional,kondisional
silvícola,silbikulə
redundant,rədundant
lateral,lateɾal
crostera,kɾusteɾə
derrotat,dərotat
marcats,məɾkats
revisada,rəbizadə
cantada,kəntadə
origen,oɾid͡ʒen
reinicialitzar,rəinisiəlid͡za
lívida,lividə
petanca,petanka
sepultades,səpultadəs
bombardejar,bombəɾdəʒa
predilecció,pɾədiləksio
metans,mətans
merceritzada,mərsəɾid͡zadə
cuablau,kuəblaw
atemptant,atemtant
mateu,matew
maria,məɾiə
trenta,tɾɛntə
garrell,ɡareʎ
joiós,ʒujos
novícia,nuvisiə
adornada,ədoɾnadə
habitable,əbitablə
sardinal,saɾdinal
vibrar,bibɾa
catalanitzada,katalanizada
recull,rekuʎ
categoritzacions,kateɡoɾizasions
becades,bekades
desmuntar,dəzmunta
novembre,novembɾə
unirem,unirəm
esquiats,eskiats
desafecta,dəzəfɛktə
enroscar,ənruska
modernitzada,modəɾnid͡zadə
contractat,kuntɾəktat
dutxar,dut͡ʃa
maníac,maniak
esclau,əsklaw
bonzessa,bonzəsə
italianes,italianes
tardana,təɾdanə
llegida,ʎəʒidə
rivet,ribɛt
tocats,tokats
escandalós,əskəndəlos
avantatjat,əbəntəd͡ʒat
ardent,ərden
aparcats,əpəɾkats
normativització,noɾmətivid͡zəsio
repares,rəpaɾəs
adornat,adoɾnat
arreglant,ərəɡlant
pragmatisme,pɾəɡmətizmə
prioratí,pɾioɾati
respiro,rəspiɾu
culpada,kulpadə
regnada,reɡnada
devorada,dəvoɾadə
privatització,pɾivatizasio
llucareta,ʎukaɾeta
centaus,sentaws
carretada,karetada
albergat,əlbərɡat
cor,kɔɾ
cotilles,kotiʎes
bujola,buʒɔlə
aterrint,ətərint
nevada,nəvadə
immigrades,immiɡɾades
emigrares,əmiɡɾaɾəs
hematúria,əmətuɾiə
uterins,utəɾins
constatares,konstataɾes
premiada,pɾemiada
fascinades,fəsinadəs
vara,vaɾa
reparades,rəpəɾadəs
traduir,tɾədui
gustades,ɡustades
vocalitzats,vokalizats
nedar,nəda
corrompudes,korompudes
alleujat,əʎəwʒat
albinisme,əlbinizmə
detonem,dətonəm
completats,komplətats
citades,sitades
clítica,klitika
eclipsar,eklipsaɾ
acidifiques,əsidifikəs
accedir,aksediɾ
vinclar,vinkla
platet,platet
datar,dataɾ
fica,fikə
vidre,vidɾə
dotorejada,dotoɾəʒadə
transgeneracional,tɾənzʒənəɾəsiunal
afinar,əfina
ordinador,oɾdinədo
restringides,rəstɾiɲʒidəs
acoblada,əkubladə
antineutró,əntinəwtɾo
quaresma,kwaɾezma
operades,opeɾades
cafeter,kafeteɾ
pecuniari,pəkuniaɾi
competicions,kompetisions
expressionisme,əkspɾəsiunizmə
arri,ari
malfeiner,məlfəjne
radiació,radiasio
lexema,leksema
rebentar,rəbənta
dinamitzats,dinəmid͡zats
avancem,əvənsəm
otorrinolaringologia,uturinuləɾinɡuluʒiə
alevina,alevina
presagiar,pɾəzəʒia
cuguç,kuɡus
acreditació,əkɾəditəsio
tapar,tapaɾ
urbanitzada,uɾbanizada
dogmatitzats,duɡmətid͡zats
casal,kəzal
internacionalitzades,intəɾnəsionəlid͡zadəs
venedor,bənədo
dictar,diktaɾ
tirolesa,tiɾoleza
deportades,dəpoɾtadəs
conspirat,kunspiɾat
acaronades,akaɾonades
autos,awtos
considerava,kunsidəɾabə
servida,sərbidə
declarar,deklaɾaɾ
censuro,sənsuɾu
profunditat,pɾofunditat
furgada,furɡadə
encetades,ənsətadəs
palmera,palmeɾa
polaritzada,polaɾizada
bacteriana,bakteɾiana
compendiar,kompendiaɾ
mesquita,meskita
anglofonia,anɡlofonia
hedra,edɾa
orfenat,oɾfenat
misto,misto
nativitat,nətivitat
botí,boti
probablement,pɾobablement
ajustable,ad͡ʒustable
reverberaria,reveɾbeɾaɾia
recentralitzar,rəsəntɾəlid͡za
gargamella,ɡərɡəmeʎə
barbar,bəɾba
escif,əsif
hamaca,əmakə
reverbera,rəvəɾbeɾə
guantellet,ɡwəntəʎɛt
jugats,d͡ʒuɡats
advent,advent
inoculat,inokulat
becaris,bekaɾis
morrejar,murəʒa
polaritat,polaɾitat
furtar,furta
afavorida,afavoɾida
ressortides,resoɾtides
sulfat,sulfat
suava,suavə
procuraríeu,pɾokuɾaɾiew
didalet,didələt
expressada,əkspɾəsadə
suplementari,suplementaɾi
saludades,səludadəs
colecistectomia,koləsistəktumiə
discreta,diskɾeta
carnassa,kərnasə
sodomitzat,sodomizat
assolit,asolit
siseta,sizətə
bajoc,bəʒɔk
hibernar,ibeɾnaɾ
comprometem,kumpɾumətɛm
endalt,əndal
decretats,dəkɾətats
quars,kwars
calgut,kəlɡut
variant,vəɾiant
codifica,kodifika
detonar,detonaɾ
emboirar,əmbojɾa
insomnes,insɔmnəs
expurgar,əkspuɾɡa
tranquil,tɾankil
casem,kəzɛm
corporativa,kurpuɾətibə
llampegadissa,ʎəmpəɡədisə
compatible,kumpətiblə
corporals,koɾpoɾals
nacionalitzada,nəsionəlid͡zadə
ceptre,septɾe
cubs,kups
boscatge,buskad͡ʒə
actrius,aktɾiws
fatalitat,fatalitat
lipograma,lipuɡɾamə
emergida,emeɾd͡ʒida
llucades,ʎukadəs
ebenista,ebenista
torçar,toɾsaɾ
carnavalesc,kaɾnavalesk
asturianes,əstuɾianəs
bocarruda,bukərudə
catalitzada,kətəlid͡zadə
contenidor,kontənido
terciaris,tərsiaɾis
rugir,rud͡ʒiɾ
localitzat,lokalizat
marques,maɾkes
trenca,tɾɛnkə
brinda,bɾində
protegí,pɾotəʒi
calculares,kəlkulaɾəs
montcada,monkadə
taula,tawlə
uterins,uteɾins
classificació,kləsifikəsio
envellit,əmbəʎit
individualitzats,indibiduəlid͡zats
presagiada,pɾezad͡ʒiada
raier,rajeɾ
androgen,əndɾɔʒən
clemintiner,kləmintine
legislades,led͡ʒizlades
trampolí,tɾampoli
put,put
comentats,kuməntats
colomí,kolomi
safranet,safɾanet
parades,pəɾadəs
saberuts,sabeɾuts
menta,mentə
treure,tɾɛwɾe
emasculats,əməskulats
convidada,komvidada
compacta,kumpaktə
correctament,korɛktəment
signatari,siɡnətaɾi
grinyolar,ɡɾiɲula
indeclinables,indeklinables
contagions,kuntəʒions
confucianisme,kumfusiənizmə
economista,əkonumistə
fertilitzat,fərtilid͡zat
condició,kundisio
cassó,kaso
exportades,əkspoɾtadəs
dilema,dilɛmə
moaré,moəɾe
roncades,runkadəs
lamentí,lamenti
notable,notable
coronaria,koɾonaɾia
boxejar,boksəʒa
basílica,bəzilikə
trivialitzat,tɾiviəlid͡zat
llevat,ʎəbat
prenyats,pɾəɲats
exacte,eɡzakte
ancorats,ənkoɾats
escoltada,əskoltadə
retorçada,rətoɾsadə
finit,finit
regla,reɡlə
moreno,muɾɛnu
ambre,ambɾe
vetlla,vellə
polleguera,puʎəɡeɾə
criticador,kɾitikadoɾ
legislatures,ləʒizlətuɾəs
desplegat,despleɡat
botí,buti
malmetre,məlmɛtɾə
nates,natəs
confirmaria,kumfirməɾiə
sector,sektoɾ
conatives,konatives
flairades,fləjɾadəs
turkmenistan,tuɾɡmənistan
laborades,ləboɾadəs
tocada,tokada
depredador,dəpɾədədo
psicosi,psikɔzi
carnuts,kərnuts
agrupades,əɡɾupadəs
oportuna,upurtunə
caça,kasa
gasolina,ɡəzulinə
comprovades,kompɾovades
pelada,pelada
teia,tɛjə
desconfiança,dəskomfiansə
llampec,ʎampek
restaurem,rəstəwɾəm
complets,komplets
construírem,konstɾuiɾem
passet,pəsət
combatut,kombətut
copiada,kupiadə
trillats,tɾiʎats
dominades,dominades
rebel,rebɛl
sorbir,soɾbiɾ
mesclador,meskladoɾ
mitologia,mitoluʒiə
esterilitzat,əstəɾilid͡zat
autoritzant,əwtoɾid͡zant
adrenalina,ədɾənəlinə
essencialista,esensialista
conselleries,konseʎeɾies
artificis,ərtifisis
fruita,fɾujtə
contrasenya,kuntɾəsɛɲə
categoritzat,kateɡoɾizat
ruixim,ruʃim
hiat,jat
faldeta,fəldɛtə
entremaliadura,əntɾəməliəduɾə
netastre,nətastɾə
tennista,tənnistə
agraí,əɡɾəi
recitar,resitaɾ
depuració,dəpuɾəsio
escandalitzades,əskəndəlid͡zadəs
xates,t͡ʃates
escanyar,əskəɲa
magencar,mad͡ʒenkaɾ
perdó,pəɾdo
textos,testos
alleujar,əʎəwʒa
climatitzat,klimatizat
basques,baskəs
inicia,inisia
confirmat,kumfirmat
conclosos,konklɔzos
intitulada,intituladə
ocultats,ukultats
motociclisme,mutusiklizmə
caient,kəjent
coneixement,konəʃəment
confessada,komfesada
asolellats,azoleʎats
atacats,ətəkats
estimulants,əstimulans
comunicatives,komunikatives
soltar,sulta
cupaire,kupajɾə
ululades,ululades
retir,retiɾ
pago,paɡo
caracteritzada,kəɾəktəɾid͡zadə
estacada,estakada
moderats,modəɾats
locomotora,lukumutoɾə
termals,teɾmals
emesa,emeza
clotxa,klot͡ʃə
suquejats,suked͡ʒats
encara,enkaɾa
atreveixi,atɾevɛjʃi
mímic,mimik
comandats,kuməndats
color,kulo
escalafó,eskalafo
ruandesa,ruəndəzə
condecorar,kondekoɾaɾ
conreats,kunreats
assajats,əsəʒats
explicativa,eksplikativa
calamitós,kalamitos
corprendre,kɔɾpəndɾə
urbanitzar,urbənid͡za
profunditats,pɾufunditats
animar,ənima
existir,əɡzisti
regulada,reɡulada
justificat,ʒustifikat
toledo,toledo
apitxat,əpit͡ʃat
combatre,kombatɾe
enclova,ənklovə
digna,diɡnə
emigrar,emiɡɾaɾ
biologia,biuluʒiə
anheli,ənɛli
cobreobjectes,kɔbɾəubʒɛktəs
tanqueta,tənkɛtə
desembarcada,dəzəmbərkadə
desafecta,dezafɛkta
poderosa,podəɾozə
llargmetratge,ʎaɾɡmətɾad͡ʒə
instaurada,instawɾada
crítiques,kɾitikes
herc,ɛrk
salmorra,səlmorə
retrunyits,rətɾuɲits
avarques,avaɾkes
altiva,əltivə
malignes,maliɡnes
mallerenga,məʎəɾɛnɡə
viccionari,biksiunaɾi
favorit,favoɾit
cassoleta,kasoleta
vau,baw
taronger,taɾoɲd͡ʒeɾ
incontrolada,inkontɾolada
bossa,bosa
participats,paɾtisipats
coloracions,koloɾasions
patri,patɾi
passejats,pəsəʒats
tricolor,tɾikoloɾ
vampíric,vəmpiɾik
gerro,ʒɛro
perorar,peɾoɾaɾ
llebeig,ʎebet͡ʃ
afiles,afiles
eixorbar,əʃoɾba
buixol,buʃɔl
pauta,pawta
orquestra,oɾkestɾə
assistiu,asistiw
esponja,espɔɲd͡ʒa
contaminat,kontəminat
formiguera,furmiɡeɾə
togoleses,tuɡulɛzəs
mesada,məzadə
sacarines,səkəɾinəs
polir,poliɾ
emperador,empeɾadoɾ
vertebrats,veɾtebɾats
reemplaçable,rəəmpləsablə
sevícia,səbisiə
excretar,ekskɾetaɾ
esquerdar,əskərda
tertúlia,teɾtulia
colecistectomies,kuləsistəktumiəs
entrebanc,əntɾəbaŋk
antera,ənteɾə
tantalitzats,tantalizats
espardenya,əspərdɛɲə
canabassa,kanabasa
desconcertades,dəskunsərtadəs
cafeteria,kafeteɾia
esborrats,əzborats
immortalitat,immoɾtəlitat
esment,ezment
fecunda,fekunda
pesqueres,pəskeɾəs
diarquia,diərkiə
escolta,əskoltə
dilatada,dilatada
ciclismes,siklizməs
sísmiques,sizmikəs
cultures,kultuɾəs
blandar,blənda
enviats,əmviats
septentrió,səptəntɾio
vaiverejar,vəjvəɾəʒa
habilitar,abilitaɾ
conreada,konreadə
castes,kastəs
falsejades,falsed͡ʒades
quartilla,kwəɾtiʎə
ive,ibə
pesta,pɛsta
afiliar,əfilia
assassina,asasina
subvertir,subbərti
alienats,əliənats
cola,kola
estonianes,əstonianəs
constant,konstant
convençuda,komvənsudə
cavalló,kavaʎo
analitzats,ənəlid͡zats
abstemis,əpstɛmis
deguda,dəɡudə
balustres,bəlustɾəs
alienacions,alienasions
paraguai,paɾaɡwaj
rabejar,rabed͡ʒaɾ
predicats,pɾedikats
lígules,liɡules
batia,bətiə
encabir,ənkəbi
trotllo,tɾɔʎo
promulgada,pɾumulɡadə
acollir,akoʎiɾ
fatalista,fətəlistə
abstractes,apstɾaktes
eclipsades,əklipsadəs
torturada,toɾtuɾadə
atorgant,ətoɾɡant
amistosos,amistozos
gegant,ʒəɡan
arrencats,arenkats
emularia,əmuləɾiə
avises,əbizəs
genciana,ʒənsianə
enrotllar,ənroʎa
recta,rɛkta
dissortat,disurtat
nogat,nuɡat
vendible,bəndiblə
entronitzats,əntɾunid͡zats
emergides,əmərʒidəs
polidora,polidoɾə
aprovant,əpɾovant
estropiades,əstɾupiadəs
valent,vəlent
enfiladís,emfiladis
ser,seɾ
engalba,enɡalba
continuava,kontinuavə
gerrada,ʒəradə
conspiracions,konspiɾəsions
efervescents,efeɾvesens
pescadora,peskadoɾa
cospell,kuspɛʎ
carrincló,karinklo
encolomats,enkolomats
gorgera,ɡurʒeɾə
sobirania,sobiɾəniə
independentistes,independentistes
errabund,ərəbun
manipulava,manipulava
hebraic,ebɾajk
entre,entɾə
deixis,dɛʃis
propietat,pɾopiətat
espiga,espiɡa
punxuts,puɲʃuts
sogra,sɔɡɾa
uniformades,unifurmadəs
liberalitzat,libeɾalizat
panxes,paɲt͡ʃes
barna,baɾna
reverberaria,rəvəɾbəɾəɾiə
exhibida,eɡzibida
frisos,fɾizus
compresa,kompɾeza
fertilitzades,fərtilid͡zadəs
desblocar,dezblokaɾ
baldes,baldəs
aplegant,apleɡant
figueres,fiɡeɾəs
ploramiques,plɔɾamikes
impulses,impulsəs
equipares,ekipaɾes
sostenidor,sostenidoɾ
escorpí,əskuɾpi
esbarjo,ezbaɾd͡ʒo
siscla,sisklə
fotut,fotut
manualment,manualment
rematades,rematades
valguda,bəlɡudə
xifra,t͡ʃifɾa
atreure,ətɾɛwɾə
cabuts,kabuts
ast,ast
cabrafiguera,kabɾəfiɡeɾə
pelats,pelats
copejades,koped͡ʒades
xafardejada,ʃəfəɾdəʒadə
botonada,botonadə
indicativa,indikətibə
destituir,destituiɾ
deceptius,dəsəptiws
xeric,ʃəɾik
diversificat,dibərsifikat
kazakhstan,kazaχstan
elegíaques,ələʒiəkəs
interludi,intəɾludi
inhumanes,inumanes
aranja,aɾaɲd͡ʒa
agressió,əɡɾəsio
classifiquem,kləsifikəm
traçar,tɾasaɾ
estenallat,estenaʎat
xiulades,t͡ʃiwlades
esparga,əsparɡə
circumnavegada,siɾkumnaveɡada
conjugada,kuɲʒuɡadə
entomologia,əntumuluʒiə
parant,pəɾant
cilícia,silisia
robada,rubadə
desfasar,dəsfəza
desafectats,dezafektats
allisatge,əʎizad͡ʒə
militaritzades,militəɾid͡zadəs
cascavellejar,kəskəvəʎəʒa
caganer,kəɡəne
ortodoxa,oɾtodɔksə
caus,kaws
anormalitats,ənoɾməlitats
frugalitat,fɾuɡalitat
san,san
coordinar,kooɾdinaɾ
novici,nuvisi
vulgueu,vulɡew
escriptori,eskɾiptɔɾi
dues,dues
abolicionista,abolisionista
bestia,bestia
retiro,rətiɾo
aclucar,əkluka
conservadorisme,konseɾvadoɾizme
establert,establɛɾt
porucs,poɾuks
sostenible,sustəniblə
tireta,tiɾeta
continuadores,kontinuədoɾəs
enutjar,ənud͡ʒa
quartos,kwaɾtos
monoarticulars,munuərtikulars
escuixar,eskujʃaɾ
xandall,ʃəndaʎ
kirguizistan,kiɾɡizistan
insecte,insekte
cogomassa,kuɡumasə
olivella,oliveʎə
desqualificats,deskwalifikats
marduixí,mərduʃi
associada,əsosiadə
espolsada,əspolsadə
subministrades,subministɾadəs
captat,kaptat
caganiu,kaɡaniw
prosseguits,pɾosəɡits
lleter,ʎeteɾ
trenqués,tɾenkes
renill,reniʎ
aniversaris,ənibərsaɾis
adossat,ədosat
torçuda,tuɾsudə
vast,vast
obrador,ubɾədo
rumb,rump
enormes,enoɾmes
madrilla,madɾiʎa
trufa,tɾufa
fix,fiks
sosa,soza
targeta,tərʒɛtə
maliciosos,məlisiozus
cilindrades,silindɾades
portadores,poɾtədoɾəs
opinades,opinadəs
rebaixada,rəbəʃadə
suat,suat
cuculla,kukuʎa
descontentaria,deskontentaɾia
perdés,pəɾdes
galerada,ɡələɾadə
xafarotejar,ʃəfəɾotəʒa
drogat,dɾoɡat
decretada,dəkɾətadə
manumesos,mənumɛzus
engrandir,enɡɾandiɾ
informativa,imfurmətibə
espaiós,espajos
falsificat,fəlsifikat
pantera,panteɾa
persiana,peɾsiana
rendides,rəndidəs
crucificar,kɾusifika
flandes,flandəs
exhalat,eɡzalat
abelard,abelaɾt
cluses,kluzəs
llamineria,ʎəminəɾiə
escapades,əskəpadəs
interessades,intəɾəsadəs
punxegut,puɲʃəɡut
esgatinyats,əzɡətiɲats
acord,əkɔɾt
sumades,sumades
siguda,siɡuda
copular,kupula
sortilla,surtiʎə
insurreccionat,insurəksiunat
rotat,rutat
consignar,kunsiɡna
apoderat,apodeɾat
aixopluc,əʃupluk
sagetera,sad͡ʒeteɾa
eclipsava,eklipsava
avatar,avataɾ
conformats,kumfurmats
mamares,mamaɾes
desenterrat,dezenterat
palestina,palestina
sardanistes,səɾdənistəs
reviscolats,rəviskolats
botudes,botudes
sobreviscut,subɾəbiskut
contradits,kuntɾədits
llirijonc,ʎiɾid͡ʒoŋk
entronitzades,entɾonizades
burggraviat,burɡɡɾəbiat
japonesos,ʒəpunɛzus
enaiguar,ənəjɡwa
desmantellat,dəzməntəʎat
convidar,kumbida
gascó,ɡəsko
drap,dɾap
paranoic,pəɾənɔjk
identitat,identitat
túnel,tunəl
exprimir,ekspɾimiɾ
garnatxa,ɡəɾnat͡ʃə
percebuda,pərsəbudə
tamboret,təmbuɾɛt
apareixent,apaɾejʃent
sonet,sunɛt
encloure,ənklɔwɾə
espartana,espaɾtana
tirotejats,tiɾotəʒats
pelagrí,pelaɡɾi
xiuxiuejats,ʃiwʃiwəʒats
tarja,taɾd͡ʒa
desbrossades,dəzbɾusadəs
reivindicats,rəjbindikats
apropat,apɾopat
apercebudes,apeɾsebudes
febre,febɾə
cínica,sinika
nectarina,nektaɾina
alabastrins,alabastɾins
verger,veɾd͡ʒeɾ
compilades,kompilades
cremació,kɾemasio
defunció,defunsio
exhalació,əɡzələsio
promoure,pɾomɔwɾe
prevenir,pɾəbəni
escultura,eskultuɾa
hipocorística,ipokoɾistika
regis,rɛd͡ʒis
motllurat,molluɾat
grano,ɡɾanu
encaixar,ənkəʃa
ictiologia,iktioluʒiə
dominicanes,duminikanəs
postís,pustis
atenuant,ətənuant
marroc,mərɔk
economitzar,əkunumid͡za
viscoses,viskozes
montner,monne
esteperola,əstəpəɾɔlə
cadira,kadiɾa
albercoquer,əlbəɾkoke
amainat,amajnat
cercada,səɾkadə
explica,əksplikə
capats,kəpats
guardats,ɡwaɾdats
ambaixador,ambajʃadoɾ
bacoreta,bəkoɾətə
ocorreguda,ukurəɡudə
impersonal,impeɾsonal
cordell,kurdeʎ
esfilagarsar,esfilaɡaɾsaɾ
secularització,sekulaɾizasio
falta,faltə
pana,pana
follia,fuʎiə
exceptuades,ekseptuades
massacrada,masakɾada
explicatiu,eksplikatiw
captiva,kaptiva
documentada,dukuməntadə
salves,salbəs
forçats,fursats
precursora,pɾəkuɾsoɾə
allisat,əʎizat
pizzer,pid͡ze
observador,opseɾvadoɾ
aiguacuit,ajɡwakujt
espanyolitzada,əspəɲolid͡zadə
predominades,pɾedominades
debilitats,debilitats
papallona,pəpəʎonə
despreniment,dəspɾəniment
immortalitzat,immoɾtəlid͡zat
panícula,panikula
abatia,əbətiə
neuropatia,newɾopatia
angúnies,anɡunies
enroscar,enroskaɾ
dacsa,daksa
petonejats,pətunəʒats
anglés,aŋɡles
lleva,ʎebə
regne,reɡne
gentilici,d͡ʒentilisi
aconsellables,akonseʎables
navegada,naveɡada
encongit,enkoɲd͡ʒit
gemir,ʒəmi
polseguera,polseɡeɾa
entronitzar,əntɾonid͡za
modisme,mudizmə
vorejats,voɾəʒats
fuselatge,fuzelad͡ʒe
escanyolit,eskaɲolit
garneu,ɡaɾnɛw
clar,kla
capelina,kapelina
agarbar,əɡəɾba
dotorejats,dotoɾed͡ʒats
sorollar,suɾuʎa
manipulades,mənipuladəs
ingressades,inɡɾesades
vertebrades,veɾtebɾades
saltats,saltats
floristeria,floɾisteɾia
visitat,bizitat
acarnissats,akaɾnisats
superficial,supərfisial
amenaçada,əmənəsadə
exploració,əkspluɾəsio
avantbraç,əbəmbɾas
fermentem,fərməntɛm
concebudes,kunsəbudəs
envejar,əmbəʒa
equipades,ekipades
rebufar,rebufaɾ
esternudar,esteɾnudaɾ
recolzats,rekolzats
cantava,kəntavə
creuar,kɾewaɾ
estomacats,estomakats
transmigrant,tɾənzmiɡɾant
jaus,ʒaws
franquesa,fɾənkɛzə
pneumococ,newmokɔk
globalitzat,ɡlubəlid͡zat
corbates,koɾbatəs
calarem,kələɾəm
clavada,kləbadə
rodat,rudat
caçat,kasat
ingerir,iɲd͡ʒeɾiɾ
filtració,filtɾasio
estrella,estɾeʎa
espeternegar,əspətəɾnəɡa
enganxoses,ənɡəɲʃozəs
aquosa,əkwozə
conspirada,konspiɾadə
sobreescalfats,subɾəəskəlfats
gorrer,ɡoreɾ
ventruda,ventɾuda
calculables,kəlkulabləs
maquineta,məkinətə
mecanografiats,məkənuɡɾəfiats
noure,nɔwɾə
naturalesa,nətuɾələzə
compost,kumpɔst
biodegradable,biodeɡɾadable
reflexionats,rəfləksiunats
esmaperdut,əzməpəɾdut
pentatleta,pentalleta
variça,vəɾisə
esbombat,ezbombat
abismals,əbizmals
enderrocat,enderokat
adrogueria,ədɾoɡəɾiə
sedejant,seded͡ʒant
carei,kaɾɛj
agenollada,əʒənoʎadə
pacifisme,pəsifizmə
etrúria,etɾuɾia
saragata,saɾaɡata
cotó,kuto
giny,d͡ʒiɲ
morell,moɾeʎ
culebrot,kuləbɾɔt
manllevar,maɲʎevaɾ
brusques,bɾuskəs
xixona,t͡ʃiʃona
encunyats,enkuɲats
quadribarrat,kwadɾibarat
tancar,tənka
socarrada,sokəradə
racista,rəsistə
conversares,komveɾsaɾes
cavitat,kavitat
preses,pɾɛzəs
robar,ruba
maimó,majmo
imagino,imad͡ʒino
ranquejada,ranked͡ʒada
llegits,ʎed͡ʒits
adscrites,atskɾites
proveir,pɾoveiɾ
exposar,ekspozaɾ
alcaldessa,əlkəldəsə
reinicialitzada,rəjnisiəlid͡zadə
imaginar,iməʒina
randella,rəndeʎə
comprovada,kompɾovadə
versificades,bərsifikadəs
apoderar,əpudəɾa
galderic,ɡaldeɾik
venciment,vensiment
repensar,rəpənsa
tiorba,tiɔrbə
tigres,tiɡɾes
commemoracions,kommemoɾasions
excedides,əksədidəs
compartida,kompaɾtida
fermentares,fəɾməntaɾəs
llogats,ʎuɡats
astori,əstoɾi
moralitzades,muɾəlid͡zadəs
uniformitzada,unifurmid͡zadə
didalera,didaleɾa
envellida,əmvəʎidə
malvesc,məlvəsk
consistit,konsistit
envoltats,əmbultats
erroni,ərɔni
embruixar,embɾujʃaɾ
avalada,avalada
retractilar,rətɾəktila
assut,əsut
medalla,medaʎa
poloni,pulɔni
campanyes,kəmpaɲəs
uterina,utəɾinə
esborrats,əzburats
pronunciares,pɾonunsiaɾəs
peludes,peludes
sunnita,sunnitə
herba,erbə
merda,mɛɾda
obtenir,opteniɾ
artista,ərtistə
exiliat,əɡziliat
recopilar,rəkupila
catalogar,kətəloɡa
salvatges,səlvad͡ʒəs
emetre,əmətɾə
equilibrista,əkilibɾistə
barbacoa,bəɾbəkoə
filla,fiʎa
mostres,mɔstɾəs
trepat,tɾepat
armat,aɾmat
moderar,mudəɾa
patrocinaria,pətɾosinəɾiə
promulgares,pɾumulɡaɾəs
semen,sɛmən
esqueixats,eskejʃats
plantofa,pləntɔfə
perfecció,peɾfeksio
alegrat,aleɡɾat
aroma,aɾoma
xapar,t͡ʃapaɾ
entramat,entɾamat
garbí,ɡaɾbi
palmerar,pəlməɾa
escatimades,əskətimadəs
pessigolles,pesiɡɔʎes
aguantades,aɡwantades
escarnir,əskəɾni
nigeriana,nid͡ʒeɾiana
cleptomania,kleptomania
rodejar,roded͡ʒaɾ
capgirats,kabd͡ʒiɾats
copulat,kopulat
nicena,nisənə
compostades,kumpustadəs
arbori,əɾbɔɾi
envoltat,əmbultat
alabada,ələbadə
contradida,kontɾədidə
acarnissat,əkərnisat
obligatori,obliɡatɔɾi
escacat,əskəkat
minairó,minəjɾo
efectivitat,əfəktivitat
